playerid,Name,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch
31396,Tyler Locklear,SEA,16,49,7,4,1,0,2,3,3,1,0.061224489,0.408163265,0.155555556,0.217391304,0.155555555,0.148,0.238124395,0.221,0.311111111,0.271,0.224489795,57.67169216,-2.228290078,-1.158848003,3.46688664,0.144900385,-0.181117882,0.15,0.08,0.4,0.31914894,0.68627451,0.51020408,0.23333333,0.82857143,0.65,0.52,0.24,0.24,87.15539063,21.21054443,111.672,0.12,0.4,0.48,-0.304295866
24618,Ryan Jeffers,MIN,122,465,93,50,22,0,21,56,64,3,0.068817204,0.202150537,0.206310679,0.237623762,0.225728155,0.227,0.316508739,0.304,0.432038834,0.386,0.299568965,107.1053202,2.999801423,-2.455107003,3.321720669,-0.780637398,1.657164857,0.340425531,0.08307692,0.33538462,0.33805889,0.63483146,0.484228,0.60645161,0.87787611,0.78171429,0.38461538,0.39076923,0.22461538,86.89366655,16.23924723,113.942,0.173374613,0.393188854,0.433436532,-0.304606041
20536,Vidal Bruján,MIA,102,278,55,37,14,2,2,32,16,5,0.089928057,0.194244604,0.096774194,0.276041666,0.221774193,0.216,0.275570162,0.262,0.318548387,0.282,0.303249097,72.52215468,-10.13442314,-2.365355611,4.776328587,-0.999839537,-0.33483681,0.462962962,0.01538462,0.22564103,0.28290766,0.72893773,0.51374408,0.59722222,0.85929648,0.7896679,0.4,0.33333333,0.26666667,85.08066716,7.995283823,104.669,0.179894179,0.513227513,0.306878306,-0.307392128
13663,Jack López,LAA,27,71,17,13,3,0,1,4,6,0,0.028169014,0.352112676,0.089552239,0.390243902,0.253731343,0.178,0.276766317,0.201,0.343283582,0.236,0.285714285,76.7018078,-1.950529949,-2.903623044,1.33880555,-0.057810783,-0.256885871,0.08,0.02325581,0.30232558,0.42276423,0.66887417,0.55839416,0.48076923,0.81188119,0.69934641,0.39534884,0.37209302,0.23255814,87.26053377,10.02688524,104.148,0.219512195,0.512195121,0.268292682,-0.31094828
23792,Alek Thomas,ARI,39,103,18,9,5,1,3,13,17,4,0.067961165,0.165048543,0.168421052,0.2,0.189473684,0.278,0.262453759,0.337,0.357894736,0.446,0.245098039,64.68119009,-3.520629465,-1.478084862,7.602548851,0.829523921,-0.162012947,0.411764705,0.07594937,0.46835443,0.30625,0.62735849,0.48924731,0.55102041,0.82706767,0.75274725,0.43037975,0.36708861,0.20253165,91.24873432,0.967960659,109.1,0.157894736,0.605263157,0.236842105,-0.311969889
21853,Will Benson,CIN,128,388,64,29,19,2,14,41,43,16,0.103092783,0.396907216,0.189504373,0.282485875,0.186588921,0.18,0.284971761,0.268,0.376093294,0.333,0.273901808,74.99757991,-13.21251683,-5.901819944,6.070623517,-1.612060912,-0.639655664,0.259740259,0.11458333,0.40104167,0.21126761,0.71052632,0.47492447,0.28484848,0.73590982,0.64122137,0.5,0.31770833,0.18229167,89.43244243,18.18435059,110.743,0.194736842,0.363157894,0.442105263,-0.312629607
21682,Luis De Los Santos,TOR,13,31,5,3,2,0,0,2,1,0,0.064516129,0.322580645,0.068965517,0.263157894,0.172413793,0.184,0.210718899,0.214,0.24137931,0.227,0.225806451,33.36266304,-2.385966839,0.023775071,1.303571421,-0.022307228,-0.137234466,0.2,0,0.42105263,0.34920635,0.53448276,0.43801653,0.54545455,0.87096774,0.73584906,0.36842105,0.26315789,0.36842105,84.91726203,-5.745145697,106.302,0.263157894,0.526315789,0.210526315,-0.312748319
15905,Luis Torrens,NYM,48,130,27,16,8,0,3,14,15,0,0.069230769,0.215384615,0.144067796,0.272727272,0.228813559,0.259,0.291802572,0.318,0.372881355,0.4,0.292307692,89.58334737,-2.661847931,6.115603805,2.172619046,-1.042527415,0.80379878,0.321428571,0.06593407,0.46153846,0.2742616,0.62637363,0.4627451,0.61538462,0.86549708,0.79661017,0.37362637,0.37362637,0.25274725,89.64080743,13.05272096,108.606,0.263736263,0.428571428,0.307692307,-0.31278188
19262,Garrett Hampson,KCR,113,231,49,35,13,1,0,16,16,7,0.06060606,0.255411255,0.070422535,0.314102564,0.230046948,0.206,0.255045471,0.244,0.300469483,0.282,0.27510917,58.72621381,-9.467387124,6.445569033,4.979446531,1.441787593,0.483204289,0.237288135,0.0443038,0.30379747,0.2585752,0.61507937,0.46206116,0.6122449,0.84193548,0.78676471,0.38607595,0.31012658,0.30379747,85.96007088,16.11731685,109.144,0.198675496,0.36423841,0.437086092,-0.316697764
19238,Lourdes Gurriel Jr.,ARI,133,553,143,101,22,2,18,72,75,7,0.052441229,0.182640144,0.155945419,0.313283208,0.278752436,0.267,0.326703306,0.319,0.434697855,0.421,0.32188065,107.9255389,4.544856341,-2.095666647,4.58102388,-0.696156405,2.154852914,0.287128712,0.06714628,0.39808153,0.3109328,0.69244936,0.50984157,0.61290323,0.89361702,0.81167608,0.41726619,0.30695444,0.27577938,88.37879384,15.68301999,110.631,0.211031175,0.378896882,0.410071942,-0.318955302
27471,Zach DeLoach,CHW,22,75,14,8,5,0,1,10,5,0,0.106666666,0.28,0.119402985,0.288888888,0.208955223,0.213,0.278514311,0.263,0.328358208,0.27,0.293333333,79.19210308,-2.32494786,-0.365440816,2.946428568,-0.539303121,-0.019645935,0.38095238,0,0.32608696,0.25899281,0.70440252,0.4966443,0.38888889,0.85714286,0.74324324,0.32608696,0.34782609,0.32608696,87.41046697,3.026327653,104.391,0.244444444,0.533333333,0.222222222,-0.320724829
26469,Davis Wendzel,TEX,27,49,6,3,2,0,1,2,2,0,0.020408163,0.244897959,0.106382979,0.147058823,0.127659574,0.198,0.175774658,0.263,0.234042553,0.375,0.163265306,7.451554343,-5.080703739,0.829473995,0.559523803,0.108142681,-0.270359307,0.083333333,0.08571429,0.28571429,0.32432432,0.66666667,0.51764706,0.625,0.796875,0.75,0.37142857,0.48571429,0.14285714,85.43944594,17.75600658,107.01,0.114285714,0.485714285,0.4,-0.322033129
