playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2021 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
17130,Raisel Iglesias,RP,R,R,LAA,32,6.154,2.01207757,,,0,,18400000,LAA,4,58000000,10000000
3096,Kenley Jansen,RP,S,R,LAD,34,11.073,1.841271162,,,0,,,ATL,1,16000000,16000000
7531,Collin McHugh,RP,R,R,TBR,35,7.085,1.835658431,,,0,,,ATL,2,10000000,5000000
10343,Aaron Loup,RP,L,L,NYM,34,9.04,1.629327059,,,0,,,LAA,2,17000000,8500000
10291,Ryan Tepera,RP,R,R,CHW,34,6.008,1.600371122,,,0,,,LAA,2,14000000,7000000
12988,Andrew Chafin,RP,R,L,OAK,32,7.02,1.403555632,,,0,,,DET,2,13000000,6500000
4264,Mark Melancon,RP,R,R,SDP,37,11.098,1.072769523,,,0,,,ARI,2,14000000,7000000
15514,Kendall Graveman,RP,R,R,HOU,31,6.078,1.064962864,,,0,,,CHW,3,24000000,8000000
7146,Daniel Hudson,RP,R,R,SDP,35,11.106,1.047098398,,,0,,,LAD,2,12500000,7000000
10547,Jimmy Nelson,RP,R,R,LAD,33,7.107,0.960088491,,,0,,,LAD,1,700000,700000
5448,Jesse Chavez,RP,R,R,ATL,38,11.038,0.959663749,,,0,,,CHC,1,750000,750000
6483,Steve Cishek,RP,R,R,LAA,36,10.143,0.860387623,,,0,,,WSN,1,1750000,1750000
10133,Brad Boxberger,RP,R,R,MIL,34,8.033,0.815244675,,,0,,,MIL,1,2500000,2500000
3132,Tony Watson,RP,L,L,SFG,37,10.101,0.773813665,,,0,,,,,,
10061,Brooks Raley,RP,L,L,HOU,34,2.045,0.766607285,,,0,,,TBR,3,15250000,5000000
13549,Richard Rodríguez,RP,R,R,ATL,32,4.016,0.744725704,,,0,,,,,,
9761,Joe Kelly,RP,R,R,LAD,34,9.029,0.719156802,,,0,,,CHW,2,17000000,8500000
6984,Luis García,RP,R,R,STL,35,6.077,0.704902947,,,0,,,SDP,2,7000000,3500000
11487,Joely Rodríguez,RP,L,L,NYY,30,2.096,0.637987494,,,0,,,NYY,1,2500000,2500000
15010,Corey Knebel,RP,R,R,LAD,30,6.151,0.610946417,,,0,,,PHI,1,10000000,10000000
1247,Adam Ottavino,RP,S,R,BOS,36,10.087,0.576908231,,,0,,,NYM,1,4000000,4000000
11804,Héctor Neris,RP,R,R,PHI,33,6.068,0.539331496,,,0,,,HOU,3,24500000,8166666.667
11847,Chris Martin,RP,R,R,ATL,36,4.133,0.450276643,,,0,,,CHC,1,2500000,2500000
12095,Yimi García,RP,R,R,HOU,31,6.149,0.410262883,,,0,,,TOR,3,16000000,5500000
1581,Sean Doolittle,RP,L,L,SEA,35,9.122,0.393074036,,,0,,,WSN,1,1500000,1500000
6316,David Phelps,RP,R,R,TOR,35,9.156,0.384432048,,,0,,,TOR,1,1750000,1750000
7836,Hunter Strickland,RP,R,R,MIL,33,6.033,0.346430212,,,0,,,CIN,1,1825000,1825000
3281,Joe Smith,RP,R,R,SEA,38,13.091,0.343474835,,,0,,,MIN,1,2500000,2500000
4026,Héctor Santiago,RP,R,L,SEA,34,7.164,0.339022547,,,0,,,,,,
11589,José Ureña,RP,R,R,DET,30,6.04,0.332089454,,,0,,,MIL,1,171703,171703
4141,Derek Holland,RP,S,L,DET,35,12.105,0.323581427,,,0,,,BOS,1,0,
11632,Heath Hembree,RP,R,R,NYM,33,6.096,0.316080779,,,0,,,PIT,1,2125000,2125000
3237,T.J. McFarland,RP,L,L,STL,33,7.072,0.279162705,,,0,,,STL,1,2500000,2500000
13293,Danny Coulombe,RP,L,L,MIN,32,3.008,0.268919319,,,0,,,MIN,1,979500,979500
12918,Archie Bradley,RP,R,R,PHI,29,6.112,0.241746768,,,0,,,LAA,1,3750000,3750000
5224,Blake Parker,RP,R,R,CLE,37,6.118,0.235145658,,,0,,,STL,1,0,
9817,Sergio Romo,RP,R,R,OAK,39,13.097,0.189765021,,,0,,,SEA,1,2000000,2000000
2608,Jhoulys Chacín,RP,R,R,COL,34,10.087,0.166962489,,,0,,,COL,1,1250000,1250000
10430,Mychal Givens,RP,R,R,CIN,32,6.069,0.164863989,,,0,,,CHC,1,5000000,5000000
4994,Fernando Abad,RP,L,L,BAL,36,6.169,0.145603582,,,0,,,,,,
7555,Nick Vincent,RP,R,R,MIN,35,7.061,0.130737662,,,0,,,ATL,1,0,
13799,Matt Strahm,RP,R,L,SDP,30,5.064,0.129686549,,,0,,,BOS,1,3000000,3000000
1157,Tommy Hunter,RP,R,R,TBR,35,12.045,0.125356421,,,0,,,,,,
3200,Ervin Santana,RP,R,R,KCR,39,14.123,0.096558094,,,0,,,,,,
11801,Hansel Robles,RP,R,R,BOS,31,6.119,0.091965705,,,0,,,BOS,1,2250000,2250000
15071,Kyle McGowin,RP,R,R,WSN,30,1.126,0.087556735,,,0,,,,,,
6661,Alex Colomé,RP,R,R,MIN,33,7.118,0.080985427,,,0,,,COL,1,4150000,4150000
1514,Oliver Pérez,RP,L,L,CLE,40,16.125,0.079720698,,,0,,,ARI,1,93407,93407
8241,David Robertson,RP,R,R,TBR,37,12.104,0.077047408,,,0,,,CHC,1,3500000,3500000
10066,Ian Krol,RP,L,L,DET,31,4.068,0.075173393,,,0,,,SDP,1,0,
13696,Robert Gsellman,RP,R,R,NYM,28,5.042,0.073186703,,,0,,,CHC,1,0,
8350,AJ Ramos,RP,R,R,LAA,35,6.066,0.070597112,,,0,,,LAA,1,0,
4185,Rafael Dolis,RP,R,R,TOR,34,3.071,0.06908153,,,0,,,,,,
6986,Ian Kennedy,RP,R,R,PHI,37,12.124,0.060453653,,,0,,,ARI,1,4750000,4750000
10314,Erasmo Ramírez,RP,R,R,DET,32,7.001,0.04357335,,,0,,,WSN,1,0,
5114,Jeurys Familia,RP,R,R,NYM,32,9.023,0.037294358,,,0,,,PHI,1,6000000,6000000
9866,Chaz Roe,RP,R,R,TBR,35,6.094,0.02564056,,,0,,,,,,
6216,Dellin Betances,RP,R,R,NYM,34,8.078,-0.016658142,,,0,,,LAD,1,0,
5702,Junior Guerra,RP,R,R,LAA,37,5.155,-0.024822205,,,0,,,,,,
3321,Darren O'Day,RP,R,R,NYY,39,13.103,-0.026165364,,,0,,,ATL,1,1000000,1000000
4020,Yusmeiro Petit,RP,R,R,OAK,37,11.016,-0.031339627,,,0,,,,,,
14672,Dillon Maples,RP,R,R,CHC,30,0.136,-0.051044021,,,0,,,PHI,1,0,
13475,Daniel Norris,RP,L,L,MIL,29,6.073,-0.054975271,,,0,,,CHC,1,1750000,1750000
2882,Luis Avilán,RP,L,L,WSN,32,8.077,-0.057299733,,,0,,,WSN,1,0,
12680,Ryne Harper,RP,R,R,WSN,33,2.135,-0.05986362,,,0,,,,,,
9111,Brad Hand,RP,L,L,NYM,32,8.092,-0.063726977,,,0,,,PHI,1,6000000,6000000
5003,Jake Diekman,RP,R,L,OAK,35,9.05,-0.07608743,,,0,,,BOS,2,8000000,4000000
6627,Brad Brach,RP,R,R,CIN,36,9.014,-0.082994603,,,0,,,ATL,1,0,
14696,Keone Kela,RP,R,R,SDP,29,7,-0.090453029,,,0,,,ARI,1,0,
10855,Chasen Shreve,RP,L,L,PIT,31,5.158,-0.092698514,,,0,,,NYM,1,1500000,1500000
9388,Josh Tomlin,RP,R,R,ATL,37,11.033,-0.093728222,,,0,,,,,,
8110,Bryan Shaw,RP,S,R,CLE,34,9.152,-0.104935512,,,0,,,CLE,1,3000000,3000000
5640,Tyler Clippard,RP,R,R,ARI,37,12.134,-0.125097245,,,0,,,WSN,1,0,
16159,Jace Fry,RP,L,L,CHW,28,3.118,-0.129284948,,,0,,,WSN,1,0,
7196,Greg Holland,RP,R,R,KCR,36,9.163,-0.150972784,,,0,,,TEX,1,150000,150000
12890,Alex Claudio,RP,L,L,LAA,30,6.063,-0.175992101,,,0,,,NYM,1,0,
13607,Carl Edwards Jr.,RP,R,R,TOR,30,5.02,-0.235094011,,,0,,,WSN,1,1000000,1000000
2859,Ross Detwiler,RP,R,L,SDP,36,9.011,-0.243615612,,,0,,,,,,
9794,Rex Brothers,RP,L,L,CHC,34,5.163,-0.24894169,,,0,,,MIL,1,0,
11428,Brandon Workman,RP,R,R,BOS,33,6.141,-0.284153819,,,0,,,TEX,1,0,
13360,Cam Bedrosian,RP,R,R,PHI,30,6.074,-0.298321724,,,0,,,PHI,1,0,
9939,Brandon Kintzler,RP,R,R,PHI,37,9.125,-0.316631675,,,0,,,,,,
12580,Adam Morgan,RP,L,L,CHC,32,5.114,-0.336346388,,,0,,,HOU,1,0,
15594,Nick Wittgren,RP,R,R,CLE,31,5.071,-0.34310168,,,0,,,STL,1,1200000,1200000
13287,Jesse Hahn,RP,R,R,KCR,32,6.067,-0.345318168,,,0,,,,,,
10756,Shane Greene,RP,R,R,LAD,33,7.012,-0.39223066,,,0,,,LAD,1,0,
15855,Wander Suero,RP,R,R,WSN,30,3.095,-0.440852255,,,0,,,LAA,1,0,
15068,Yency Almonte,RP,R,R,COL,28,2.168,-0.476926982,,,0,,,LAD,1,0,
12237,Dan Winkler,RP,R,R,CHC,32,6.033,-0.514692128,,,0,,,TEX,1,0,
14814,Buck Farmer,RP,L,R,DET,31,5.018,-0.532363594,,,0,,,CIN,1,850000,850000
10688,Tyler Thornburg,RP,R,R,CIN,33,6.115,,,,0,,,ATL,1,900000,900000
10745,Trevor Rosenthal,RP,R,R,OAK,32,8.001,,,,0,,,SFG,1,1903846,1903846
13424,Drew VerHagen,RP,R,R,JPN,31,3.066,,,,0,,,STL,2,5500000,2750000
30115,Robert Suarez,RP,R,R,JPN,31,,,,,0,,,SDP,2,11000000,5500000
8823,Oliver Drake,RP,R,R,TBR,35,5.045,,,,0,,,,,,
9073,Kirby Yates,RP,L,R,TOR,35,7.021,,,,0,,,ATL,2,8250000,4125000
3137,Max Scherzer,SP,R,R,LAD,37,13.079,5.369456291,,,0,,,NYM,3,130000000,43333333.33
16137,Carlos Rodón,SP,L,L,CHW,29,6.168,4.951787949,,,0,,,SFG,1,21500000,22000000
14107,Kevin Gausman,SP,L,R,SFG,31,7.151,4.80470705,,,0,,,TOR,5,110000000,22000000
13164,Eduardo Rodriguez,SP,L,L,BOS,29,6.13,3.923144341,,,0,,18400000,DET,2,22846154,8846154
11486,Robbie Ray,SP,L,L,TOR,30,7.007,3.911744595,,,0,,18400000,SEA,5,115000000,23000000
13431,Marcus Stroman,SP,R,R,NYM,31,7.026,3.467393875,,,0,,,CHC,2,50000000,23666666.67
2036,Clayton Kershaw,SP,L,L,LAD,34,13.105,3.429968357,,,0,,,LAD,1,17000000,17000000
13050,Anthony DeSclafani,SP,R,R,SFG,32,7.062,3.035145283,,,0,,,SFG,3,36000000,12000000
13361,Steven Matz,SP,R,L,TOR,31,6.099,2.745627403,,,0,,,STL,4,44000000,11000000
13781,Alex Wood,SP,R,L,SFG,31,8.123,2.528016567,,,0,,,SFG,2,25000000,12500000
6562,Alex Cobb,SP,R,R,LAA,34,10.061,2.490419865,,,0,,,SFG,3,28000000,10000000
14916,Jon Gray,SP,R,R,COL,30,6.062,2.287401438,,,0,,,TEX,4,56000000,14000000
12880,Tyler Anderson,SP,L,L,SEA,32,6.065,2.057795763,,,0,,,LAD,1,8000000,8000000
11713,Matt Harvey,SP,R,R,BAL,33,8.127,1.860275269,,,0,,,,,,
4806,Rich Hill,SP,L,L,NYM,42,12.127,1.712209105,,,0,,,BOS,1,5000000,5000000
3542,Danny Duffy,SP,L,L,LAD,33,10.085,1.667973042,,,0,,,LAD,1,3000000,3000000
6893,Johnny Cueto,SP,R,R,SFG,36,14,1.518094063,,,0,,,CHW,1,3142857,3142857
2429,Corey Kluber,SP,R,R,NYY,36,9.074,1.434022188,,,0,,,TBR,1,8000000,8000000
