playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2021 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
5361,Freddie Freeman,1B,L,R,ATL,32,11.033,4.681728363,,,0,,18400000,LAD,6,162000000,24700000
10264,Brandon Belt,1B,L,L,SFG,34,10.128,3.578349352,,,0,,18400000,SFG,1,18400000,18400000
3473,Anthony Rizzo,1B,L,L,NYY,32,9.168,2.176534414,,,0,,,NYY,1,16000000,16000000
16909,Colin Moran,1B/3B,L,R,PIT,29,4.107,-0.249811694,,,0,,,CIN,1,1000000,1000000
785,Todd Frazier,1B/3B,R,R,PIT,36,9.093,-0.369397432,,,0,,,,,,
15447,Ryon Healy,1B/3B,R,R,KBO,30,3.099,,,,0,,,TBR,1,0,
12775,Brad Miller,1B/3B/2B/LF,L,R,PHI,32,8.004,0.702409744,,,0,,,TEX,2,10000000,5000000
8090,Matt Carpenter,1B/3B/DH,L,R,STL,36,10.012,-0.296761662,,,0,,,TEX,1,0,
8090,Matt Carpenter,1B/3B/DH,L,R,STL,36,10.012,-0.296761662,,,0,,,NYY,1,730769,730769
1177,Albert Pujols,1B/DH,R,R,LAD,42,21,0.104897112,,,0,,,STL,1,2500000,2500000
14130,Daniel Vogelbach,1B/DH,L,R,MIL,29,3.138,-0.050825987,,,0,,,PIT,2,2300000,1000000
3086,Mitch Moreland,1B/DH,L,L,OAK,36,11.067,-0.110549003,,,0,,,,,,
9054,Justin Smoak,1B/DH,S,L,JPN,35,10.069,,,,0,,,,,,
14388,Ronald Guzmán,1B/LF/RF,L,L,TEX,27,3.083,-0.180203155,,,0,,,NYY,1,0,
15194,Jake Bauers,1B/LF/RF,L,L,SEA,26,2.1,-0.306991458,,,0,,,CIN,1,0,
10322,Danny Santana,1B/OF/DH,S,R,BOS,31,6.104,-0.177673966,,,0,,,,,,
27459,Yoshi Tsutsugo,1B/RF/LF/DH,L,R,PIT,30,1.146,-0.205854714,,,0,,,PIT,1,4000000,4000000
10556,César Hernández,2B,S,R,CHW,32,7.154,1.4710778,,,0,,,WSN,1,4000000,4000000
16542,Shed Long Jr.,2B,L,R,SEA,26,2.057,-0.356007576,,,0,,,BAL,1,0,
8623,Donovan Solano,2B/3B,R,R,SFG,34,6.081,1.3940202,,,0,,,CIN,1,4500000,4500000
12282,Rougned Odor,2B/3B,L,R,NYY,28,7.121,1.324623108,,,0,,,BAL,1,700000,700000
5751,Hernán Pérez,2B/3B,R,R,WSN,31,5.136,-0.322236627,,,0,,,,,,
7927,Eric Sogard,2B/3B,L,R,CHC,36,9.081,-0.572497606,,,0,,,,,,
11936,Joe Panik,2B/3B,L,R,MIA,31,7.1,-1.220641255,,,0,,,,,,
4418,Jed Lowrie,2B/3B/DH,S,R,OAK,38,13.111,0.878726184,,,0,,,OAK,1,850000,850000
8202,Josh Harrison,2B/3B/LF,R,R,OAK,34,9.168,2.32701993,,,0,,,CHW,1,5500000,5500000
3298,Charlie Culberson,2B/3B/LF,R,R,TEX,33,6.051,1.007140994,,,0,,,TEX,1,1750000,1750000
9345,Brock Holt,2B/3B/LF,L,R,TEX,34,8.052,-0.246146187,,,0,,,ATL,1,0,
14145,Daniel Robertson,2B/3B/SS,R,R,MIL,28,3.133,-0.363285244,,,0,,,MIN,1,0,
8418,Ehire Adrianza,2B/3B/SS/LF,S,R,ATL,32,7.131,0.577892303,,,0,,,WSN,1,1500000,1500000
13757,Chris Taylor,2B/3B/SS/OF,R,R,LAD,31,6.037,2.657350302,,,0,,18400000,LAD,4,60000000,15000000
14320,Wilmer Difo,2B/3B/SS/OF,S,R,PIT,30,4.138,0.241757065,,,0,,,ARI,1,0,
12533,Marcus Semien,2B/SS,R,R,TOR,31,7.118,5.956840038,,,0,,18400000,TEX,7,175000000,25000000
5913,Leury García,2B/SS/3B/OF,S,R,CHW,31,7.025,1.489605904,,,0,,,CHW,3,16500000,5500000
10030,Chris Owings,2B/SS/OF,R,R,COL,30,7.131,0.49259463,,,0,,,BAL,1,340659,340659
12179,Maikel Franco,3B,R,R,BAL,29,6.132,-0.627960682,,,0,,,WSN,1,1250000,1250000
4962,Asdrúbal Cabrera,3B/1B,S,R,CIN,36,14.027,-0.086978957,,,0,,,,,,
11982,Travis Shaw,3B/1B,L,R,BOS,32,6.053,-0.459663004,,,0,,,BOS,1,181319,181319
5497,Marwin Gonzalez,3B/1B/2B/LF,S,R,HOU,33,9.128,-0.573670924,,,0,,,NYY,1,1100000,1100000
13329,Jake Lamb,3B/1B/LF/RF,L,R,TOR,31,7.053,-0.050974786,,,0,,,LAD,1,824176,824176
