playerid,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO
18,Neftalí Feliz,- - -,0,1,0,5,0,4,6.75000181,2.250000603,2.250000603,0.307692308,0.53571429,0.357142857,0.2,9.000002414,8.79,6.420034994,5.375487372,-0.174906623,0.70149254,95.26742749,-0.594629169,,,,,,,0.11940299,87.31732559,-1.037477486,0.17910448,84.64025116,0.041558586,,,,,,,,,,,,,,,,,97.5,,104.6340426,,114.5166667,,,,105.5522388,96.76716418,99.01492537,
1157,Tommy Hunter,NYM,0,0,0,4,1,8,6.75,3.375,0,0.173913043,1,0.476190476,0,0,3.92,3.170034122,4.493305717,0.125356417,0.02752294,93.63356527,-0.11765413,0.42201835,89.86180314,0.508089717,0.41284404,92.27784831,2.482809767,,,,,,,0.13761468,83.34133301,-0.255796585,,,,,,,,,,,,,,,93.16,96.33333333,86.79333333,,,111.3652174,,97.61743119,98.7587156,92.46972477,
1159,Andrew Romine,CHC,0,0,0,1,0,1,9,0,9,0.333333333,1,0.25,0.5,9,10.54,14.17003412,4.698758376,-0.051007133,0.33333333,77.37399902,0.214567009,,,,,,,0.6,60.32073296,-1.293361183,0.06666667,62.49860001,-0.035847388,,,,,,,,,,,,,,,,,,,74.9,,,,,,43.925,108.425,99.2,
1246,Matt Bush,TEX,0,0,0,4,0,4,11.25,2.25,6.75,0.125,1,0.272727272,0.375,6.75,4.03,11.17003412,4.948758376,-0.229298323,0.53623188,95.40060837,-1.135763876,,,,,,,,,,0.28985507,86.4748291,-0.841985833,0.17391304,79.08959961,0.149767581,,,,,,,,,,,,,,,103.6666667,120.7567568,,121.0789474,,211.2,,119.2585714,98.06714286,104.2142857,
1247,Adam Ottavino,BOS,7,3,11,69,0,62,10.30645352,5.080646099,0.725806586,0.316455696,0.73333333,0.4,0.079365079,4.209678196,3.7,3.960356849,4.70478947,0.576908231,0.20713664,95.67047991,4.715118684,0.01653612,87.62647127,-1.514489569,0.27850305,94.87144165,-3.030499671,0.01392515,88.332901,0.179080941,0.46388164,80.90940871,-1.359284941,0.02001741,78.70604407,0.274183542,,,,,,,,,,,,,,92.62631579,104.6875,105.1563025,101.2869841,134.617792,,83.84210526,,122.8589455,94.42802133,103.8093009,
1514,Oliver Pérez,CLE,0,1,0,5,0,3.2,9.818183521,2.45454588,0,0.384615385,0.83333333,0.615384615,0,0,2.45,1.806397522,3.73115654,0.079720698,0.21428571,89.25997925,-0.48311533,,,,0.46428571,89.52149377,0.366395283,,,,0.32142857,76.19649251,0.330962852,,,,,,,,,,,,,,,,,,,61.6,83.52692308,70.44444444,,,,74.62321429,99.40357143,92.14285714,
1581,Sean Doolittle,- - -,3,1,1,56,0,49.2,9.604028813,4.167786089,1.268456636,0.311594203,0.73619632,0.190140845,0.09090909,4.53020227,4.32,4.378088061,5.281226845,0.393074036,0.80597015,93.31160969,-4.23317958,0.05625718,84.05974719,0.00866304,,,,,,,0.08725603,79.92057238,-0.106812656,,,,,,,0.04477612,80.49887946,-0.258994877,,,,,,,0.00574053,,102.3679487,105.9982979,,112.0533752,,,67.91025641,104.3498845,102.3698614,105.5292148,
1890,Matt Moore,PHI,2,4,0,24,13,73,7.767123491,4.684931629,1.849315117,0.291666667,0.65979381,0.387387387,0.166666666,6.287671397,4.89,5.759075286,5.263083374,-0.173961356,0.56743815,92.54603029,-5.903751314,0.08778931,89.59221302,-3.101035424,,,,0.19233839,82.63851182,-2.318037931,,,,0.15243416,80.82804575,-1.846768674,,,,,,,,,,,,,,126.4502058,,81.86132075,,,118.2875,75.78552632,,95.76250385,94.4872358,92.42648302,
1943,Zack Greinke,HOU,11,6,0,30,29,171,6.315789861,1.894736958,1.578947465,0.263261297,0.75,0.443820224,0.174418604,4.157894992,4.32,4.713893866,4.207872115,1.208608821,0.39891347,89.04800409,3.71660829,,,,0.05975941,89.65143263,-2.883697897,0.22196352,86.33005188,8.156358015,0.15133877,83.68246343,-2.310332332,0.16259216,71.37152522,0.635299139,0.00388048,61.94006958,-0.322040122,0.00155219,74.72887421,-0.045411326,,,,,,,,109.1065026,101.8746445,83.35062802,83.31208054,99.94159292,,109.8,,94.5933724,102.2910676,100.4867818,
2036,Clayton Kershaw,LAD,10,8,0,22,22,121.2,10.65205502,1.55342469,1.109589064,0.28852459,0.71698113,0.485436893,0.147058823,3.550685006,3.15,2.997431379,2.873855516,3.429968357,0.3427464,90.71299475,-2.350036819,,,,0.02602436,90.84643035,0.346316118,0.00609081,86.90593928,-0.089963112,0.47397564,87.12303775,17.13424712,0.15116279,74.318481,-0.091921449,,,,,,,,,,,,,,68.68181818,114.989011,112.2823795,,137.4254079,,,,124.3710643,101.0090355,106.3977273,
