playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,Stuff+,Location+,Pitching+
16814,Tim Hill,RP,R,L,NYY,35,6.1,4,0,0,62,0,67,4.2,2.6,0.3,0.316,69.30%,68.20%,5.40%,3.36,3.56,3.57,4.02,0.5,107.3,104.5,99.4
15042,Tim Mayza,RP,L,L,NYY,33,5.1,0,2,0,50,0,42.2,5.9,3.2,1.1,0.336,57.10%,45.30%,10.40%,6.33,5.24,4.5,4.68,-0.1,102.6,99.1,97.1
11384,Tommy Kahnle,RP,R,R,NYY,35,9.1,0,2,1,50,0,42.2,9.7,4,1.1,0.234,79.50%,58.60%,16.70%,2.11,3.34,4.01,3.55,0.1,110.7,95.5,95.8
19309,Trevor Richards,RP,R,R,MIN,32,6.1,2,2,1,55,2,65.1,8.5,4.8,1,0.216,63.20%,35.20%,8.10%,4.55,3.62,4.36,4.96,0.1,97.9,94,97.3
16977,Trevor Williams,SP,R,R,WSN,33,8,6,1,0,13,13,66.2,8,2.4,0.4,0.267,80.20%,45.40%,4.20%,2.03,3.17,2.79,3.82,2,81.4,103.6,93.9
17735,Tyler Alexander,SP,R,L,TBR,30,5,6,5,0,23,9,107.2,7.5,2,1.9,0.278,73.00%,31.20%,13.90%,5.1,4.68,5.08,4.63,-0.6,94,105.7,103.6
10058,Tyler Matzek,RP,L,L,ATL,34,6,0,0,0,11,0,10,9,2.7,2.7,0.406,54.10%,31.40%,23.10%,9.9,7.74,5.97,4.03,-0.2,100.4,97.1,97.5
8779,Wade Miley,SP,L,L,MIL,38,13,0,1,0,2,2,7,2.6,5.1,1.3,0.227,62.50%,52.40%,16.70%,6.43,8.65,6.6,6.03,-0.1,93,99.9,93.4
19374,Walker Buehler,SP,R,R,LAD,30,6.2,1,6,0,16,16,75.1,7.6,3.3,1.9,0.316,70.30%,45.50%,18.80%,5.38,4.78,5.54,4.49,-0.2,93.4,101.2,99.5
8048,Will Smith,RP,R,L,KCR,35,11.2,0,4,1,45,0,41.1,6.3,3.3,1.5,0.288,60.20%,30.70%,10.90%,6.53,5.49,5.27,5.41,-0.4,92.4,98.8,98.5
15068,Yency Almonte,RP,R,R,CHC,31,5.1,1,0,1,17,0,15.2,11.5,4.6,0.6,0.222,68.20%,43.20%,7.10%,3.45,3.31,3.36,3.88,0.2,114.2,95,98.6
12095,Yimi García,RP,R,R,SEA,34,9.1,3,0,5,39,0,39,11.3,2.8,1.4,0.202,76.90%,27.30%,12.20%,3.46,3.01,3.73,3.63,0.4,118.5,104.3,111.2
20633,Yusei Kikuchi,SP,L,L,HOU,34,6,9,10,0,32,32,175.2,10.6,2.3,1.3,0.309,71.90%,42.60%,13.50%,4.05,3.7,3.46,3.2,3.5,109.1,101.2,104.8
