playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,Stuff+,Location+,Pitching+
11847,Chris Martin,RP,R,R,BOS,39,7.1,3,1,2,45,0,44.1,10.2,0.6,1,0.353,67.40%,46.30%,13.20%,3.45,3.41,2.78,2.61,0.9,97.9,112.2,107.1
13649,Clay Holmes,SP,R,R,NYY,32,6,3,5,30,67,0,63,9.7,3.1,0.6,0.322,70.50%,65.00%,11.80%,3.14,3.29,3.02,3.01,1.2,134.9,98.2,107.2
2036,Clayton Kershaw,SP,L,L,LAD,37,16.1,2,2,0,7,7,30,7.2,2.7,0.6,0.354,63.30%,38.50%,6.10%,4.5,4.59,3.53,4.33,0.6,100.6,100.4,99.5
19403,Colin Poche,RP,L,L,TBR,31,5.1,1,2,2,43,0,37.1,8,3.1,1.7,0.23,81.30%,33.30%,13.20%,3.86,3.86,4.88,4.59,-0.3,86.5,92.7,95.6
12317,Colin Rea,SP,R,R,MIL,34,5.1,12,6,1,32,27,167.2,7.2,2.3,1.6,0.282,76.60%,38.80%,13.70%,4.29,4.91,4.75,4.42,0.9,83.7,102.5,96.9
19361,Corbin Burnes,SP,R,R,BAL,30,6,15,9,0,32,32,194.1,8.4,2.2,1,0.269,75.50%,48.20%,11.60%,2.92,3.34,3.55,3.55,3.7,119.6,102.6,107
6655,Craig Kimbrel,RP,R,R,BAL,37,13.2,7,5,23,57,0,52.1,12.6,5.3,1.2,0.284,61.90%,32.00%,13.00%,5.33,4.31,4.18,4,0.1,111.6,95.6,100.5
19206,Dakota Hudson,SP,R,R,COL,30,5.1,2,12,0,18,18,89,5,5.1,1.1,0.304,63.50%,52.30%,12.50%,6.17,6.01,5.53,5.41,0,83.9,95.3,90.7
13293,Danny Coulombe,RP,L,L,BAL,35,6,1,0,1,33,0,29.2,9.7,1.5,0.9,0.179,82.30%,48.60%,10.70%,2.12,2.91,2.83,2.94,0.5,80.4,100.5,99.5
8241,David Robertson,RP,R,R,TEX,40,15.1,3,4,2,68,0,72,12.4,3.4,0.6,0.3,76.90%,48.80%,9.30%,3,3.19,2.65,2.88,1.9,119.3,99.6,105
17496,Diego Castillo,RP,R,R,MIN,31,4.2,0,0,0,7,0,10,5.4,7.2,0,0.276,81.30%,51.70%,0.00%,2.7,3.97,4.37,6.18,0,93.9,90.7,95.8
17796,Dillon Tate,RP,R,R,TOR,31,4.1,2,1,1,33,0,36.2,6.6,2.9,0.5,0.336,67.00%,49.60%,5.70%,4.66,3.83,3.71,4.45,0.2,99.3,95.6,95.8
17755,Drew Smith,RP,R,R,NYM,31,6,1,1,2,19,0,17.2,11.7,4.6,1,0.356,82.60%,25.50%,8.00%,3.06,4.43,3.56,4.23,0.2,117,101.5,103.4
11760,Drew Smyly,RP,L,L,CHC,36,12.1,4,8,0,50,0,58.2,8.6,3.8,1.5,0.288,78.90%,35.30%,13.70%,3.84,3.78,4.91,4.57,-0.3,91.9,100.6,101.4
13394,Dylan Floro,RP,L,R,ARI,34,7.1,6,4,0,66,0,68.2,6.3,2.2,0.7,0.288,68.40%,45.50%,7.10%,3.8,3.94,3.5,4.1,0.6,75,104,94.1
18403,Enyel De Los Santos,RP,R,R,CHW,29,4,1,2,2,64,0,64,9.3,3.5,2.4,0.291,80.10%,34.40%,19.50%,5.2,5.31,5.96,4.57,-0.9,90.7,103.5,99.5
14309,Frankie Montas,SP,R,R,MIL,32,7,7,11,0,30,30,150.2,8.8,3.9,1.4,0.282,68.90%,41.60%,14.80%,4.84,4.71,4.71,4.26,1.4,97.8,100.8,99.4
17490,Génesis Cabrera,RP,L,L,TOR,28,5,3,3,2,69,0,62.2,7.2,4.2,1.4,0.294,78.80%,42.80%,14.30%,3.59,4.4,5.13,4.74,-0.5,88,94.7,90.3
14986,Giovanny Gallegos,RP,R,R,STL,33,6,2,1,1,21,0,20.2,9.1,4.4,2.6,0.316,74.20%,47.60%,30.00%,6.53,4.65,6.36,4.05,-0.5,89.6,96.4,96.7
19867,Griffin Canning,SP,R,R,LAA,29,5.1,6,13,0,32,31,171.2,6.8,3.5,1.6,0.283,69.60%,40.70%,14.80%,5.19,4.74,5.26,4.75,0.2,87.6,97.7,96.9
11804,Héctor Neris,RP,R,R,HOU,36,9.1,10,5,18,62,0,59.1,9.7,4.2,1.2,0.297,73.20%,40.00%,11.90%,4.1,4.31,4.28,4.23,0,84.4,98.3,98.5
13346,Hoby Milner,RP,L,L,MIL,34,5.1,5,1,1,61,1,64.2,8.9,1.9,0.8,0.313,58.10%,51.90%,11.50%,4.73,3.24,3.14,3.15,0.9,102.6,106.6,103.6
7836,Hunter Strickland,RP,R,R,LAA,36,8,3,2,1,72,0,73.1,7,2.9,1.2,0.229,75.00%,35.70%,9.30%,3.31,3.49,4.45,4.88,0.3,102.8,100,104.4
17479,Jack Flaherty,SP,R,R,LAD,29,7,13,7,0,28,28,162,10.8,2.1,1.3,0.285,80.90%,39.50%,15.50%,3.17,3.54,3.48,3,3.2,94.1,102.4,101.5
12323,Jacob Barnes,RP,R,R,WSN,35,6.1,8,3,0,63,0,66,7.5,2.7,1.4,0.297,69.90%,37.60%,13.00%,4.36,4.91,4.38,4.17,0,95,100.7,99.8
19274,Jacob Webb,RP,R,R,BAL,31,4,2,5,2,60,0,56.2,9.2,4.3,0.6,0.245,72.10%,34.00%,6.30%,3.02,3.51,3.52,4.31,0.6,108.3,99,102.2
