playerid,Name,4S%,v4S,w4S,Stf+ 4S,CT% ,vCT ,wCT ,Stf+ CT,2S% ,v2S ,w2S ,Stf+ 2S,CH% ,vCH ,wCH ,Stf+ CH,SL% ,vSL ,wSL ,Stf+ SL,CB% ,vCB ,wCB ,Stf+ CB,Stf+ KCB,SPLT% ,vSPLT ,wSPLT ,Stf+ SPLT,XX% 
1157,Tommy Hunter,4.60%,93.4,-1.1,99.5,46.10%,91.2,1.2,96.1,35.00%,93.1,1.4,84.7,0.30%,88,0,,,,,,14.00%,84.4,-2.3,107.1,,,,,,
1247,Adam Ottavino,12.20%,94.8,-4.8,89.3,5.40%,87.8,0.1,69.1,32.60%,94.2,7.3,100.7,7.20%,89,-0.6,114,42.70%,81,9.7,134.3,,,,,,,,,,
1581,Sean Doolittle,74.50%,93.5,2.6,98.8,,,,,,,,,,,,,21.80%,78.3,0.7,,,,,109.4,,3.60%,80.6,-0.1,-51.6,
1890,Matt Moore,45.00%,94,5.8,110.2,,,,,,,,,16.80%,85.1,4.8,144.2,,,,,38.20%,83.6,3.4,,116.6,,,,,
1943,Zack Greinke,39.00%,89.2,3.6,81,0.00%,87.8,0.2,100.1,2.40%,89.6,-3.1,66.6,16.50%,86.6,-6.1,98.3,21.70%,84.5,-3.7,119.3,20.20%,72.1,5.8,96.5,,,,,,
2036,Clayton Kershaw,40.10%,90.8,10.9,102.4,,,,,0.30%,91.4,-0.6,81.3,0.60%,84.2,-1.7,84.1,42.70%,86.7,10.4,130.5,16.30%,73.2,5.5,120.6,,,,,,
2429,Corey Kluber,1.20%,89.1,0.8,63.9,34.50%,86.5,5.8,99.7,27.10%,89.1,-9.6,70.6,10.20%,83.2,3.2,76.8,27.00%,81,-4.7,,,,,123.9,,,,,,0.00%
2608,Jhoulys Chacín,9.20%,92.8,-1.4,70.1,27.70%,87.2,-1.6,,35.40%,93,-6.5,73.5,2.50%,85.5,0,50.4,19.50%,80.2,-1.7,102.8,5.70%,79.6,1,139.4,,,,,,
3096,Kenley Jansen,,,,,64.40%,92.2,12,146,22.50%,93.6,-3.2,82.5,,,,,13.10%,81.1,-0.2,103.5,,,,,,,,,,
3237,T.J. Mc4Srland,,,,,,,,,62.80%,88.9,-3.2,50.8,22.00%,82,-4.4,66.6,15.20%,79.7,1.6,92.2,,,,,,,,,,
3240,Zack Britton,5.60%,92.2,0,,,,,,75.00%,92.8,-2.2,54.5,,,,,19.40%,78.6,0.4,109.1,,,,,,,,,,
3281,Joe Smith,30.90%,86.2,-0.8,95.9,,,,,41.80%,83.7,-0.3,90.9,,,,,27.30%,76.9,-4.6,98.8,,,,,,,,,,
3284,Aníbal Sánchez,20.40%,89.4,-0.8,48.3,24.10%,87.1,3.8,68.3,18.50%,89,0.7,33.3,22.10%,82.1,0.5,94.4,5.60%,82.7,-0.9,78.9,5.40%,75.2,-0.6,61.5,,3.90%,67.4,-1.7,,
4301,Justin Wilson,35.20%,95.3,1.6,103.3,33.30%,91.7,0.5,103.5,,,,,,,,,31.50%,86.1,-1,100.5,,,,,,,,,,
4806,Rich Hill,35.60%,88.7,-9.3,89,13.00%,84.4,2.3,87.8,2.10%,83.7,1.2,-65.6,2.20%,82.3,0.6,83.5,10.70%,69.5,-2.3,72,36.20%,72,1.4,117.7,,,,,,0.10%
5097,Anthony Gose,64.80%,97.3,-5.8,94.9,,,,,,,,,0.30%,88.5,-0.1,157.4,35.00%,86.4,3.9,97.4,,,,,,,,,,
5114,Jeurys 4Smilia,24.10%,95.6,0.5,74.4,,,,,49.90%,95.3,-10,79.9,,,,,14.90%,88.9,-1,85.5,,,,,,11.00%,92.2,-0.8,102.4,
5358,Jose Alvarez,4.00%,91.2,-0.5,66.6,,,,,50.90%,90.8,-1.4,78.2,35.20%,81.4,-1.4,84.1,9.90%,80.2,-0.4,65.8,,,,,,,,,,
5372,Michael Pineda,59.20%,90.1,-8.1,63.1,,,,,,,,,19.30%,85.5,-3.6,48.2,21.50%,80.9,1.3,126.2,,,,,,,,,,
5448,Jesse Chavez,0.50%,91,-0.3,40.6,58.20%,89.1,7.2,104.7,26.70%,91.3,-10.2,98.4,12.90%,85.5,0,69.6,,,,,1.70%,77.1,0.5,81.8,,,,,,
6345,Chris Archer,35.60%,93.2,-10,84.5,,,,,0.10%,93.4,0,,14.70%,87,1,74.9,44.30%,88.8,8.6,142.2,5.30%,81.8,0.8,110.1,,,,,,
6398,Trevor May,52.50%,96.2,-4.5,113,,,,,,,,,15.90%,87.3,1.7,98.4,26.50%,84.9,0.9,107.4,,,,,,5.20%,87.3,0.4,143.2,
6655,Craig Kimbrel,68.50%,95.8,1.2,115.9,,,,,,,,,,,,,4.80%,86.4,-0.7,,26.70%,85.6,1.9,,111.9,,,,,
6661,Alex Colomé,15.60%,94.5,-5,73.3,84.40%,90.8,-3.3,80.4,,,,,,,,,,,,,,,,,,,,,,
6893,Johnny CBeto,19.20%,91.5,8,75.7,9.90%,87.4,-7.1,63.7,23.80%,91.4,2,82.2,20.20%,82.6,-0.7,67.8,22.40%,85.2,1.2,82.6,4.50%,79.6,1.7,64,,,,,,
