playerid,Name,4S%,v4S,w4S,Stf+ 4S,CT% ,vCT ,wCT ,Stf+ CT,2S% ,v2S ,w2S ,Stf+ 2S,CH% ,vCH ,wCH ,Stf+ CH,SL% ,vSL ,wSL ,Stf+ SL,CB% ,vCB ,wCB ,Stf+ CB,Stf+ KCB,SPLT% ,vSPLT ,wSPLT ,Stf+ SPLT,XX% 
6895,Chase Anderson,30.00%,92.1,1.2,77.1,16.40%,90.1,-1.7,87,9.30%,92.2,-2.5,63,28.40%,82.9,2.8,136.2,7.90%,83.6,0.3,110.6,7.90%,77.9,-1,57.9,,,,,,
6902,Martín Pérez,6.50%,92.9,1.8,65.4,24.10%,89.9,10,78.6,36.90%,92.7,5.7,96.5,27.70%,84.4,4.3,75.3,1.40%,84.3,1.3,101.8,3.50%,78.9,-4.3,93.4,,,,,,
6986,Ian Kennedy,81.30%,93.2,0.7,88.5,2.10%,85.7,-2.8,88.7,,,,,1.20%,86.5,-1.5,52.3,1.70%,81,-0.6,,4.10%,78.8,-2.3,,106.9,9.60%,85.3,-3.2,,
7274,Craig Stammen,,,,39.8,22.30%,87.8,-3.1,79.1,55.10%,91.4,0.8,71.6,2.00%,86.3,0,42.6,12.00%,81.3,-0.8,105.6,8.70%,79.8,-2.1,,106.4,,,,,
7432,Jay Jackson,41.70%,92.4,0,68,,,,,,,,,,,,,58.30%,83.8,0.5,91.2,,,,,,,,,,
7593,Jordan Lyles,32.80%,91.9,-4.2,76.9,,,,93.6,16.50%,90.8,-3.7,78,10.70%,86.5,-7,67.8,26.60%,80.7,1.4,118.2,13.40%,79.3,-0.3,83.8,,,,,,
7608,Tommy Milone,35.70%,86.8,0,89.4,6.30%,85.2,0.5,,,,,,38.70%,79,-1.9,68.4,7.60%,78.7,0.8,89.3,11.80%,76.1,-0.9,38,,,,,,
7738,Wily Peralta,26.20%,95.5,-1,68.2,,,,,22.90%,95.6,2.2,74.4,,,,,29.70%,83.7,3.2,117,,,,,,20.60%,82.7,-1.6,82.5,0.60%
7836,Hunter Strickland,53.60%,95.2,-2.6,89,,,,,4.30%,93.1,0.1,84,3.10%,89.8,-0.9,69.3,39.00%,84.9,-2.9,94.6,,,,,,,,,,
8048,Will Smith,40.90%,92.1,-6.4,71.9,,,,,0.80%,90.7,-0.1,,0.90%,86.9,0.6,70.2,48.20%,81.6,3.5,112.1,9.10%,76.8,-3.7,48.8,,,,,,
8110,Bryan Shaw,51.80%,94.1,-1.8,,25.10%,90.7,2.7,100.8,5.40%,93.1,-0.2,54.9,2.90%,82,-0.2,80.3,5.40%,84.6,-0.2,100.3,8.80%,82.8,-5.3,99.6,,0.70%,88.7,0.4,,
8241,David Robertson,,,,,51.20%,93.3,-0.5,118.8,,,,,,,,,21.60%,84.1,2.1,98.7,27.30%,84.8,6.5,,143.4,,,,,
8700,Justin Verlander,50.40%,95.1,27.6,135.8,,,,,,,,,2.40%,86.3,0.4,84.7,28.30%,87.5,10,147.5,18.80%,79.1,8.6,119.4,,,,,,
8779,Wade Miley,14.70%,89.2,1.4,97.8,42.40%,85.3,-0.3,103.1,2.30%,88.4,-0.1,57.6,31.30%,81.5,0.1,114.4,6.50%,79,2.1,111.5,2.80%,73.5,-0.4,87.5,,,,,,
9111,Brad Hand,29.00%,92.8,-0.7,78.8,,,,,18.80%,92.6,4.9,96.3,,,,,52.00%,79.4,-2.4,92.1,,,,,,,,,,0.10%
9132,Nathan Eovaldi,38.50%,95.9,-4.5,90,9.90%,90.7,-2.7,92.4,,,,,,,,,12.20%,86,-6.2,115.1,18.50%,78.5,0.7,114,,20.90%,88,9.1,133.2,
9434,Dallas Keuchel,5.40%,87.8,-3.6,77.2,16.40%,85.3,-11.5,69.5,44.40%,87.4,-6.5,79.5,26.10%,79.3,-3.8,81.4,7.60%,77.3,-3.2,98.3,,,,,,,,,,
9817,Sergio Romo,3.60%,85.2,-0.3,88,,,,,32.80%,85.5,-2.3,100.6,13.10%,80.1,-1,99.4,50.40%,77.1,-0.5,96.7,,,,,,,,,,
10021,Mike Minor,41.30%,90.4,-11.8,71.5,,,,,0.20%,89.8,0.2,72.3,23.20%,84.2,-7.5,111.2,24.90%,85.4,-2.4,71,10.40%,79.2,-3.1,,103.8,,,,,
10123,Kyle Gibson,11.70%,92.3,3.4,76.2,21.80%,89.6,4.1,83.7,28.20%,91.9,-1.6,92.6,10.70%,84.8,-1.8,113.6,21.00%,83.5,-1,108.6,6.60%,79.2,-9.3,104.5,,,,,,
10133,Brad Boxberger,55.00%,92.8,5.4,82.9,,,,,,,,,22.60%,81.3,1.7,82.9,22.50%,87.4,-0.8,116.7,,,,,,,,,,
10197,Shelby Miller,44.90%,94.1,1.8,126.3,,,,,,,,,,,,,55.10%,81.8,-0.9,120.7,,,,,,,,,,
10233,Aroldis Chapman,55.70%,97.5,-1.5,110.6,,,,,4.90%,100.3,0.9,167.1,,,,,24.60%,85.8,-0.3,126.9,,,,,,14.90%,88.1,0.6,143.2,
10314,Erasmo Ramírez,4.50%,93.9,-0.6,89.2,45.90%,89.2,10.2,80.2,39.40%,93.1,-4.6,99,3.40%,85.3,1.1,79.8,0.20%,78,0,,6.60%,80.5,2.1,89.5,,,,,,
10430,Mychal Givens,51.00%,93.6,-0.9,101.2,,,,,,,,,18.40%,82.2,-1.7,60,29.60%,84.9,1.9,95.7,,,,,,,,,,1.00%
10688,Tyler Thornburg,58.00%,93.5,0.5,111.8,,,,,,,,,13.80%,84.7,-0.7,81.9,6.60%,83.3,1.3,102.8,21.50%,76.1,-0.1,63.4,,,,,,
10855,Chasen Shreve,44.10%,90.7,-1.1,94.7,,,,,,,,,,,,,,,,107.8,18.20%,80.9,-1.4,,,36.80%,83,0.3,100.2,0.80%
10954,Jacob deGrom,47.30%,98.9,6.3,136.7,,,,,0.20%,98.3,0.1,,8.10%,92,-0.6,74,39.30%,92.6,8.6,146.8,5.10%,83.4,2.1,109,,,,,,
11189,Vince Velasquez,45.20%,93.3,6.8,99,,,,,7.10%,92.2,-1.2,74.2,8.60%,88.3,-3,81.7,22.20%,84.8,-1.9,100.8,16.90%,81.7,-1.6,,99.9,,,,,
11384,Tommy Kahnle,23.00%,95.6,-2.9,90.8,,,,,,,,,76.40%,89.6,5.9,130,0.60%,87.2,0,,,,,,,,,,,
11423,Jose Quintana,36.20%,91.3,15.9,70.3,0.10%,89.6,-0.2,,16.10%,91.5,4,82.1,19.50%,86.5,-10.1,71.1,,,,,28.10%,78.5,10.4,109.3,,,,,,
11487,Joely Rodríguez,6.10%,92.8,-1.7,102.5,,,,,49.30%,92.8,5.2,96.9,38.70%,87.8,3.5,117.5,5.90%,83.9,-1.6,120.1,,,,,,,,,,
11490,Aaron Sanchez,17.10%,92.6,0,68.5,,,,,44.60%,92.1,-5.1,84.3,9.80%,87.6,1.6,67.1,,,,,28.40%,79.1,-5.8,114.3,,,,,,
11589,José Ureña,6.40%,96,-2.4,92.6,,,,,53.10%,95.6,-1.9,98.7,15.90%,90.1,-5.9,48.3,24.50%,86.7,0.6,97.4,,,,,,,,,,
11632,Heath Hembree,51.90%,94.4,-7.2,84.9,0.50%,93.4,0,,,,,,,,,,44.60%,84.4,-0.8,105.9,3.00%,79.6,-1.3,89.2,,,,,,
11674,Jameson Taillon,35.90%,94.1,-1.7,98,10.80%,90.7,-0.6,96.6,10.70%,94.1,-0.2,90.3,8.30%,87.7,-4.7,83.2,19.00%,86.1,2,102.6,14.70%,81,5,103.6,,,,,,0.60%
11760,Drew Smyly,,,,,19.20%,88.7,-2.8,79.5,37.60%,92.7,-1.2,80.7,0.20%,84.5,0.2,29.4,,,,,42.90%,78.8,1.3,,119.5,,,,,
11762,Noah Syndergaard,14.90%,94.5,-5.9,52,,,,,32.40%,93.9,13.8,85.2,19.60%,88.8,-6.3,66.3,22.40%,85,-1.1,98,10.80%,76.8,-0.7,114.9,,,,,,
11801,Hansel Robles,50.70%,96.2,-1,94.4,,,,,,,,68.3,16.40%,90.5,-0.3,48.8,32.90%,88.9,-2.4,124.1,,,,,,,,,,
11836,Taijuan Walker,29.90%,93.8,-1.9,84.4,5.00%,88.9,-1.2,100.2,10.60%,92.9,1.2,90.9,,,,,18.20%,85.2,-2.4,113.9,8.70%,75.1,0.9,91.2,,27.60%,88.9,15,150.3,0.00%
11847,Chris Martin,42.90%,95.4,9.3,85.6,31.70%,91.7,4.5,107.6,8.20%,94.7,-2.5,85.4,,,,,7.90%,84.3,-4.8,106.1,,,,116.6,,9.20%,88.5,-0.9,89.6,
12272,Aaron Brooks,24.00%,93.8,0.4,75.3,,,,,25.30%,93,-3.7,99.2,24.00%,85.6,0.3,95.7,22.10%,85.9,-0.6,113.3,4.50%,79.7,0,,54.8,,,,,
12304,Chris Bas2Stt,12.80%,93.3,-3.6,69.9,17.80%,89.2,7.1,91.1,33.60%,92.8,16.4,93.3,5.90%,85.3,-5.3,75.4,16.10%,78.9,-3.9,126.4,13.90%,71.6,5.4,119.6,,,,,,
12323,Jacob Barnes,47.60%,95.4,-1.1,126.5,42.10%,89.2,-1,91.5,,,,,,,,,10.20%,84.6,0.1,104.9,,,,,,,,,,
12447,Seth Lugo,29.30%,94.4,4.3,92.5,,,,,21.90%,94.4,-2.9,85.6,1.60%,87.5,0.2,79.3,13.70%,88.9,-0.2,116.8,33.50%,79.8,1.5,107.3,,,,,,
12730,Nick Martinez,24.90%,93.5,-12.3,98.3,17.70%,88.5,2.1,92,15.90%,93.3,6.2,102,25.60%,79.7,5.1,110.5,,,,,15.90%,81.7,1.2,107.9,,,,,,
12760,Ra4Sel Montero,45.90%,96.5,5.5,112.6,,,,,22.50%,96,6,105.4,19.40%,91.2,6,121.1,12.20%,88,0.8,128.5,,,,,,,,,,
12763,Chris Devenski,43.60%,94.1,-3.6,69.7,,,,,,,,,40.20%,83,0.1,131.8,14.90%,81.8,-2.2,135.9,1.20%,76.8,0,,13.4,,,,,
12763,Chris Devenski,43.60%,94.1,-3.6,69.7,,,,,,,,,40.20%,83,0.1,131.8,14.90%,81.8,-2.2,135.9,1.20%,76.8,0,,13.4,,,,,
12800,Noé Ramirez,38.10%,89.6,1.5,76.5,,,,,,,,,30.50%,83.9,-2.9,104,31.40%,77.8,-2.6,,,,,88.7,,,,,,
12804,Matt Wisler,7.10%,90,-0.4,53.9,,,,,1.30%,89.8,-0.2,,0.10%,88.1,0,,91.50%,80.1,6.9,118.1,,,,,,,,,,
12808,Mike Clevinger,40.80%,93.5,1.5,96.4,14.40%,86.8,0.8,67.3,11.30%,93,4.3,99.1,9.30%,86.2,-2.8,72.2,20.90%,79.9,-5.9,109.5,3.30%,76.8,-1.1,80.7,,,,,,
12880,Tyler Anderson,37.70%,90.7,7.6,79.9,22.10%,85.7,8.6,110.8,7.30%,89.1,-1.9,74.7,31.60%,79,15.3,105.9,,,,,1.20%,73.3,-0.1,72.8,,,,,,
12910,Ken Giles,46.00%,94.8,-0.7,80.3,,,,,,,,,,,,,54.00%,84.3,2.2,111.7,,,,,,,,,,
12917,Dylan Bundy,40.90%,89.1,0.7,98.8,,,,,5.80%,90,-2.5,82,,,,91.9,24.00%,79.2,-6.9,104.3,10.60%,72.2,3,88.9,,18.70%,81.2,-4.9,,
12918,Archie Bradley,29.50%,94,-0.4,85.1,,,,,27.50%,93.5,1.9,92.3,15.70%,85.9,0.4,89.8,15.10%,80.4,-0.2,,12.10%,79.8,0.6,,88,,,,,
12988,Andrew Chafin,27.50%,91.8,0.9,63.3,,,,,40.30%,91.7,0.1,76.5,0.30%,84.9,-0.1,53.6,31.90%,83,6.7,124.5,,,,,,,,,,
13182,Kyle Crick,4.30%,92.3,0.3,41.7,,,,,38.40%,92.4,1.4,106.7,,,,,57.30%,79.9,-0.1,126.8,,,,,,,,,,
13183,Zach Davies,,,,,5.80%,87.4,-1.2,58.2,54.10%,89.4,-9.7,67.2,33.20%,79.6,9.5,103.7,1.00%,76.1,-0.6,84.6,5.90%,74.5,-2.3,85.1,,,,,,
13218,Michael Fulmer,15.20%,94.3,-2.8,94.3,,,,,13.10%,94.5,0.1,106,6.00%,86.6,-0.9,85,63.50%,90.3,7.7,,2.10%,79,-2,101.5,,,,,,
13273,Ross Stripling,33.50%,91.9,2.1,83.8,,,,,7.50%,89.8,3,76.5,27.30%,82.5,3.8,113.1,22.00%,87.1,7.4,111.9,9.70%,76.1,-1.3,,127,,,,,
13293,Danny Coulombe,35.10%,91.8,2.2,101.8,,,,,1.80%,91,-0.6,42.1,19.60%,76.6,-0.4,135.7,28.40%,83.3,0.8,137.2,15.10%,79.9,0.7,117.9,,,,,,
13435,Pierce Johnson,38.60%,94.7,-0.9,92.2,,,,,,,,,,,,,,,,,61.40%,84.1,1.4,125.9,,,,,,
13449,Taylor Rogers,0.10%,94.3,0.1,46.3,,,,,42.90%,94.3,-1,81.2,,,,,57.10%,80.9,2,108.8,,,,,,,,,,
13475,Daniel Norris,33.50%,91.5,-0.6,85.5,,,,,8.50%,90.9,-1.5,61.5,27.90%,86.9,5.4,117,28.60%,80.2,-3.7,90.5,1.50%,76.3,-0.3,64.4,,,,,,
13758,Tyler Duffey,36.80%,92.3,-1.7,78.3,,,,,14.30%,92.5,2.6,78.8,4.50%,79,1.2,83,11.50%,83.8,-1.4,,31.70%,82.1,-4.5,,116.1,,,,,
13763,Dominic Leone,37.20%,95.4,-8,110.4,27.10%,91.2,1.2,92.6,0.20%,95.4,0.1,75.6,,,,,35.50%,85,1.2,121,,,,,,,,,,
13774,Zach Eflin,15.40%,93.3,2,74.4,13.90%,90.4,-2.8,78.1,40.00%,92.9,-0.4,93.5,6.00%,87.2,2.7,66.4,4.50%,86.4,-0.6,87.8,20.10%,78.5,2.5,104.2,,,,,,
13799,Matt Strahm,40.80%,94.3,4.2,108.8,,,,,12.20%,94.2,0.1,110.2,9.00%,88.2,-4.9,88.2,20.80%,88.8,0.9,80.7,17.10%,82.9,1.2,102.2,,,,,,
13801,Austin Adams,21.30%,92.7,-0.2,73.8,,,,,,,,,,,,,78.70%,86.1,1.2,94.9,,,,,,,,,,
13834,Alec Mills,22.50%,88.8,-3.2,79.3,,,,,37.40%,88.6,0.4,72.3,18.50%,79,-5.3,75.8,12.90%,76.2,-2.5,86.7,8.60%,65.9,-1,70.5,,,,,,
14078,Michael Wacha,36.10%,93.2,-9.9,89.1,17.40%,89,4.7,81.5,9.30%,92.7,7.2,74.8,29.80%,84.5,6.3,116.4,,,,,7.40%,75,-3.2,68.3,,,,,,
14361,Ty Blach,55.00%,91.2,2.5,,,,,71,,,,94.9,19.50%,80.8,-4.7,32.9,16.90%,85.2,4.4,,8.60%,79.3,-6.3,71.9,,,,,,
14542,Carlos Estévez,70.30%,97.5,2.4,107.7,,,,,,,,,14.80%,88.5,1.3,93.6,14.90%,87.3,0.3,119.6,,,,,,,,,,
14710,Edwin Díaz,41.90%,99.1,1.2,114.1,,,,,,,,,,,,,58.10%,90.8,20.5,164.6,,,,,,,,,,
14843,Michael Lorenzen,20.00%,95,-2.2,95.6,10.90%,90.8,-3.6,93.4,24.00%,94.2,8.2,89.1,22.30%,86,3.1,102.6,20.70%,83.7,2.3,112.5,2.10%,81.4,-1.8,84.4,,,,,,
14875,Caleb Smith,45.60%,91.8,-5.4,85.8,,,,,,,,,22.40%,83.4,5.1,80.2,28.80%,85.2,-2.8,96.7,3.20%,78.7,-1,88.7,,,,,,0.10%
14966,Reyes Moronta,53.40%,95.3,0,100,,,,,,,,,9.70%,88.9,0.2,93.7,37.00%,82,1.7,113.7,,,,,,,,,,
14975,Chad Kuhl,3.70%,93.6,-4.2,77.8,,,,,41.30%,92.8,-17.1,80,6.90%,87.8,-6.1,66.4,36.60%,86.6,3.7,116.1,11.50%,79.6,-4.5,,119.2,,,,,
15010,Corey Knebel,69.90%,95.8,5.1,109.7,,,,,,,,,,,,,3.00%,79.8,-0.1,154.8,27.10%,78.9,-2,,80.1,,,,,
15046,Trevor Gott,32.70%,95.3,0.5,108.1,,,,88.1,22.10%,95.2,-0.3,94.4,1.10%,90.2,-1.6,124.2,33.80%,91.6,4.1,,10.40%,82.8,0.2,117.8,,,,,,
15291,Steven Brault,31.20%,91.2,-1.1,77.9,,,,,32.50%,91,2.7,78.9,5.10%,85.6,-0.7,83.6,31.20%,82,-0.9,102.5,,,,,,,,,,
15423,Andrew Heaney,62.50%,93,-0.7,94.6,,,,,,,,,5.10%,84.9,-3.1,85.3,32.40%,83.4,2.6,95.2,,,,,,,,,,
15440,Matthew Boyd,32.30%,92.7,0.6,80.4,,,,,15.10%,90.7,2.5,72.1,18.80%,80.7,1.1,109.7,32.30%,80.8,1.7,107.7,1.60%,72,0,79.9,,,,,,
15552,Chad Green,63.90%,94.8,0.5,111.5,,,,,,,,122.5,,,,120.3,34.90%,84.7,1.6,,,,,134.4,,1.30%,88.4,0.1,,
15594,Nick Wittgren,32.00%,91.6,-0.4,62,21.40%,88.3,1.9,84.1,12.70%,91.2,-2,65.8,23.10%,84.2,-0.9,103.3,10.80%,82.1,-1.9,105.9,,,,,,,,,,
15684,Miguel Castro,,,,,,,,,36.40%,97.9,-2.7,66.7,18.60%,92.4,-0.2,95.6,44.10%,85.7,0.6,147.1,,,,,,,,,,1.00%
15823,Zack Littell,50.70%,94.4,-0.8,94.7,,,,,,,,,,,,,36.90%,87.8,-3.6,110,,,,,,12.40%,85.5,-0.3,94.6,
15873,Sean Manaea,,,,,,,,,60.90%,91.1,1.6,91.1,24.60%,84.8,-7.6,87.9,14.50%,81.1,-1.6,83.6,,,,,,,,,,
16137,Carlos Rodón,61.20%,95.5,24.9,116.6,,,,,,,,,2.00%,84.4,-1.2,98,31.10%,85.3,10.1,126.1,5.80%,79.7,1.5,96.9,,,,,,
16350,Ryan Borucki,,,,,,,,,50.20%,95.1,1.7,101.1,11.10%,84.6,-1.2,90.8,38.60%,87.7,-4.6,101.1,,,,,,,,,,
16502,Ryan Yarbrough,18.60%,86.9,-0.3,,30.50%,82.5,-5.8,86.8,,,,84.8,23.90%,78.8,-3.1,68.3,27.10%,71.5,-1.7,,,,,93.3,,,,,,
16918,Luke Weaver,60.20%,94.8,-3.3,98.9,4.40%,87.1,-1.7,,,,,101.6,26.10%,86.9,-1.8,83.6,,,,104.5,9.30%,82.3,-1,93.9,,,,,,
16929,Touki Toussaint,8.60%,93,1.5,85,,,,,38.30%,91.9,-1.8,81.2,,,,,,,,,32.90%,75.6,1.1,102.9,,20.20%,86.6,2.9,91.6,
16977,Trevor Williams,52.80%,91.2,11.3,78.1,,,,,12.90%,88.9,2,76.1,12.80%,84.4,-3.3,61.9,16.60%,82,-5.7,80.2,4.90%,78.1,-1.2,95.4,,,,,,
17432,Jeff Hoffman,52.00%,94.4,-1.8,98.2,,,,,,,,,,,,89.6,23.70%,81.4,-2.1,89.3,,,,,,24.30%,87.8,-0.1,,
18088,Cody Stashak,48.90%,90.9,-1.4,89.2,,,,,,,,,1.80%,84.4,0.2,39.6,49.30%,82.3,3.3,142.2,,,,,,,,,,
18282,Jarlín García,42.90%,93.7,3.1,85.9,,,,,,,,,28.80%,85.1,-1.2,100.2,28.40%,82.5,0.2,102.3,,,,,,,,,,
18333,Alex Young,3.80%,91.5,0.1,61.7,0.70%,84.9,0.4,68,23.60%,90.6,-0.4,55.6,32.10%,86.1,1.9,118.5,24.50%,82.8,0.8,,15.30%,82.2,-1.3,98.3,,,,,,
18333,Alex Young,3.80%,91.5,0.1,61.7,0.70%,84.9,0.4,68,23.60%,90.6,-0.4,55.6,32.10%,86.1,1.9,118.5,24.50%,82.8,0.8,,15.30%,82.2,-1.3,98.3,,,,,,
30115,Robert Suarez,44.40%,97.9,1.8,128,9.00%,94.6,-0.3,82.1,20.10%,96.9,5.7,111.3,21.00%,89.2,1.8,106.2,1.00%,88.2,-0.3,,4.50%,80.6,-0.4,123.3,,,,,,
