playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,Stuff+,Location+,Pitching+
1246,Matt Bush,RP,R,R,TEX,38,5.1,0,2,1,12,0,10.1,8.7,5.2,4.4,0.222,60.00%,28.10%,41.70%,9.58,10.87,9.35,4.98,-0.7,113.5,93.9,97.3
1247,Adam Ottavino,RP,S,R,NYM,38,12.1,1,7,12,66,0,61.2,9,4.2,1,0.252,80.60%,56.30%,14.60%,3.21,3.53,4.52,4.33,-0.1,100,94.8,95.7
1890,Matt Moore,RP,L,L,MIA,35,11,5,1,0,50,0,52.2,10.3,2.6,1.2,0.293,88.60%,35.00%,11.30%,2.56,3.28,3.73,3.95,0.6,101.1,98.6,101.1
1943,Zack Greinke,SP,R,R,KCR,40,19.1,2,15,0,30,27,142.1,6.1,1.5,1.6,0.3,68.70%,43.10%,14.80%,5.06,5.06,4.74,4.42,1.1,84.6,104,100.2
2036,Clayton Kershaw,SP,L,L,LAD,36,15.1,13,5,0,24,24,131.2,9.4,2.7,1.3,0.25,89.30%,47.50%,16.80%,2.46,3.77,4.03,3.57,2.4,101.4,99.7,101.2
2520,Lance Lynn,SP,S,R,LAD,37,12.1,13,11,0,32,32,183.2,9.4,3.3,2.2,0.292,67.80%,35.60%,19.00%,5.73,4.86,5.53,4.5,0.5,93.8,102,100.1
2895,Zach McAllister,RP,R,R,NYY,36,6.1,0,0,0,7,0,5.1,8.4,3.4,3.4,0.368,54.30%,30.00%,22.20%,10.13,7.58,7.94,5.86,-0.2,95.5,103.9,112.1
3548,Liam Hendriks,RP,R,R,CHW,35,9.2,2,0,1,5,0,5,5.4,1.8,1.8,0.2,55.60%,50.00%,16.70%,5.4,3.96,5.26,4.64,-0.1,115.3,98.1,104
4806,Rich Hill,SP,L,L,SDP,44,14.1,8,14,0,32,27,146.1,7.9,3.6,1.4,0.321,66.70%,38.00%,13.40%,5.41,5.66,4.87,4.77,0.7,93.5,96.8,97.2
5003,Jake Diekman,RP,R,L,TBR,37,11.1,0,2,0,63,0,56.2,10.2,6,0.5,0.248,65.50%,46.80%,6.00%,3.34,3.38,3.75,4.52,0.4,140.3,93.4,102.9
5114,Jeurys Familia,RP,R,R,OAK,34,10,0,1,2,14,0,12.2,6.4,9.2,1.4,0.282,62.00%,52.50%,15.40%,6.39,6,7.2,6.85,-0.4,86.3,89.4,88.1
5343,Brandon Crawford,SS,L,R,SFG,37,12.1,0,0,0,1,0,1,0,9,0,0.25,100.00%,25.00%,0.00%,0,3.25,6.26,11.22,0,73.8,61.2,63.9
5448,Jesse Chavez,RP,R,R,ATL,40,13,1,0,1,36,1,34.2,10.1,3.1,0.5,0.273,81.20%,51.70%,8.70%,1.56,3.58,3.05,3.4,0.7,101.2,100.2,95.8
5524,Madison Bumgarner,SP,R,L,ARI,34,12.2,0,3,0,4,4,16.2,5.4,8.1,2.2,0.35,59.30%,37.50%,15.40%,10.26,8.96,8.06,7.51,-0.4,84,91.3,83.3
5615,Ryan Brasier,RP,R,R,LAD,36,6.1,3,0,2,59,0,59.2,8.4,2.9,0.5,0.248,66.90%,43.80%,5.40%,3.02,3.55,3.14,4.04,1.1,106.1,105.5,106.4
6399,José Cisnero,RP,R,R,DET,35,6,3,4,2,63,0,59.1,10.6,3.8,1.5,0.338,68.40%,43.90%,15.60%,5.31,4.64,4.6,4.2,0,106,96.8,97.8
6632,Carlos Carrasco,SP,R,R,NYM,37,12.1,3,8,0,20,20,90,6.6,3.8,1.8,0.336,65.80%,45.00%,19.80%,6.8,6.77,5.86,4.93,-0.3,92.9,98.3,95.7
6655,Craig Kimbrel,RP,R,R,PHI,36,12.2,8,6,23,71,0,69,12.3,3.7,1.3,0.239,77.40%,33.60%,14.50%,3.26,3.28,3.81,3.58,1.1,125.2,101.8,114.1
6797,Julio Teheran,SP,R,R,MIL,33,10,3,5,0,14,11,71.2,6.3,1.6,1.6,0.264,73.40%,40.00%,14.30%,4.4,4.93,4.93,4.67,0.3,85.4,103.5,97.8
6893,Johnny Cueto,SP,R,R,MIA,38,15.1,1,4,0,13,10,52.1,6.7,2.6,2.9,0.236,73.00%,33.10%,22.40%,6.02,5.13,7.02,5.2,-0.7,83.8,106.8,103.3
6895,Chase Anderson,SP,R,R,COL,36,8.1,1,6,1,19,17,86.1,6.7,3.4,1.8,0.291,72.50%,36.20%,14.90%,5.42,4.96,5.72,5.35,0.2,82.2,98.9,93.7
6902,Martín Pérez,SP,L,L,TEX,33,11,10,4,0,35,20,141.2,5.9,3.1,1.3,0.293,74.30%,45.50%,13.00%,4.45,4.86,4.99,4.96,0.4,74.1,103.5,94.9
6984,Luis García,RP,R,R,SDP,37,8,2,3,0,61,0,59.2,8,3.6,0.9,0.298,73.20%,61.50%,16.20%,4.07,4.07,4.29,4.01,0.1,109.7,97.5,101.5
7146,Daniel Hudson,RP,R,R,LAD,37,13.1,0,0,1,3,0,3,15,9,0,0.333,100.00%,50.00%,0.00%,0,2.25,2.92,4.58,0,106.8,94.4,96.4
7432,Jay Jackson,RP,R,R,TOR,36,2,3,1,0,25,0,29.2,8.2,2.7,1.2,0.187,89.30%,43.60%,12.10%,2.12,3.4,4.2,4.29,0.1,100.2,101.4,97.9
7803,Richard Bleier,RP,L,L,BOS,37,7,1,0,0,27,0,30.2,4.7,1.5,1.5,0.311,65.80%,55.20%,17.90%,5.28,4.7,5.11,4.5,-0.1,85.3,106,100.5
