playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,BB/K,ISO,BABIP,OBP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,wRC+,WAR,Off,Def,Spd,BsR,Barrel%,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Pull%,Cent%,Oppo%,LD%,GB%,FB%,EV,LA,maxEV,Clutch
19262,Garrett Hampson,SS/2B/3B/OF,R,R,MIA,29,5.01,98,252,61,45,12,1,3,30,23,5,9.10%,26.60%,34.30%,0.104,0.379,0.349,0.276,0.239,0.323,0.291,0.38,0.329,99.4,0.6,1.3,-3.8,5.4,1.5,2.50%,28.30%,25.50%,57.00%,42.10%,55.10%,83.60%,75.40%,34.60%,32.70%,32.70%,24.00%,42.70%,33.30%,86.6,11.8,108.5,-0.3
16451,Luis Guillorme,SS/3B/2B,L,R,NYM,29,4.16,54,120,24,16,6,1,1,12,9,0,8.30%,23.30%,35.70%,0.103,0.291,0.288,0.224,0.193,0.269,0.236,0.327,0.262,69.1,-0.3,-4.8,-2.7,3.1,-0.2,1.20%,25.60%,24.90%,55.20%,40.50%,72.40%,89.80%,84.60%,22.00%,40.20%,37.80%,22.80%,40.50%,36.70%,85.9,11.8,100.4,-0.3
16424,Jordan Luplow,RF/LF/1B,R,R,MIN,30,5.03,39,90,16,11,3,0,2,11,5,2,13.30%,30.00%,44.40%,0.117,0.292,0.322,0.208,0.194,0.29,0.273,0.325,0.289,82.4,0.1,-1,-1.2,4.6,0.9,6.00%,32.00%,25.70%,70.60%,48.90%,51.10%,72.70%,67.20%,38.00%,44.00%,18.00%,10.20%,51.00%,38.80%,85.4,14.1,106.2,-0.3
15124,Tim Locastro,CF/LF/RF,R,R,NYM,31,4.12,43,67,13,8,3,0,2,13,3,6,4.50%,32.80%,13.60%,0.161,0.344,0.338,0.232,0.22,0.327,0.315,0.393,0.367,108.2,0.4,2.1,0.1,7.5,1.4,8.30%,22.20%,40.50%,60.60%,51.30%,60.00%,75.30%,69.70%,47.20%,27.80%,25.00%,21.20%,30.30%,48.50%,83.3,22.2,105.6,-0.4
4892,Mike Moustakas,1B/3B,L,R,LAA,35,12.11,112,386,87,60,15,0,12,43,48,0,6.00%,24.60%,24.20%,0.145,0.296,0.293,0.247,0.217,0.294,0.27,0.392,0.352,77.7,-0.4,-12.2,-5.4,1.5,-1.9,5.70%,37.00%,35.00%,69.00%,53.00%,54.50%,83.50%,74.50%,40.40%,33.20%,26.40%,21.10%,34.00%,44.90%,89,18,112.9,-0.4
15941,Austin Nola,C,R,R,SDP,34,4.05,52,154,19,15,3,0,1,9,8,0,11.70%,20.10%,58.10%,0.046,0.184,0.26,0.146,0.2,0.22,0.266,0.192,0.263,36.5,-0.9,-12.3,-2,0.9,-0.2,1.00%,25.20%,16.50%,55.20%,37.80%,51.10%,93.80%,85.40%,39.80%,31.10%,29.10%,16.70%,40.60%,42.70%,85.8,15,106.1,-0.4
17161,Chad Wallach,C,R,R,LAA,32,4.02,65,172,31,18,5,1,7,18,15,0,7.60%,33.10%,22.80%,0.178,0.258,0.259,0.197,0.212,0.275,0.292,0.376,0.405,69.6,-0.2,-7.5,-0.1,3.4,-1.2,10.80%,32.40%,26.80%,69.60%,49.50%,32.90%,79.10%,67.40%,41.20%,31.40%,27.50%,19.00%,38.00%,43.00%,87.7,16.7,108.1,-0.4
6153,Eduardo Escobar,3B/2B,S,R,LAA,35,11.13,100,309,65,48,6,5,6,32,31,2,5.80%,25.20%,23.10%,0.118,0.286,0.269,0.226,0.203,0.267,0.244,0.344,0.299,65.4,-0.9,-14,-5.2,5.4,-1.1,3.80%,30.00%,36.50%,66.40%,50.60%,63.70%,79.40%,73.40%,47.90%,28.20%,23.90%,19.80%,43.40%,36.80%,86.3,14.4,108.9,-0.4
11339,Jake Marisnick,CF/RF/LF,R,R,LAD,33,9.05,46,83,18,11,3,2,2,10,10,2,3.60%,25.30%,14.30%,0.171,0.296,0.28,0.237,0.226,0.294,0.277,0.408,0.368,86,0.4,-1.9,2.9,6.7,-0.5,5.30%,36.80%,34.50%,72.20%,55.10%,50.00%,86.60%,76.30%,33.30%,38.60%,28.10%,17.90%,32.10%,50.00%,88.5,21.9,107.8,-0.4
8709,Elvis Andrus,SS/2B,R,R,CHW,35,15,112,406,94,67,20,1,6,39,44,12,6.20%,17.50%,35.20%,0.107,0.294,0.304,0.251,0.231,0.29,0.267,0.358,0.313,81.3,1.2,-8.4,6.8,4.6,0.7,2.60%,31.00%,27.80%,60.60%,44.80%,66.50%,88.20%,81.80%,42.20%,31.70%,26.10%,16.80%,55.10%,28.10%,87.5,5.5,109.4,-0.4
19514,Andrew Knizner,C,R,R,STL,29,4.02,70,241,54,33,11,0,10,30,31,2,5.00%,25.70%,19.40%,0.183,0.288,0.288,0.241,0.221,0.306,0.286,0.424,0.391,92,0,-4,-4,3.7,-1.6,7.90%,40.90%,38.20%,69.00%,54.30%,60.90%,81.20%,74.40%,39.00%,34.80%,26.20%,16.80%,40.40%,42.90%,89.6,14.3,110.3,-0.5
