playerid,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO
3237,T.J. McFarland,OAK,2,4,0,79,0,56.2,6.194120427,2.700001212,0.635294403,0.286549708,0.67251462,0.573099415,0.1,3.811766417,3.36,3.819421248,3.969074308,0.339210004,,,,0.00119617,82.41190338,0.05477396,0.49162679,88.28134504,4.394925866,0.12320574,81.63213934,-1.045802377,0.38397129,78.45849153,3.103445087,,,,,,,,,,,,,,,,,80.1754902,,-22.9,39.564,92.14455128,,61.9,,64.31731707,100.8943902,102.1381707,
4301,Justin Wilson,CIN,1,5,2,60,0,46.2,9.83571643,2.507143404,1.928571849,0.338345865,0.71428571,0.382978723,0.158730158,5.592858362,4.25,4.730765834,3.986262734,0.150765941,0.49019608,95.62091797,-9.06703376,0.25857843,92.32090492,3.07543692,,,,0.01102941,87.11484104,0.171237469,0.23284314,88.48987459,-2.030091651,0.00735294,86.43392944,0.047067352,,,,,,,,,,,,,,,,101.0383663,,131.8444444,,85.00816327,44.6875,104.2102941,103.7161765,103.8840686,
4676,Charlie Morton,ATL,8,10,0,30,30,165.1,9.090726086,3.53830656,1.252016168,0.306074766,0.7421875,0.46325167,0.157534246,4.191532387,4.49,4.460834657,3.987567872,1.102370381,0.27803655,94.27962911,-10.95091292,,,,0.10927983,93.67095927,0.818494257,0.10999642,85.08504046,-4.202682197,0.07954138,88.56147065,-1.84377664,0.42314583,81.62908155,9.374554724,,,,,,,,,,,,,,86.27003257,121.7071006,71.75186104,79.00471014,,,72.69315068,,95.3686626,97.5048763,97.43571172,
4806,Rich Hill,BOS,0,1,0,4,0,3.2,12.27273259,7.363639556,2.454546519,0,0.83333333,0.5,0.5,4.909093037,7.18,7.257390643,4.536666776,-0.108184561,0.38028169,86.48891421,0.716093387,0.12676056,84.41899957,0.26285984,,,,0.01408451,82.12290192,-0.048322156,0.36619718,70.76956881,0.11942162,0.11267606,72.55529022,-1.501404978,,,,,,,,,,,,,,,72.05,63.85,84.225,166.2615385,,85.57777778,,110.7457143,89.80714286,94.89285714,
5003,Jake Diekman,NYM,2,3,4,43,0,32,11.25000469,6.750002816,1.968750821,0.228571429,0.65533981,0.447368421,0.291666666,5.625002347,5.11,6.135231017,4.425486608,-0.810649812,0.61403509,94.74897524,-1.664853338,,,,,,,0.09728868,87.27380571,-3.608916767,0.28867624,82.90437241,0.461254675,,,,,,,,,,,,,,,,,82.21754386,,139.1340599,85.5,119.9107143,,,,129.0423077,90.74765886,96.2041806,
5097,Anthony Gose,CLE,0,0,0,3,0,4.1,8.307692917,2.076923229,4.153846459,0.466666667,0.69444444,0.470588235,0.4,10.38461615,11.29,8.01263398,3.757258752,-0.117556266,0.55696203,95.89326616,-1.990482055,,,,,,,,,,0.44303797,87.16102121,-2.477449592,,,,,,,,,,,,,,,,,,,89.89772727,,114.7342857,,,,100.9012658,98.63797468,99.48987342,
5297,Aaron Hicks,LAA,0,0,0,1,0,1,0,9,9,0.25,0.625,0,0.25,18,24.39,19.16647978,12.2145134,-0.073030926,1,66.51602512,-1.404368449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.4,54.7,96.4,
5343,Brandon Crawford,STL,0,0,0,1,0,1.1,0,13.50000322,0,0.428571429,0.33333333,0.428571428,0,27.00000644,9.08,9.916481388,12.18449454,-0.031061469,0.57142857,87.29977417,-1.186800636,,,,0.4,84.76958357,-0.262767628,,,,,,,0.02857143,73.59339905,-0.024242934,,,,,,,,,,,,,,41,74.5,63.9,,218.1,,64.9,,58.22571429,58.69428571,52.56857143,
5448,Jesse Chavez,ATL,2,2,0,46,0,63.1,7.815790572,2.700000379,1.421052831,0.279329609,0.8030303,0.430851063,0.158730158,3.126316229,4.25,4.429637851,3.881056662,-0.202841282,,,,0.5105364,88.96704972,4.109491363,0.27011494,90.87466063,-1.997472372,0.13314176,85.2943247,0.956750333,0.01628352,81.34650735,-2.267539065,0.06992337,75.82159006,0.248290576,,,,,,,,,,,,,,64.95182482,87.77916667,,89.58115942,107.35,,84.48604651,,83.82792527,102.2113078,95.9152409,
5615,Ryan Brasier,LAD,1,0,0,29,4,28,8.03571538,1.607143076,0.964285846,0.246753247,0.65789474,0.423076923,0.096774193,3.535714767,3.46,3.309336941,3.590489143,0.365046032,0.29679144,94.63082198,4.700040787,0.13368984,90.47487061,1.551428817,0.16042781,94.68291016,0.734799337,,,,0.40909091,85.27642543,-3.518586509,,,,,,,,,,,,,,,,,,,93.48465498,96.21286255,101.9148684,,77.59777778,,95.37042366,106.9125807,105.5475659,
6107,Huascar Brazobán,- - -,1,3,0,39,0,51.2,8.883872717,4.354839567,0.348387165,0.264705882,0.63291139,0.456521739,0.046511627,3.832258819,3.64,3.321318518,4.07647405,0.644363917,0.21579533,96.63614993,2.549942404,0.15350389,90.49484828,0.57129094,0.24805339,96.27698903,-2.558800731,0.28698554,90.38764989,3.722061031,0.09566185,87.08449004,3.253530938,,,,,,,,,,,,,,,,,126.6098891,,91.46422132,95.70938692,,,87.20363881,,100.6442273,95.07444213,95.07310999,
6175,Albert Suárez,BAL,9,7,0,32,24,133.2,7.271821002,2.895262066,1.144638491,0.28680203,0.78843627,0.33910891,0.098837209,3.703242177,4.05,4.236305296,4.528565512,1.420058776,0.5,94.8281862,-3.69205863,,,,,,,0.17233662,86.12987393,-1.935569979,0.19606088,86.29286117,2.527977582,0.13160251,78.99859111,1.830106203,,,,,,,,,,,,,,99.26493506,94.2875,89.68084154,,,,73.98784404,,88.8767722,100.3021361,97.00963682,
6399,José Cisnero,LAA,0,0,0,15,0,15.2,9.765959627,4.595745707,2.297872853,0.325581395,0.58035714,0.413043478,0.222222222,6.89361856,6.17,6.230310249,4.648362108,-0.239773721,0.31629393,95.5801965,-3.096971046,,,,0.25559105,95.46434937,-2.184066672,,,,0.01916933,84.52087911,-0.197793346,0.27795527,85.27517174,1.550307885,,,,0.13099042,88.99258051,-0.171572071,,,,,,,,101.94,,112.8021277,95.42173913,121.4402439,,80.2,,107.8698582,93.5677305,96.29042553,
6562,Alex Cobb,CLE,2,1,0,3,3,16.1,5.510204511,1.653061353,0.551020451,0.270833333,0.64102564,0.612244897,0.076923076,2.755102255,5.01,3.288928767,3.696445694,0.273648858,0.00826446,94.55390167,-0.024242934,,,,0.4214876,93.99527995,0.321557768,,,,,,,0.1322314,83.40822601,-0.449743867,,,,0.43801653,89.35561616,2.980043903,,,,,,,,,,,83.44230769,,129.775,,123.3820755,107.0632231,105.3376033,107.4161157,
6632,Carlos Carrasco,CLE,3,10,0,21,21,103.2,7.726688292,2.864951839,1.649517725,0.3089701,0.66450567,0.465408805,0.169642857,5.643086955,4.71,4.931753133,4.182668949,0.126771256,0.24985233,91.79315344,-2.211148247,,,,0.1760189,91.16241086,-7.199551929,0.22976964,86.85140183,-4.200573988,0.27525103,83.59968482,-4.305714462,0.06910809,80.48969184,1.671480414,,,,,,,,,,,,,,100.6691517,102.9377193,62.21568182,90.16857143,95.97155499,,,,87.62810568,99.6485104,96.72951096,
6655,Craig Kimbrel,BAL,7,5,23,57,0,52.1,12.55414135,5.331210709,1.203821773,0.284482759,0.61933535,0.319672131,0.129629629,5.331210709,4.31,4.17921873,4.00052675,0.142890587,0.65696466,93.97601241,-0.946636673,,,,,,,0.00519751,88.35780029,-0.154468518,0.05093555,85.8214784,0.884952903,0.28690229,84.32324926,-0.750838034,,,,,,,,,,,,,,48.9,,109.7607717,,82.32666667,117.0533088,,,111.5656448,95.63372093,100.5003171,
6797,Julio Teheran,NYM,0,0,0,1,1,2.2,10.12500241,6.750001609,3.375000805,0.5,0.60606061,0.363636363,0.2,13.50000322,7.84,8.041480941,6.001496216,-0.087314717,0.07352941,91.24310303,-0.118250549,0.29411765,86.86998901,-0.059179746,0.42647059,90.77611463,-1.936128404,0.08823529,82.85136414,-0.49146051,0.11764706,76.18945313,-0.128294263,,,,,,,,,,,,,,,,,57.8,90.6,79.7,87,,,82.9,,83.10441176,88.17794118,83.23676471,
6893,Johnny Cueto,LAA,0,2,0,2,2,11.1,4.764706016,2.382353008,3.176470677,0.27027027,0.70175439,0.414634146,0.222222222,7.147059024,11.85,7.490009311,5.303199072,-0.215211958,0.08982036,91.26222331,-0.837768432,0.05988024,87.34099731,0.2825233,0.35928144,91.32102051,-0.648542959,0.28742515,81.41205851,-1.741294648,0.20359281,85.51126637,-1.310352825,,,,,,,,,,,,,,,,,71.90625,146.2,60.04,86.78,79.12352941,,47.9,,76.80479042,96.25508982,91.74550898,
6895,Chase Anderson,- - -,0,2,3,29,1,58.1,6.480000247,3.240000124,1.851428642,0.244318182,0.61708861,0.315508021,0.12371134,5.400000206,4.49,5.686479874,5.526448132,-0.492904983,0.1515748,93.83223457,-5.731858537,0.33759843,88.99662189,-4.135099713,0.01377953,93.060015,0.592481136,0.30413386,84.08362784,2.914942425,0.15255906,80.64513333,0.799469024,0.04035433,78.88993277,0.554033712,,,,,,,,,,,,,,119.931068,89.02926829,76.16821192,79.69159664,120.7694805,,102.815407,,105.8259306,100.0391923,99.05516102,
6902,Martín Pérez,- - -,5,6,0,26,26,135,7.133333535,3.266666759,1.466666708,0.316953317,0.76923077,0.443661971,0.144736842,4.533333461,5.38,4.899813161,4.483704095,0.527545318,0.04264973,91.48380101,-5.708381139,0.21960073,88.02705118,-4.361235213,0.36751361,90.83393615,1.256253652,0.22822142,83.46171409,-6.309321679,0.00136116,82.34820048,0.284629144,0.14065336,77.93076172,1.933837265,,,,,,,,,,,,,,70.97644711,73.65935484,55.76896552,78.22420786,69.5,,70.05749487,,72.95066512,102.4303724,94.74441656,
6984,Luis García,- - -,5,1,4,60,0,59,8.084746939,2.288135926,1.220339161,0.302857143,0.63421829,0.50273224,0.153846153,4.881356642,3.56,4.047835839,3.61774149,0.295534223,0.04788419,96.44981207,0.156481449,0.00445434,94.09260559,-0.653853178,0.53340757,96.6396097,1.631685439,,,,0.22828508,82.63506574,-0.18459956,,,,,,,0.18596882,87.30188792,-2.270071883,,,,,,,,,,98.36789168,95.43941577,123.9144979,,92.77333333,108.4184211,103.2166646,98.80563334,102.8974329,
7005,Ryan Pressly,HOU,2,3,4,59,0,56.2,9.211765739,2.85882385,0.635294189,0.333333333,0.7320442,0.487804878,0.085106382,3.494118039,3.97,3.095891535,3.432322074,0.839820683,0.33333333,93.94649768,-1.833785541,,,,0.01960784,93.7407612,-0.939713951,0.11042312,89.68342034,-0.607981976,0.2879257,89.69407342,2.949269656,0.24871001,82.5514539,0.098099619,,,,,,,,,,,,,,105.345283,129.678355,99.14548387,81.15294118,152.4866667,,,,123.3590763,100.4074114,107.9328679,
7048,Fernando Cruz,CIN,3,8,0,69,3,66.2,14.71500309,4.725000991,1.215000255,0.335820896,0.69767442,0.357142857,0.176470588,4.86000102,4.05,3.2714798,2.673166106,1.224632531,0.3225241,94.8031802,-0.276888441,,,,0.00087642,91.89969635,0.05477396,,,,0.25153374,88.80341618,-5.885847837,0.00525855,83.16651917,0.054846343,,,,0.41542507,81.66430407,8.515608188,,,,,,,0.00438212,,,89.67977224,,,,81.53789659,157.3537205,115.9607227,94.57808057,100.2535526,
7146,Daniel Hudson,LAD,6,2,10,65,0,63,9.000000545,2.714285879,1.428571515,0.225,0.78846154,0.388235294,0.12345679,3.000000182,3.8,4.182352856,4.062871593,0.211858377,0.5025025,95.22395574,3.136726171,,,,0.05105105,95.2466299,-0.597410414,0.03703704,88.8606023,-0.923318263,0.40940941,88.10379737,3.767866522,,,,,,,,,,,,,,,,,79.17297297,,110.4582996,84.31395349,90.55459057,,,,99.86768293,101.0929878,100.5822154,
7432,Jay Jackson,MIN,1,2,0,20,0,26.1,9.911393602,3.075949738,2.392405352,0.304347826,0.47794118,0.355263157,0.21875,7.518988249,4.74,5.444961066,3.826641972,-0.270823717,0.25382932,92.0364864,2.919056542,,,,0.0547046,91.21661133,0.224559382,0.13347921,86.08962763,-1.814918604,0.54923414,85.00854395,-6.158353519,,,,,,,,,,,,,,,,0.00875274,88.12833333,,69.94628099,76.67391304,114.412253,,,,97.40629067,102.237744,97.40715835,
7593,Jordan Lyles,KCR,0,0,0,5,0,5,5.4,3.6,0,0.142857143,1,0.428571428,0,0,4.28,3.166479778,5.585693228,0.041346673,0.26388889,90.81219804,0.029426523,0.18055556,87.63557317,0.455264658,0.09722222,89.57301549,-0.341641966,0.18055556,84.45170711,0.444520179,0.15277778,80.28795277,0.882894527,0.125,80.10802544,-0.032837514,,,,,,,,,,,,,,74.68461538,117.2222222,65.02631579,78.4,110.9090909,,105.0692308,,88.26944444,97.18611111,91.85833333,
7802,Miguel Rojas,LAD,0,0,0,1,0,1,0,0,0,0.25,1,0.5,0,0,6.53,3.166479778,4.678488185,0.005857535,0.14285714,63.24375153,0.245279644,,,,,,,0.85714286,45.13332621,-0.034245662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7836,Hunter Strickland,LAA,3,2,1,72,0,73.1,6.995455758,2.945455056,1.22727294,0.228855721,0.75,0.357142857,0.093457943,3.313636938,3.49,4.448298182,4.881728705,0.258187175,0.31979257,94.45367399,1.307447415,0.00259291,89.87996419,-1.434563216,0.08902334,92.85714692,-1.354777712,,,,0.52722558,84.09760502,8.182564244,,,,,,,0.0613656,88.2638163,1.846177865,,,,,,,,78.19384615,,79.40837989,73.76875,135.6145923,,78.48699187,,102.8197498,100.049866,104.3724754,
8048,Will Smith,KCR,0,4,1,45,0,41.1,6.314516906,3.266129434,1.524193736,0.287878788,0.60150376,0.306569343,0.109375,6.532258868,5.49,5.271318747,5.410880167,-0.370800853,0.29123328,91.34497569,-4.198516164,,,,,,,0.14413076,85.91459609,-0.04913095,0.44130758,80.69885706,0.348178566,0.12332838,76.613746,-1.584583938,,,,,,,,,,,,,,78.10625,78.10253165,63.51927083,,120.512585,,,,92.35776119,98.76537313,98.46985075,
8110,Bryan Shaw,CHW,0,1,0,5,0,4,9.000004292,9.000004292,2.250001073,0.466666667,0.66037736,0.25,0.125,9.000004292,7.46,7.416481805,7.19049851,-0.145317242,,,,0.64210526,93.30006084,1.189251203,0.06315789,92.70790609,-1.220717218,0.05263158,81.46466064,-0.700945258,0.12631579,83.11420695,-2.285282642,0.11578947,82.29157049,-0.703110583,,,,,,,,,,,,,,12.82,105.2727273,,91.4,110.4416667,,84.05081967,,86.55684211,87.09157895,85.73789474,
8241,David Robertson,TEX,3,4,2,68,0,72,12.37500131,3.375000358,0.625000066,0.3,0.76923077,0.487804878,0.092592592,3.000000318,3.19,2.652590835,2.883819386,1.873952389,,,,0.63374486,93.55068994,16.73930246,0.01316872,95.06777191,0.352991108,0.018107,88.3698453,1.281570297,0.05761317,83.88389369,-1.807537042,0.27736626,84.45133995,-4.055886466,,,,,,,,,,,,,,110.4809524,,,106.8411765,108.48,118.5530864,121.1548177,,119.3236168,99.63311313,104.9673823,
8246,Paolo Espino,TOR,0,1,0,3,1,8.2,3.115384844,5.192308073,3.115384844,0.34375,0.75949367,0.314285714,0.1875,8.307692917,10.07,9.051095595,7.342495604,-0.275822729,0.32911392,88.21464186,-3.954781394,,,,,,,0.23417722,83.31355574,1.957029447,0.12025316,75.6591829,-0.79132469,0.3164557,70.54099609,-3.540800191,,,,,,,,,,,,,,61.15135135,119.132,67.41346154,,114.3578947,,,,89.08607595,96.32278481,91.38291139,
8700,Justin Verlander,HOU,5,6,0,17,17,90.1,7.372694142,2.690037052,1.494465029,0.302919708,0.68181818,0.282229965,0.1,5.479705106,3.78,4.782716032,5.13475953,0.65217483,0.48670886,93.69962004,-4.54993825,,,,,,,0.10126582,84.19992065,-0.922429666,0.19303797,86.92539703,1.995658424,0.21898734,77.8504674,-5.03801664,,,,,,,,,,,,,,114.568125,110.0300578,116.1842653,,126.7045902,,,,116.7037342,101.0689241,103.0825316,
8779,Wade Miley,MIL,0,1,0,2,2,7,2.571428571,5.142857143,1.285714286,0.227272727,0.625,0.523809523,0.166666666,6.428571429,8.65,6.595051207,6.033915555,-0.108835325,0.21186441,90.38611328,-0.059390407,0.38135593,87.17523872,0.250504535,0.15254237,89.93591309,-0.320118669,0.20338983,83.68887329,-0.469633076,0.02542373,79.25553385,-0.110643413,0.02542373,75.51929728,0.222067077,,,,,,,,,,,,,,114.9208333,88.66666667,81.36,74.86666667,126.3666667,,93.1,,93.00254237,99.88898305,93.38220339,
9073,Kirby Yates,TEX,7,2,33,61,0,61.2,12.40540668,4.086486908,0.437837883,0.168067227,0.88114754,0.454545454,0.058823529,1.167567688,1.86,2.501614845,3.119654293,1.919254899,0.60759494,93.39211488,14.94997393,,,,,,,,,,0.00584226,85.87401326,0.02375276,,,,,,,0.3865628,86.50649402,7.328553248,,,,,,,,,,89.86794872,,92.66666667,,,108.8355164,97.18926829,101.5520976,102.0138537,
9132,Nathan Eovaldi,TEX,12,8,0,29,29,170.2,8.753906772,2.214843882,1.212890697,0.270742358,0.74481074,0.483263598,0.146496815,3.796875226,3.91,3.834448568,3.47342503,2.694152832,0.37314002,95.63152639,8.048277143,0.15375811,91.44636903,-5.968614172,,,,,,,0.0270889,85.90892523,-0.1315745,0.13658909,76.95683485,-2.818608239,,,,0.30904235,88.62641782,12.6411362,,,,,,,0.00038153,,99.13844011,74.753524,,114.1207792,,91.22706186,126.5886139,97.77871042,103.9756963,102.8508585,
9174,Casey Kelly,CIN,0,0,1,2,0,5.1,6.750000402,1.687500101,1.687500101,0.266666667,0.65217391,0.375,0.125,5.062500302,3.78,4.666479868,4.496992467,0.005618968,0.25641026,90.85687256,-0.711228818,,,,0.16666667,89.61594802,1.11954594,0.20512821,84.61880493,0.049648836,0.25641026,84.81025391,-0.584824484,0.11538462,80.06193712,0.266327891,,,,,,,,,,,,,,35.8875,100.9666667,77.11,65.15384615,127.95,,,,82.45,99.0474359,94.07435897,
9323,Patrick Corbin,WSN,6,13,0,32,32,174.2,7.162214158,2.78244291,1.288168014,0.337016575,0.65652174,0.46332737,0.136612021,5.616412541,5.53,4.414571454,4.138030627,1.749418616,0.05747922,91.37990046,-2.863077976,0.13538781,86.73988971,-4.547688119,0.3566482,91.66412318,-18.86295455,0.03358726,81.27691587,-5.368912984,0.41689751,80.17565796,5.565951303,,,,,,,,,,,,,,,,,87.48829787,72.91944444,54.50100503,70.70693277,87.62830189,,75.51828154,,76.370161,101.407263,94.49001789,
9434,Dallas Keuchel,MIL,0,0,0,4,4,16.2,5.940000227,4.320000165,1.620000062,0.350877193,0.78358209,0.525423728,0.176470588,5.400000206,5.11,5.626479872,4.828728416,-0.066337124,,,,0.1461039,84.53852539,-2.120002985,0.56818182,88.10310268,-5.231477853,0.27597403,81.05622702,1.892911218,0.00974026,78.44086711,0.059089623,,,,,,,,,,,,,,,,,89.93411765,,,70.73885714,115.8666667,,89.15333333,,79.17467532,94.33149351,92.16915584,
9761,Joe Kelly,LAD,1,1,0,35,0,32,9.843751173,4.500000536,1.125000134,0.325301205,0.7112069,0.470588235,0.148148148,4.78125057,5.11,4.572729946,4.223486997,-0.047403477,0.23188406,98.16278839,-1.021687299,,,,0.30434783,98.33951823,0.971001137,0.06884058,88.42051295,-3.471213195,0.20833333,90.3439623,-0.538266201,0.1865942,87.49451039,0.489290442,,,,,,,,,,,,,,85.02631579,,94.56148148,83.39542484,146.9298246,127.9010753,,,107.376306,92.19085821,96.42649254,
9803,Miles Mikolas,STL,10,11,0,32,32,171.2,6.396116884,1.310679689,1.363106877,0.3099631,0.62899787,0.419469026,0.126213592,5.347573132,4.65,4.238324502,4.083802541,1.971071839,0.27171904,93.39575893,2.672697987,,,,0.23844732,92.60729167,8.082443163,0.08502773,85.78584409,-10.00037314,0.28354898,85.89494377,-8.57859451,0.11829945,76.64125366,-5.614645015,0.00295749,68.23840332,0.037559953,,,,,,,,,,,85.43030303,94.43694268,65.41710875,80.4086262,116.2725337,,,,87.29119614,108.7925706,102.5221025,
10058,Tyler Matzek,ATL,0,0,0,11,0,10,9.000001717,2.700000515,2.700000515,0.40625,0.54054054,0.314285714,0.23076923,9.900001888,7.74,5.966480312,4.032090871,-0.186407104,0.66480447,93.89904477,-4.148629822,0.01117318,90.99629974,-0.545622926,,,,,,,0.32402235,83.5592925,-0.042980153,,,,,,,,,,,,,,,,,,,100.505,,101.3327586,,63,,100.4404494,97.08595506,97.48876404,
10061,Brooks Raley,NYM,1,0,0,8,0,7,11.57143015,3.857143383,0,0.153846154,1,0.307692307,0,0,3.24,1.880765317,3.60877516,0.300667405,,,,0.24369748,86.13338497,-1.018740539,0.09243697,89.41092751,0.306084253,0.18487395,84.15840288,0.995303068,0.4789916,80.95360471,3.12274839,,,,,,,,,,,,,,,,,99.97727273,,,77.6,116.4382979,,98.99310345,,103.5097561,108.0520325,112.695935,
10078,Caleb Thielbar,MIN,2,4,3,59,0,47.1,10.07746831,4.563381875,1.140845469,0.330827068,0.625,0.379562043,0.109090909,5.323945521,4.17,4.096057568,4.205081458,0.186697096,0.43404735,93.23355317,-4.355096679,,,,,,,0.0011274,84.24359894,0.050170138,0.3167982,81.64963996,-2.691433709,0.24802706,74.13569336,3.372834314,,,,,,,,,,,,,,,116.4221698,88.14564644,,137.9178082,,,,111.6578089,105.2184149,104.9583916,
