playerid,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO
31838,Kodai Senga,NYM,1,0,0,1,1,5.1,15.18750091,1.687500101,1.687500101,0.125,0.76923077,0.222222222,0.333333333,3.375000201,4.62,3.353979789,1.766984423,0.145674035,0.39726027,95.95048155,1.535102412,0.16438356,91.99845378,-0.461622417,,,,,,,0.09589041,81.07100133,0.119870074,0.01369863,70.8742981,0.19612819,,,,0.32876712,83.18566386,0.33921748,,,,,,,,,154.6,121.9,,89.5,,87.7,,109.8712329,102.209589,103.4,109.5
25918,Zack Thompson,STL,0,2,0,5,2,17,10.58823648,4.235294593,3.176470945,0.375,0.6097561,0.407407407,0.272727272,9.529412834,4.94,6.990009619,4.358490791,-0.28390898,0.35646688,91.40547653,-3.449964631,0.12302839,84.82682605,-1.934525657,,,,,,,0.15141956,82.41308848,-0.809362695,0.14195584,74.19696181,-2.983473342,,,,0.22712934,84.49294705,1.336163845,,,,,,,,,59.20666667,15.1,,64.07386364,,,,53.18065698,98.74974405,88.58739493,93.93
19409,Dane Dunning,TEX,5,7,0,26,15,95,8.621052978,3.789473836,1.705263226,0.296992481,0.70458404,0.437722419,0.168224299,5.305263371,5.28,5.166479859,4.406320875,-0.058735043,0.02072232,89.42831159,0.273025356,0.19242155,88.2884405,-2.178467941,0.3812907,89.91280692,-1.312803511,0.12374186,85.23804762,-2.684237983,0.23386619,80.80507071,-4.304442164,0.04677324,75.87105667,0.071949232,,,,0.00059207,81.67500305,-1.411668301,,,,,,,0.00059207,82.84739336,,40.02916667,79.15408805,102.0815657,57.58866647,73.91100629,,81.54506079,98.29183548,94.21546632,73.4
13276,Matt Carasiti,COL,0,1,0,7,0,8.2,7.269232902,3.11538553,2.076923686,0.466666667,0.58139535,0.46875,0.333333333,10.38461843,8.7,5.93571136,3.982485837,-0.164513052,0.17647059,94.83487956,-0.25779435,0.17647059,87.82811686,1.064499602,0.33529412,94.44688871,-2.16780379,,,,,,,,,,,,,0.31176471,79.62643721,-2.714123931,,,,,,,,,,66.07096774,93.69464286,,,99.06666667,,62.13823529,95.84176471,90.95941176,3.418867925
1247,Adam Ottavino,NYM,2,2,1,60,0,56,11.2500023,3.696429327,0.964285911,0.309352518,0.7082153,0.433566433,0.1,4.339286601,3.19,3.66647988,3.893631791,0.457903206,0.10069791,93.21128558,2.544175614,0.110668,87.85364759,-2.938132796,0.33599202,92.30176651,3.260813426,0.05084746,87.49235983,-0.835847493,0.39680957,79.20868993,-1.220795885,0.00498504,77.57615967,-0.323109709,,,,,,,,,,,,,,71.148,,73.93863636,100.3837349,116.2175573,,83.92,,103.5111223,99.79787664,100.9784631,
1890,Matt Moore,LAA,5,3,1,51,0,48.1,7.634484165,4.841380202,2.048276239,0.215384615,0.69767442,0.294117647,0.152777777,5.027587133,4.25,6.166480331,5.460230654,-0.740457654,0.50117647,92.98176166,4.314016346,0.00705882,88.70566813,-1.987260312,,,,0.31529412,83.01421846,-4.85016476,,,,0.17647059,82.34133464,-0.530906789,,,,,,,,,,,,,,152.4533582,,82.00492958,,,115.4053333,,,110.2327869,93.33618267,93.69555035,
2036,Clayton Kershaw,LAD,2,2,0,7,7,30,7.200000458,2.700000172,0.600000038,0.354166667,0.63348416,0.385416666,0.06060606,4.500000286,4.59,3.533146468,4.329689099,0.639490306,0.35515873,89.80517851,-5.146854676,,,,0.00595238,90.10229492,-0.073182333,,,,0.43253968,85.82804437,0.279187746,0.16071429,71.94710889,0.615077037,,,,0.04563492,83.47537895,-0.170077886,,,,,,,,57.68181818,114.0292683,90.1480226,,107.8318182,,,61.18571429,100.5507937,100.3799603,99.53968254,
2520,Lance Lynn,STL,7,4,0,23,23,117.1,8.360795817,3.375000146,1.22727278,0.286982249,0.6998557,0.362857142,0.111111111,3.835227439,4.94,4.308525282,4.391444694,1.332106352,0.46395292,92.49589555,7.373009771,0.22167729,88.45667692,-3.762686271,0.17459539,91.39978713,0.009598069,0.06228543,84.97081078,-3.081515357,0.01569397,82.37424469,-0.981053229,0.061795,80.60325211,-3.325683597,,,,,,,,,,,,,,60.5295082,111.82,85.16623517,66.41067073,102.1705882,,91.06215596,,82.58126919,99.53357216,94.31683726,
3096,Kenley Jansen,BOS,4,2,27,54,0,54.2,10.20731755,3.29268308,0.658536616,0.259541985,0.73033708,0.305970149,0.055555555,3.29268308,3.24,3.001845624,4.042051866,1.421049714,,,,0.84269663,92.36525463,6.291853838,0.07990012,93.32374573,0.378499553,,,,0.07740325,82.24559759,2.640845228,,,,,,,,,,,,,,,,,,,,99.62631579,111.4283333,,123.4360182,,120.7908505,105.2306701,110.4123711,
3137,Max Scherzer,TEX,2,4,0,9,9,43.1,8.307692551,2.076923138,1.453846197,0.277310924,0.75242718,0.319672131,0.125,3.946153962,3.86,4.181864423,4.035844513,0.622989535,0.43946188,92.62486713,0.18763281,0.05530643,86.65734533,1.91819283,,,,0.13901345,82.97093939,-1.826993886,0.22720478,85.16890676,1.052869856,0.13901345,74.8156082,-1.994813018,,,,,,,,,,,,,,59.40645161,83.74946237,78.07959184,,100.3486486,,120.6097561,,83.78293413,106.3046407,102.5685629,
