playerid,Name_x,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2024 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
14813,Kyle Farmer,MIN,107,242,46,27,13,1,5,26,25,3,0.078512396,0.202479338,0.139534884,0.251533742,0.213953488,0.225,0.284968704,0.294,0.353488372,0.361,0.293388429,84.91941527,-7.337161246,4.581601977,4.05188867,-3.161366396,0.548573887,0.387755102,0.05357143,0.29166667,0.31862745,0.62869198,0.48526077,0.59230769,0.89597315,0.80373832,0.39880952,0.36904762,0.23214286,87.68798828,17.90297009,108.731,0.184523809,0.363095238,0.452380952,-0.145460061,Kyle Farmer,3B/2B/SS,R,R,MIN,34,6.129,0.548573852,0.348677754,,0,,,COL,1,3250000,3250000
13620,Carson Kelly,- - -,91,313,67,48,9,1,9,32,37,0,0.079872204,0.175718849,0.135231317,0.266055045,0.238434163,0.235,0.304146829,0.314,0.37366548,0.401,0.313099041,98.5121632,-3.546827392,10.5049994,1.999784846,-3.013977058,1.796226028,0.454545454,0.0660793,0.3876652,0.23508772,0.66441821,0.45399828,0.52985075,0.87563452,0.78787879,0.41409692,0.37444934,0.21145374,87.55813788,13.62231229,107.664,0.145374449,0.462555066,0.392070484,-0.158239726,Carson Kelly,C,R,R,TEX,30,6.161,1.796226025,1.498099327,,0,,,CHC,2,11500000,5750000
15711,Tyler O'Neill,BOS,113,473,99,50,18,0,31,74,61,4,0.112050739,0.336152219,0.270072993,0.304932735,0.240875912,0.213,0.359664805,0.339,0.510948905,0.48,0.336152219,130.9906854,16.01820819,-7.682470679,3.643428538,-0.754296772,2.489348638,0.333333333,0.17322835,0.48425197,0.24431256,0.65570401,0.44606855,0.42510121,0.77429467,0.67683616,0.51968504,0.31496063,0.16535433,90.86698757,20.1990515,113.141,0.173228346,0.358267716,0.468503937,-0.183491204,Tyler O'Neill,LF/RF/CF,R,R,BOS,30,6.059,2.48934865,2.011765003,3,51000000,17000000,,BAL,3,49500000,16500000
12160,Ben Gamel,- - -,38,99,20,15,4,0,1,22,4,1,0.181818181,0.242424242,0.086419753,0.339285714,0.24691358,0.259,0.326615088,0.343,0.333333333,0.368,0.383838383,114.5360374,0.925636204,-4.431650698,4.590383405,-0.734393343,-0.021361272,0.75,0.10526316,0.35087719,0.18617021,0.56994819,0.38057743,0.22857143,0.82727273,0.68275862,0.42105263,0.35087719,0.22807018,89.08220346,12.76864079,110.473,0.232142857,0.428571428,0.339285714,-0.233369111,Ben Gamel,RF/LF,L,L,HOU,33,6.152,-0.021597963,0.242064029,,0,,,,,,
13755,Tomás Nido,- - -,49,140,25,17,4,0,4,14,12,0,0.035714285,0.25,0.123076923,0.225806451,0.192307692,0.217,0.231028939,0.282,0.315384615,0.41,0.218978102,48.37099439,-9.270317584,5.977683835,1.92170329,-0.626948059,0.141439493,0.142857142,0.12,0.44,0.39662447,0.78438662,0.6027668,0.4893617,0.76303318,0.67868852,0.39,0.31,0.3,89.81589254,14.10381953,108.361,0.166666666,0.416666666,0.416666666,-0.252580575,Tomás Nido,C,R,R,CHC,31,5.121,0.140779555,0.046715464,,0,,,DET,1,0,
12037,Jon Berti,NYY,25,74,18,17,0,0,1,10,6,5,0.081081081,0.189189189,0.045454546,0.333333333,0.272727272,0.274,0.299913281,0.307,0.318181818,0.335,0.342465753,94.74949442,0.52793971,-0.519178391,5.556866555,0.972507969,0.255673331,0.428571428,0.01886792,0.30188679,0.19834711,0.59333333,0.41697417,0.75,0.87640449,0.84955752,0.22641509,0.35849057,0.41509434,84.20701247,11.04995845,110.65,0.269230769,0.403846153,0.326923076,-0.255154499,Jon Berti,3B/2B/SS/OF,R,R,NYY,35,5.168,0.255673319,0.377124727,,0,,,CHC,1,2000000,2000000
12510,Curt Casali,SFG,41,125,21,17,3,0,1,12,8,0,0.104,0.176,0.055555556,0.235294117,0.194444444,0.206,0.253667602,0.265,0.25,0.267,0.292682926,62.36926166,-5.863970653,-2.265941143,1.601190471,-0.239080612,-0.409732376,0.59090909,0.01136364,0.17045455,0.15909091,0.65625,0.42647059,0.65714286,0.86904762,0.83251232,0.44318182,0.35227273,0.20454545,82.98974035,20.00149644,104.474,0.188235294,0.376470588,0.435294117,-0.256216333,Curt Casali,C,R,R,SFG,36,8.117,-0.409732401,0.108376846,,0,,,ATL,1,0,
8623,Donovan Solano,SDP,96,309,81,60,13,0,8,31,35,2,0.071197411,0.210355987,0.130742049,0.345971563,0.286219081,0.257,0.333102858,0.307,0.41696113,0.378,0.343042071,117.5444313,3.331438967,-6.015869975,2.254848843,-3.151307814,0.78548682,0.338461538,0.03652968,0.36986301,0.28209459,0.63729809,0.47211312,0.58682635,0.8640553,0.78702163,0.34703196,0.4109589,0.24200913,87.2963912,13.66818153,107.577,0.228310502,0.442922374,0.328767123,-0.271932766,Donovan Solano,3B/1B/DH,R,R,SDP,37,9.057,0.785486758,0.702541292,,0,,,SEA,1,3500000,3500000
17982,Ty France,- - -,140,535,112,75,24,0,13,46,51,1,0.071028037,0.213084112,0.131524008,0.277310924,0.233820459,0.228,0.296129754,0.303,0.365344467,0.387,0.304672897,92.66403211,-8.305095614,-18.15307856,1.585135011,-3.632470429,-0.891328196,0.333333333,0.07297297,0.3972973,0.27947154,0.73084291,0.51183432,0.54545455,0.87287025,0.78612717,0.35945946,0.36216216,0.27837838,88.69310864,12.87278294,111.065,0.181081081,0.456756756,0.362162162,-0.276628475,Ty France,1B,R,R,CIN,30,5.089,-0.891324639,0.437336057,,0,,,,,,
16153,Austin Slater,- - -,84,212,37,31,4,0,2,24,18,3,0.122641509,0.283018867,0.056497175,0.294117647,0.209039548,0.232,0.273435838,0.303,0.265536723,0.319,0.320754716,76.36256353,-6.76852706,-1.691568464,3.403188918,-0.767416834,-0.14433642,0.433333333,0.03305785,0.37190083,0.20143885,0.62365591,0.42403628,0.5,0.78965517,0.72459893,0.33884298,0.33057851,0.33057851,88.21530803,7.21339617,105.359,0.282051282,0.504273504,0.213675213,-0.301367245,Austin Slater,RF/LF/CF,R,R,BAL,32,6.147,-0.144336402,0.479313076,1,4000000,4000000,,CHW,1,1750000,1750000
