Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2022 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV,,playerid
Aaron Judge,RF/CF,R,R,NYY,31,6.051,11.05625629,,8,300000000,37500000,19650000,NYY,9,360000000,40000000,,15640
Dansby Swanson,SS,R,R,ATL,29,6.047,6.635719299,,6,141000000,23500000,19650000,CHC,7,177000000,25285714.29,,18314
Trea Turner,SS/2B,R,R,LAD,30,6.135,6.376113892,,7,210000000,30000000,19650000,PHI,11,300000000,27272727.27,,16252
Carlos Rodón,SP,L,L,SFG,30,7.168,6.2333498,,5,135000000,27000000,19650000,NYY,6,162000000,27000000,,16137
Justin Verlander,SP,R,R,HOU,40,17.002,6.057393551,,2,70000000,35000000,,NYM,3,121666666,43333333,,8700
Xander Bogaerts,SS,R,R,BOS,30,9.042,5.9937253,,6,168000000,28000000,19650000,SDP,11,280000000,25454545.45,,12161
Brandon Nimmo,CF/RF/LF,L,R,NYM,30,6.042,5.413952827,,5,100000000,20000000,19650000,NYM,8,162000000,20250000,,12927
Carlos Correa,SS/3B,R,R,MIN,28,7.119,4.568114758,,8,256000000,32000000,,MIN,6,200000000,33333333.33,,14162
Tyler Anderson,SP,L,L,LAD,33,7.065,4.058879852,,3,43500000,14500000,19650000,LAA,3,39000000,13000000,,12880
Jose Quintana,SP,R,L,STL,34,10.133,3.96931982,,2,24000000,12000000,,NYM,2,26000000,13000000,,11423
Martín Pérez,SP,L,L,TEX,32,10.038,3.874843121,,3,39000000,13000000,19650000,TEX,1,19650000,19650000,,6902
Clayton Kershaw,SP,L,L,LAD,35,14.105,3.861314297,,1,20000000,20000000,,LAD,1,20000000,20000000,,2036
José Abreu,1B,R,R,CHW,36,9.000,3.791219473,,2,32000000,16000000,,HOU,3,58500000,19500000,,15676
Willson Contreras,C,R,R,CHC,31,6.108,3.494803667,,4,70000000,17500000,19650000,STL,5,87500000,17500000,,11609
Elvis Andrus,SS,R,R,CHW,34,14.000,3.429669142,,2,20000000,10000000,,CHW,1,3000000,3000000,,8709
Brandon Drury,3B/1B/2B,R,R,SDP,30,6.001,3.119406462,,3,30000000,10000000,,LAA,2,17000000,8500000,,11615
Corey Kluber,SP,R,R,TBR,37,10.074,3.106763124,,1,11000000,11000000,,BOS,1,10000000,10000000,,2429
Ross Stripling,SP,R,R,TOR,33,6.115,3.006040096,,2,22000000,11000000,,SFG,2,25000000,12500000,,13273
Edwin Díaz,RP,R,R,NYM,29,6.121,3.000324011,,5,100000000,20000000,,NYM,5,102000000,18600000,,14710
Chris Bassitt,SP,R,R,NYM,34,6.130,2.83988142,,3,48000000,16000000,19650000,TOR,3,63000000,21000000,,12304
Taijuan Walker,SP,R,R,NYM,30,8.142,2.674705982,,3,39000000,13000000,,PHI,4,72000000,18000000,,11836
Anthony Rizzo,1B,L,L,NYY,33,10.168,2.476663113,,3,54000000,18000000,19650000,NYY,2,40000000,20000000,,3473
Jurickson Profar,LF,S,R,SDP,30,8.165,2.422293425,,3,30000000,10000000,,COL,1,7750000,7750000,,10815
Jameson Taillon,SP,R,R,NYY,31,6.110,2.41018796,,3,36000000,12000000,,CHC,4,68000000,17000000,,11674
Johnny Cueto,SP,R,R,CHW,37,14.143,2.389087439,,1,8000000,8000000,,MIA,1,8500000,8500000,,6893
Matt Carpenter,DH/1B/RF/LF,L,R,NYY,37,10.145,2.351362944,,1,6000000,6000000,,SDP,2,12000000,6000000,,8090
Joc Pederson,RF/LF,L,L,SFG,31,8.028,2.332348824,,2,20000000,10000000,19650000,SFG,1,19650000,19650000,,11899
Justin Turner,3B/DH,R,R,LAD,38,12.045,2.292635918,,1,12000000,12000000,,BOS,2,21700000,10850000,,5235
Jacob deGrom,SP,L,R,NYM,35,8.139,2.232882738,,3,120000000,40000000,19650000,TEX,5,185000000,37000000,,10954
Noah Syndergaard,SP,L,R,PHI,30,7.149,2.220269442,,2,28000000,14000000,,LAD,1,13000000,13000000,,11762
Andrew Benintendi,LF/RF,L,L,NYY,28,6.062,2.123008728,,4,56000000,14000000,,CHW,5,75000000,15000000,,17901
Jace Peterson,3B/1B/2B/LF/,L,R,MIL,33,6.142,2.108803749,,,0,,,OAK,2,9500000,4750000,,12325
Jean Segura,2B,R,R,PHI,33,10.065,2.100545406,,2,24000000,12000000,,MIA,2,17000000,6500000,,5933
Josh Bell,1B/DH,S,R,SDP,30,6.053,2.100223303,,3,39000000,13000000,,CLE,2,33000000,16500000,,13145
Zack Greinke,SP,R,R,KCR,39,18.057,1.938260436,,1,10000000,10000000,,KCR,1,8500000,8500000,,1943
Christian Vázquez,C,R,R,HOU,32,8.031,1.901635528,,2,16000000,8000000,,MIN,3,30000000,10000000,,9774
Kyle Gibson,SP,R,R,PHI,35,9.039,1.846674681,,,0,,,BAL,1,10000000,10000000,,10123
Rich Hill,SP,L,L,BOS,43,13.127,1.787755728,,1,5000000,5000000,,PIT,1,8000000,8000000,,4806
David Peralta,LF/RF,L,L,TBR,35,8.120,1.658305287,,1,8000000,8000000,,LAD,1,6500000,6500000,,2136
Chris Martin,RP,R,R,LAD,37,5.133,1.597569227,,,0,,,BOS,2,17500000,8750000,,11847
Josh Harrison,2B/3B,R,R,CHW,35,10.168,1.575420737,,,0,,,PHI,1,2000000,2000000,,8202
Michael Wacha,SP,R,R,BOS,31,9.062,1.533195734,,2,20000000,10000000,,SDP,4,26000000,6500000,,14078
Rafael Montero,RP,R,R,HOU,32,6.138,1.495330334,,,0,,,HOU,3,34500000,11500000,,12760
Cody Bellinger,CF/RF/1B,L,L,LAD,27,5.160,1.481514573,,,0,,,CHC,1,17500000,17500000,,15998
J.D. Martinez,DH/LF,R,R,BOS,35,11.036,1.443461418,,1,12500000,12500000,,LAD,1,10000000,10000000,,6184
Jordan Lyles,SP,R,R,BAL,32,11.002,1.408814311,,1,6000000,6000000,,KCR,2,17000000,8500000,,7593
Evan Longoria,3B,R,R,SFG,37,14.170,1.398247004,,1,8000000,8000000,,ARI,1,4000000,4000000,,9368
Zach Eflin,SP,R,R,PHI,29,6.018,1.389717817,,3,30000000,10000000,,TBR,3,41000000,13333333,,13774
Gary Sánchez,C,R,R,MIN,30,6.086,1.378666282,,1,8000000,8000000,,SFG,1,0,,,11442
Gary Sánchez,C,R,R,MIN,30,6.086,1.378666282,,1,8000000,8000000,,NYM,1,1096774,1096774,,11442
Matt Moore,RP,L,L,TEX,34,10.000,1.349560261,,1,5000000,5000000,,LAA,1,7550000,7550000,,1890
Jose Iglesias,SS/2B,R,R,COL,33,10.036,1.326118112,,1,5000000,5000000,,MIA,1,0,,,10231
Omar Narváez,C,L,R,MIL,31,6.089,1.320845008,,2,14000000,7000000,,NYM,2,15000000,7500000,,13338
Adam Frazier,2B,L,R,SEA,31,6.075,1.298241735,,2,16000000,8000000,,BAL,1,8000000,8000000,,15223
Drew Smyly,SP,L,L,CHC,34,10.143,1.217162132,,1,7000000,7000000,,CHC,2,23000000,11500000,,11760
Wil Myers,1B/RF/LF,R,R,SDP,32,9.104,1.186498165,,,0,,,CIN,1,7500000,7500000,,10047
Adam Ottavino,RP,S,R,NYM,37,11.087,1.140953183,,1,6000000,6000000,,NYM,2,14500000,7250000,,1247
Andrew Heaney,SP,L,L,LAD,32,7.150,1.139724255,,2,20000000,10000000,,TEX,2,25000000,12500000,,15423
Sean Manaea,SP,R,L,SDP,31,6.157,1.082378626,,2,22000000,11000000,,SFG,1,12500000,12500000,,15873
Michael Brantley,DH/LF/RF,L,L,HOU,36,12.131,1.076061845,,1,12000000,12000000,,HOU,1,12000000,12000000,,4106
Kenley Jansen,RP,S,R,ATL,35,12.073,1.052234292,,1,12000000,12000000,,BOS,2,32000000,16000000,,3096
Nathan Eovaldi,SP,R,R,BOS,33,11.013,1.034421086,,2,30000000,15000000,19650000,TEX,3,54000000,17000000,,9132
Taylor Rogers,RP,L,L,MIL,32,6.145,1.005404353,,2,15000000,7500000,,SFG,3,33000000,11000000,,13449
Michael Lorenzen,SP,R,R,LAA,31,7.159,0.994760513,,,0,,,DET,1,8500000,8500000,,14843
Mitch Haniger,RF/LF,R,R,SEA,32,6.048,0.953595638,,2,24000000,12000000,,SFG,3,43500000,14500000,,14274
Kevin Kiermaier,CF,L,R,TBR,33,8.131,0.947866619,,2,16000000,8000000,,TOR,1,9000000,9000000,,11038
Trey Mancini,1B/LF/RF/DH,R,R,HOU,31,6.015,0.9304775,,2,16000000,8000000,,CHC,2,14000000,7000000,,15149
Andrew Chafin,RP,R,L,DET,33,8.020,0.923651278,,,0,,,ARI,1,6250000,6250000,,12988
Adam Duvall,RF/LF/CF,R,R,ATL,34,6.151,0.902586639,,1,7000000,7000000,,BOS,1,7000000,7000000,,10950
Craig Kimbrel,RP,R,R,LAD,35,11.161,0.882327855,,1,9000000,9000000,,PHI,1,10000000,10000000,,6655
Carlos Santana,1B/DH,S,R,SEA,37,12.115,0.864715874,,,0,,,PIT,1,6725000,6725000,,2396
Willi Castro,2B/SS/3B/OF,S,R,DET,26,3.017,0.833104432,,,0,,,MIN,1,1800000,1800000,,17338
Aledmys Díaz,2B/SS/3B/LF,R,R,HOU,32,6.100,0.809699595,,,0,,,OAK,2,14500000,7250000,,15937
Dylan Bundy,SP,S,R,MIN,30,7.026,0.75713712,,1,5000000,5000000,,NYM,1,0,,,12917
Brad Boxberger,RP,R,R,MIL,35,9.033,0.747110128,,,0,,,CHC,1,2800000,2800000,,10133
Danny Mendick,2B/SS/3B/LF,R,R,CHW,29,2.168,0.74629879,,,0,,,NYM,1,1000000,1000000,,18889
Jesse Chavez,RP,R,R,ATL,39,12.038,0.7215451,,,0,,,ATL,1,1200000,1200000,,5448
David Robertson,RP,R,R,PHI,38,13.119,0.716259003,,1,5000000,5000000,,NYM,1,10000000,10000000,,8241
José Ureña,SP,R,R,COL,31,6.165,0.7147367,,,0,,,COL,1,3500000,3500000,,11589
