Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,playerid,MLBAMID
Casey Legumina,CIN,1,0,0,11,0,12.2,7.815791043,6.394738126,2.131579375,0.342105263,0.67307692,0.512195121,0.23076923,94.67375554,5.684211668,4.73,6.728725267,5.346638632,-0.198438242,Casey Legumina,25921,668984
Karl Kauffmann,COL,2,5,0,11,3,35,4.114285938,4.114285938,1.285714356,0.316239316,0.50909091,0.41322314,0.106382978,90.2199707,8.228571877,7.21,5.912183361,6.275255737,-0.19916616,Karl Kauffmann,27488,666154
Kaleb Ort,BOS,1,2,0,21,2,23,9.391305516,3.521739569,2.347826379,0.313432836,0.62937063,0.3,0.153846153,96.20188837,6.260870344,4.61,5.863736336,5.275941411,-0.200162575,Kaleb Ort,20061,672391
Dereck Rodríguez,- - -,0,0,0,4,0,5.1,1.687500421,8.437502106,3.375000842,0.318181818,0.44642857,0.458333333,0.166666666,90.53409511,15.18750379,10.62,10.56754218,9.412583343,-0.201540749,Dereck Rodriguez,14509,605446
Luke Maile,CIN,0,0,0,4,0,4.1,0,0,8.307692917,0.380952381,0.625,0.08,0.25,67.63484579,16.61538583,24.81,15.25504124,9.359724207,-0.204253063,Luke Maile,13355,571912
Jimmy Herget,LAA,2,4,0,29,1,29,8.068966579,2.482758947,2.172414079,0.30952381,0.84337349,0.285714285,0.155555555,92.74817834,4.655173026,4.39,5.634351017,5.061965733,-0.209562533,Jimmy Herget,17556,623474
Peter Solomon,ARI,0,0,0,5,0,13.1,4.050000386,7.425000708,1.350000129,0.319148936,0.41984733,0.387755102,0.111111111,93.31088754,12.15000116,8.79,7.005040717,7.287065612,-0.210669816,Peter Solomon,20476,656981
Ryan Weathers,- - -,1,8,0,15,12,57.2,6.710983066,4.526011835,1.872832484,0.325581395,0.66502463,0.375690607,0.153846153,95.21684867,6.554913692,4.67,6.029607002,5.560730155,-0.211165866,Ryan Weathers,23796,677960
Zack Weiss,- - -,1,0,0,12,0,14,9.642859113,3.857143645,2.571429097,0.15625,0.96153846,0.333333333,0.266666666,94.0682595,3.214286371,4.64,6.326469559,4.383631755,-0.216000222,Zack Weiss,15444,592848
Taylor Clarke,KCR,3,6,3,58,2,59,9.915255519,3.661017423,1.830508711,0.364197531,0.68965517,0.30994152,0.14117647,95.01674175,5.949153312,5.1,5.068599916,4.806479528,-0.216191851,Taylor Clarke,17611,664199
