Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,playerid,MLBAMID
Luis Severino,NYY,4,8,0,19,18,89.1,7.958955677,3.425373329,2.317164311,0.326086957,0.65943239,0.422297297,0.209090909,96.61890636,6.64925411,5.89,6.143100225,4.831928803,-0.509417668,Luis Severino,15890,622663
Josh Fleming,TBR,2,0,0,12,3,51.2,4.354838924,3.309677582,1.567742013,0.279761905,0.73717949,0.596590909,0.257142857,91.71206403,4.703226038,5.37,5.655040478,4.510536771,-0.514377445,Josh Fleming,20418,676596
Chris Flexen,- - -,2,8,0,29,16,102.1,6.508143525,3.342019648,2.198697137,0.332307692,0.67142857,0.390804597,0.193798449,92.05051651,6.859935067,6.2,6.215952504,5.124249306,-0.516265444,Chris Flexen,13896,623167
Chase De Jong,PIT,0,0,0,6,0,11.1,5.558824153,4.764706417,4.764706417,0.307692308,0.51136364,0.244444444,0.222222222,92.33008387,13.50000151,8.42,11.01974711,8.076261255,-0.518698573,Chase De Jong,15036,608328
Dylan Dodd,ATL,2,2,0,7,7,34.1,3.932038981,3.145631184,2.359223388,0.346456693,0.6928839,0.355555555,0.14516129,92.46487888,7.601942029,8.37,6.924943408,6.502840734,-0.519749582,Dylan Dodd,29928,689266
Daniel Bard,COL,4,2,1,50,0,49.1,8.574325871,8.939190802,0.912162327,0.243902439,0.72941176,0.3671875,0.086206896,94.70206227,4.560811634,6.08,6.133419257,6.759657243,-0.527460515,Daniel Bard,7115,453268
Garrett Hill,DET,0,0,1,9,0,15.2,8.042554007,8.042554007,2.297872574,0.319148936,0.49295775,0.44,0.181818181,93.98331546,9.191490294,5.85,7.659296125,6.661875083,-0.548982799,Garrett Hill,25097,682051
José Ureña,- - -,0,7,0,10,10,44.2,5.843283915,4.432836073,2.619403134,0.268115942,0.65693431,0.473333333,0.245283018,95.70266884,6.447761561,5.77,7.284891335,5.463122044,-0.550616577,Jose Urena,11589,570632
Jimmy Lambert,CHW,2,3,1,35,1,37.2,9.796461831,4.778761869,2.389380934,0.31,0.75,0.342592592,0.204081632,94.30464058,5.256638055,5.74,6.201943512,4.901436282,-0.555697231,Jimmy Lambert,19541,669424
Drew Rucinski,OAK,0,4,0,4,4,18,3.000000318,7.000000742,2.500000265,0.31884058,0.57142857,0.445945945,0.185185185,89.54986328,9.000000954,7.35,8.699485381,7.568401781,-0.567727268,Drew Rucinski,12499,607968
Jeff Brigham,NYM,1,3,0,37,0,37.2,10.03539992,4.300885682,2.150442841,0.197674419,0.71428571,0.340425531,0.195652173,93.74322624,5.256638055,4.64,5.963005418,4.875948085,-0.580573976,Jeff Brigham,16631,656257
Quinn Priester,PIT,3,3,0,10,8,50,6.48,4.86,2.16,0.294871795,0.63202247,0.524096385,0.266666666,92.70009914,7.74,6.28,6.735040359,5.103056938,-0.582271591,Quinn Priester,25977,682990
Chad Kuhl,WSN,0,4,1,16,5,38.1,7.278261473,6.573913589,1.878261025,0.333333333,0.5988024,0.306451612,0.150943396,94.06388376,8.452174614,8.79,6.776779782,6.34967478,-0.583787918,Chad Kuhl,14975,641771
Glenn Otto,TEX,0,0,0,6,0,10.2,9.281250553,5.062500302,5.062500302,0.285714286,0.68965517,0.44117647,0.428571428,93.57549411,10.1250006,7.4,10.19254077,5.050064644,-0.589726686,Glenn Otto,21366,657248
Jake Woodford,STL,2,3,0,15,8,47.2,5.475525096,4.153846625,2.076923312,0.318471338,0.73654391,0.511904761,0.229166666,92.74677168,6.230769937,7.04,6.611684097,5.2765976,-0.596919804,Jake Woodford,18674,663765
Adam Cimber,TOR,0,2,1,22,0,20.2,5.225807577,3.048387753,2.612903788,0.287878788,0.65217391,0.478873239,0.285714285,85.3026131,7.403227401,6.2,7.464718685,5.370543404,-0.621540904,Adam Cimber,15288,643256
Joey Wentz,DET,3,13,0,25,19,105.2,8.347003657,4.003154815,2.129337668,0.329192547,0.63636364,0.372832369,0.163398692,93.53463209,6.899054043,5.77,5.810245561,5.12850563,-0.637013301,Joey Wentz,19962,666214
José Ruiz,- - -,2,1,0,38,1,44.1,7.917294993,4.263158842,2.030075639,0.320610687,0.73846154,0.390070921,0.196078431,96.47774342,5.887219354,5.44,6.255041026,5.224686048,-0.652968563,Jose Ruiz,14552,614179
Johnny Cueto,MIA,1,4,0,13,10,52.1,6.707006532,2.579617897,2.92356695,0.236111111,0.7300885,0.33125,0.22368421,92.10072688,6.019108427,5.13,7.019371661,5.19748754,-0.662395902,Johnny Cueto,6893,456501
Jaime Barria,LAA,2,6,0,34,6,82.1,6.777328354,3.279352429,2.186234953,0.286290323,0.63157895,0.36329588,0.166666666,92.92308397,5.684210877,5.41,6.072854299,5.324702963,-0.68537946,Jaime Barria,18356,642545
Kyle Muller,OAK,1,5,0,21,13,77,6.545454708,4.558441671,1.870129916,0.372093023,0.67629179,0.424354243,0.166666666,93.75118181,7.597402786,7.4,6.138157314,5.498180264,-0.689339042,Kyle Muller,20167,666205
Matt Bush,MIL,0,2,1,12,0,10.1,8.709679295,5.225807577,4.354839647,0.222222222,0.6,0.28125,0.416666666,94.7768604,9.580647224,10.87,9.351815866,4.981513736,-0.704495966,Matt Bush,1246,456713
Mason Englert,DET,4,3,0,31,1,56,6.589286836,2.732143322,1.928571757,0.303867403,0.67919075,0.375661375,0.16,91.32692024,5.464286645,6.56,5.594326472,5.022922474,-0.705247305,Mason Englert,22288,669438
Corey Kluber,BOS,3,6,1,15,9,55,6.87272763,3.436363815,2.781818327,0.300578035,0.66951567,0.301587301,0.188888888,88.50917615,7.036364002,6.28,7.109586015,5.796888816,-0.809653997,Corey Kluber,2429,446372
Dominic Leone,- - -,1,3,1,51,0,54,9.000001589,4.666667491,2.333333745,0.255474453,0.85858586,0.370860927,0.212121212,95.67710213,4.666667491,5.3,6.292077933,4.942470579,-0.820366591,Dominic Leone,13763,608678
Eric Lauer,MIL,4,6,0,10,9,46.2,8.292857425,4.628571586,3.085714391,0.296875,0.70143885,0.25,0.216216216,91.16527381,6.55714308,7.54,7.412183358,5.576783934,-0.834185399,Eric Lauer,19316,641778
Jorge López,- - -,6,2,3,61,0,59,7.474577359,3.355932692,1.830508741,0.314285714,0.68578554,0.475675675,0.214285714,96.94517612,5.949153408,5.41,5.763515301,4.688730368,-0.919920191,Jorge Lopez,14527,605347
Michael Kopech,CHW,5,12,0,30,27,129.1,9.324742497,6.332474382,2.018041287,0.263803681,0.77664399,0.355113636,0.173652694,95.39845271,5.427835185,5.77,6.463803325,5.683723998,-0.956936512,Michael Kopech,17282,656629
