Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2023 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV,,playerid
Shohei Ohtani,DH/SP,L,R,LAA,29,6.000,8.910212517,,10,450000000,45000000,20325000,LAD,10,700000000,46078769,,19755
Sonny Gray,SP,R,R,MIN,34,10.061,5.365796566,,3,63000000,21000000,20325000,STL,3,75000000,24949117,,12768
Cody Bellinger,CF/1B,L,L,CHC,28,6.160,4.44536829,,6,144000000,24000000,20325000,CHC,3,80000000,26666666.67,,15998
Jordan Montgomery,SP,L,L,TEX,31,6.153,4.254640102,,5,105000000,21000000,,ARI,2,47500000,23750000,,16511
Blake Snell,SP,L,L,SDP,31,7.072,4.156758785,,5,125000000,25000000,20325000,SFG,2,62000000,29698347,,13543
Aaron Nola,SP,R,R,PHI,31,8.076,3.866112709,,6,150000000,25000000,20325000,PHI,7,172000003,24571429,,16149
Jeimer Candelario,3B/1B,S,R,CHC,30,6.038,3.238613129,,3,36000000,12000000,,CIN,3,45000000,15000000,,13621
Matt Chapman,3B,R,R,TOR,31,6.109,2.994545221,,4,80000000,20000000,20325000,SFG,3,54000000,20000000,,16505
Eduardo Rodriguez,SP,L,L,DET,31,8.070,2.971387386,,4,76000000,19000000,,ARI,4,80000000,20000000,,13164
Seth Lugo,SP,R,R,SDP,34,7.082,2.881954193,,2,26000000,13000000,,KCR,3,45000000,15000000,,12447
Kevin Kiermaier,CF,L,R,TOR,34,9.131,2.806302071,,2,20000000,10000000,,TOR,1,10500000,10500000,,11038
Marcus Stroman,SP,R,R,CHC,33,9.026,2.664431095,,3,66000000,22000000,,NYY,2,37000000,18500000,,13431
Michael Wacha,SP,R,R,SDP,32,10.062,2.655260563,,3,39000000,13000000,,KCR,2,32000000,16000000,,14078
Kyle Gibson,SP,R,R,BAL,36,10.039,2.557749748,,1,12000000,12000000,,STL,1,13000000,13000000,,10123
J.D. Martinez,DH,R,R,LAD,36,12.036,2.425514221,,1,12000000,12000000,,NYM,1,12000000,8966565,,6184
Clayton Kershaw,SP,L,L,LAD,36,15.105,2.356888294,,1,21000000,21000000,,LAD,2,16000000,8000000,,2036
Jason Heyward,RF/LF/CF,L,L,LAD,34,14.000,2.254714012,,1,10000000,10000000,,LAD,1,9000000,9000000,,4940
Jason Heyward,RF/LF/CF,L,L,LAD,34,14.000,2.254714012,,1,10000000,10000000,,HOU,1,127312,127312,,4940
Mike Clevinger,SP,R,R,CHW,33,7.033,2.18881917,,2,24000000,12000000,,CHW,1,3000000,3000000,,12808
Brandon Belt,1B,L,L,TOR,36,12.128,2.164686441,,1,9500000,9500000,,,,,,,10264
Mitch Garver,C,R,R,TEX,33,6.045,2.15617919,,2,20000000,10000000,,SEA,2,24000000,12000000,,15161
Michael A. Taylor,CF,R,R,MIN,33,8.129,1.986691594,,2,14000000,7000000,,PIT,1,4000000,4000000,,11489
Teoscar Hernández,RF/LF,R,R,SEA,31,6.097,1.94467473,,3,45000000,15000000,,LAD,1,23500000,20433933,,13066
Lourdes Gurriel Jr.,LF,R,R,ARI,30,5.094,1.943461537,,3,36000000,12000000,,ARI,3,42000000,14000000,,19238
Tommy Pham,LF/RF,R,R,ARI,36,8.107,1.906492591,,1,8000000,8000000,,CHW,1,2532258,2532258,,2967
Jorge Soler,RF/LF/DH,R,R,MIA,32,8.143,1.79253149,,3,48000000,16000000,,SFG,3,42000000,12142857,,14221
Jack Flaherty,SP,R,R,BAL,28,6.006,1.758894563,,2,20000000,10000000,,DET,1,14000000,14000000,,17479
Aroldis Chapman,RP,L,L,TEX,36,13.009,1.750276804,,1,7500000,7500000,,PIT,1,10500000,10500000,,10233
Josh Hader,RP,L,L,SDP,30,6.115,1.731595635,,4,72000000,18000000,20325000,HOU,5,95000000,19000000,,14212
Michael Lorenzen,SP,R,R,PHI,32,8.159,1.67599678,,2,20000000,10000000,,TEX,1,4500000,4500000,,14843
Gary Sánchez,C,R,R,SDP,31,7.050,1.643779755,,1,5000000,5000000,,MIL,1,7000000,7000000,,11442
Kenta Maeda,SP,R,R,MIN,36,8.000,1.604391098,,2,24000000,12000000,,DET,2,24000000,12000000,,18498
Carlos Santana,1B/DH,S,R,MIL,38,13.115,1.466523051,,1,7000000,7000000,,MIN,1,5250000,5250000,,2396
Adam Duvall,CF/LF/RF,R,R,BOS,35,7.151,1.462776661,,1,8000000,8000000,,ATL,1,3000000,3000000,,10950
Brandon Woodruff,SP,L,R,MIL,31,5.161,1.450810432,,,0,,,MIL,2,17500000,8750000,,16162
Nick Martinez,SP,L,R,SDP,33,5.002,1.391108036,,2,18000000,9000000,,CIN,2,26000000,13000000,,12730
Brent Suter,RP,L,L,COL,34,6.161,1.307516813,,1,4650000,4650000,,CIN,1,3000000,3000000,,13942
Whit Merrifield,2B/LF/RF,R,R,TOR,35,7.101,1.297540903,,2,16000000,8000000,,PHI,1,8000000,8000000,,11281
Whit Merrifield,2B/LF/RF,R,R,TOR,35,7.101,1.297540903,,2,16000000,8000000,,ATL,1,278495,278495,,11281
Andrew McCutchen,DH/LF/RF,R,R,PIT,37,14.123,1.289766908,,,0,,,PIT,1,5000000,5000000,,9847
Eddie Rosario,LF/RF/DH,L,R,ATL,32,8.120,1.272924423,,,0,,,WSN,1,1064516,1064516,,12155
Julio Urías,SP,L,L,LAD,27,6.117,1.238222718,,,0,,,,,,,,14765
Elvis Andrus,SS/2B,R,R,CHW,35,15.000,1.226202846,,,0,,,ARI,1,0,,,8709
David Robertson,RP,R,R,MIA,39,14.119,1.207871914,,1,8000000,8000000,,TEX,1,11500000,10533289,,8241
Donovan Solano,2B/1B/3B,R,R,MIN,36,8.081,1.183345675,,,0,,,SDP,1,790323,790323,,8623
Dylan Floro,RP,L,R,MIN,33,6.053,1.182901382,,,0,,,WSN,1,2250000,2250000,,13394
Emilio Pagán,RP,L,R,MIN,33,6.091,1.178116322,,1,5000000,5000000,,CIN,2,16000000,8000000,,14771
Travis Jankowski,CF/RF/LF,L,R,TEX,33,6.153,1.152713299,,,0,,,TEX,1,1700000,1700000,,13768
Sean Manaea,SP,R,L,SFG,32,7.157,1.150171876,,2,24000000,12000000,,NYM,2,28000000,14000000,,15873
Ryan Brasier,RP,R,R,LAD,36,6.094,1.131692767,,,0,,,LAD,2,9000000,4500000,,5615
Victor Caratini,C,S,R,MIL,30,6.051,1.130742431,,,0,,,HOU,2,12000000,6000000,,14968
Chris Stratton,RP,R,R,TEX,33,6.100,1.125468969,,,0,,,KCR,2,8000000,4000000,,13761
Craig Kimbrel,RP,R,R,PHI,36,12.161,1.121195674,,1,10000000,10000000,,BAL,1,13000000,13000000,,6655
Zack Greinke,SP,R,R,KCR,40,19.057,1.108583808,,1,7000000,7000000,,,,,,,1943
Will Smith,RP,R,L,TEX,34,10.155,1.088053107,,1,4000000,4000000,,KCR,1,5000000,5000000,,8048
Jordan Hicks,SP,R,R,TOR,27,6.000,1.087539196,,3,27000000,9000000,,SFG,4,44000000,11000000,,19618
Wade Miley,SP,L,L,MIL,37,12.025,1.067929745,,1,8000000,8000000,,MIL,1,8500000,8500000,,8779
Justin Turner,1B/3B/DH,R,R,BOS,39,13.045,1.059570789,,1,12000000,12000000,,TOR,1,13000000,13000000,,5235
James Paxton,SP,L,L,BOS,35,9.151,1.033037543,,1,8000000,8000000,,LAD,1,13000000,13000000,,11828
Austin Hedges,C,R,R,TEX,31,7.166,1.028619289,,,0,,,CLE,1,4000000,4000000,,12976
Domingo Germán,SP,R,R,NYY,31,5.017,0.996728301,,,0,,,PIT,1,0,,,17149
Trevor Gott,RP,R,R,NYM,31,5.057,0.994601965,,,0,,,OAK,1,1500000,1500000,,15046
Robert Stephenson,RP,R,R,TBR,31,6.049,0.959683537,,2,10000000,5000000,,LAA,3,33000000,11000000,,13594
Harrison Bader,CF,R,R,CIN,30,6.030,0.95013386,,2,18000000,9000000,,NYM,1,10500000,10500000,,18030
Aaron Hicks,CF/LF/RF,S,R,BAL,34,10.041,0.935393929,,,0,,,LAA,1,740000,740000,,5297
Lucas Giolito,SP,R,R,CLE,29,6.080,0.928597271,,2,30000000,15000000,,BOS,2,38500000,19250000,,15474
Charlie Blackmon,RF/LF/DH,L,L,COL,37,11.102,0.88146615,,,0,,,COL,1,13000000,13000000,,7859
