Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2023 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV,,playerid
Héctor Neris,RP,R,R,HOU,35,8.068,0.857600689,,2,16000000,8000000,,CHC,1,9000000,9000000,,11804
Héctor Neris,RP,R,R,HOU,35,8.068,0.857600689,,2,16000000,8000000,,HOU,1,147204,147204,,11804
Matthew Boyd,SP,L,L,DET,33,7.136,0.854604244,,,0,,,CLE,1,1750000,1750000,,15440
Joe Kelly,RP,R,R,LAD,36,11.029,0.847238302,,1,7000000,7000000,,LAD,1,8000000,8000000,,9761
Tom Murphy,C,R,R,SEA,33,6.092,0.833575964,,1,4000000,4000000,,SFG,2,8250000,4125000,,13499
Zach Davies,SP,R,R,ARI,31,8.020,0.806563199,,,0,,,WSN,1,0,,,13183
Joey Gallo,RF/LF/1B,L,R,MIN,30,7.103,0.801029801,,1,8000000,8000000,,WSN,1,5000000,5000000,,14128
Colin Rea,SP,R,R,MIL,33,4.057,0.788963795,,,0,,,MIL,1,4500000,4500000,,12317
Reynaldo López,RP,R,R,CLE,30,6.004,0.764826417,,2,12000000,6000000,,ATL,3,30000000,10000000,,16400
Mike Ford,1B/DH,L,R,SEA,31,3.008,0.756137669,,,0,,,CIN,1,0,,,15585
Rich Hill,SP,L,L,SDP,44,14.127,0.745836556,,,0,,,,,,,,4806
Jakob Junis,SP,R,R,SFG,31,6.002,0.741331816,,,0,,,MIL,1,7000000,7000000,,13619
Joc Pederson,DH/LF/RF,L,L,SFG,32,9.028,0.735250771,,2,24000000,12000000,,ARI,1,12500000,12500000,,11899
Jesse Chavez,RP,R,R,ATL,40,13.038,0.734497726,,,0,,,ATL,1,740000,740000,,5448
Scott Alexander,RP,L,L,SFG,34,6.080,0.68429631,,,0,,,OAK,1,2250000,2250000,,10591
Vince Velasquez,SP,R,R,PIT,32,8.086,0.678149939,,,0,,,,,,,,11189
Pierce Johnson,RP,R,R,ATL,33,4.137,0.666490793,,,0,,,ATL,2,14250000,7125000,,13435
Matt Moore,RP,L,L,MIA,35,11.000,0.646787286,,1,7000000,7000000,,LAA,1,9000000,9000000,,1890
Buck Farmer,RP,L,R,CIN,33,6.140,0.61723119,,,0,,,CIN,1,2250000,2250000,,14814
Garrett Hampson,SS/2B/3B/OF,R,R,MIA,29,5.010,0.599654794,,,0,,,KCR,1,2000000,2000000,,19262
Phil Maton,RP,R,R,HOU,31,6.047,0.59410888,,,0,,,TBR,1,6500000,6500000,,18064
Randal Grichuk,LF/RF/CF,R,R,LAA,32,9.033,0.551684439,,,0,,,ARI,1,3250000,3250000,,10243
Chris Devenski,RP,R,R,TBR,33,7.020,0.54650569,,,0,,,TBR,1,1100000,1100000,,12763
Shelby Miller,RP,R,R,LAD,33,8.016,0.518453956,,,0,,,DET,1,3250000,3250000,,10197
Isiah Kiner-Falefa,SS/3B/LF/CF,R,R,NYY,29,6.000,0.515408814,,,0,,,TOR,2,15000000,7500000,,16512
Paul DeJong,SS,R,R,SFG,30,6.057,0.505441368,,,0,,,CHW,1,1750000,1750000,,18015
Gio Urshela,3B/1B/SS,R,R,LAA,32,6.127,0.497853428,,,0,,,DET,1,1500000,1500000,,10681
Gio Urshela,3B/1B/SS,R,R,LAA,32,6.127,0.497853428,,,0,,,ATL,1,163118,163118,,10681
Luke Weaver,SP,R,R,NYY,30,6.112,0.487057984,,,0,,,NYY,2,4500000,2000000,,16918
Andrew Chafin,RP,R,L,MIL,34,9.020,0.482467264,,,0,,,DET,1,4750000,4750000,,12988
Joe Jiménez,RP,R,R,ATL,29,6.061,0.47264713,,,0,,,ATL,3,26000000,8666666.667,,15761
Brad Hand,RP,L,L,ATL,34,10.092,0.472304463,,,0,,,,,,,,9111
Lance Lynn,SP,S,R,LAD,37,12.119,0.457522213,,1,10000000,10000000,,STL,1,11000000,11000000,,2520
Tim Locastro,CF/LF/RF,R,R,NYM,31,4.122,0.447809428,,,0,,,NYM,1,0,,,15124
Adam Frazier,2B,L,R,BAL,32,7.075,0.43284592,,1,6000000,6000000,,KCR,1,4500000,4500000,,15223
Jake Diekman,RP,R,L,TBR,37,11.050,0.431977928,,,0,,,NYM,1,4000000,4000000,,5003
Luke Maile,C,R,R,CIN,33,6.148,0.423343748,,,0,,,CIN,1,3500000,3500000,,13355
Amed Rosario,SS/2B,R,R,LAD,28,6.062,0.412792444,,2,18000000,9000000,,TBR,1,1500000,1500000,,15518
Carl Edwards Jr.,RP,R,R,WSN,32,6.169,0.412644714,,,0,,,CHC,1,0,,,13607
Garrett Cooper,1B/DH,R,R,SDP,33,6.053,0.411967933,,,0,,,CHC,1,733871,733871,,15279
Austin Pruitt,RP,R,R,OAK,34,5.034,0.408033222,,,0,,,TEX,1,0,,,15290
Michael Fulmer,RP,R,R,CHC,31,7.157,0.387936711,,,0,,,BOS,1,0,,,13218
Jake Marisnick,CF/RF/LF,R,R,LAD,33,9.052,0.384390771,,,0,,,LAA,1,0,,,11339
Robbie Grossman,LF/RF,S,L,TEX,34,9.060,0.384103984,,,0,,,CHW,1,1435484,1435484,,5254
Bryan Shaw,RP,S,R,CHW,36,11.069,0.382261157,,,0,,,CHW,1,137097,137097,,8110
Tyler Mahle,SP,R,R,MIN,29,6.018,0.373107046,,,0,,,TEX,2,22000000,11000000,,16358
Brandon Crawford,SS,L,R,SFG,37,12.094,0.363807023,,1,8000000,8000000,,STL,1,2000000,2000000,,5343
Hunter Renfroe,RF/LF,R,R,CIN,32,6.165,0.361053437,,1,8000000,8000000,,KCR,2,13000000,6500000,,15464
Martín Pérez,SP,L,L,TEX,33,11.038,0.360995561,,1,8000000,8000000,,PIT,1,8000000,8000000,,6902
John Brebbia,RP,L,R,SFG,34,6.078,0.329572082,,,0,,,CHW,1,5500000,5500000,,12777
John Brebbia,RP,L,R,SFG,34,6.078,0.329572082,,,0,,,ATL,1,,,,12777
Julio Teheran,SP,R,R,MIL,33,10.020,0.328054041,,,0,,,NYM,1,94086,94086,,6797
Derek Law,RP,R,R,CIN,33,4.081,0.323202193,,,0,,,WSN,1,1500000,1500000,,13133
Brian Anderson,3B/RF,R,R,MIL,31,6.031,0.303822517,,,0,,,SEA,1,0,,,18289
Dakota Hudson,SP,R,R,STL,29,4.156,0.300459266,,,0,,,COL,1,1500000,1500000,,19206
Kevin Pillar,RF/LF/CF,R,R,ATL,35,9.072,0.274687022,,,0,,,CHW,1,172043,172043,,12434
Kevin Pillar,RF/LF/CF,R,R,ATL,35,9.072,0.274687022,,,0,,,LAA,1,608710,608710,,12434
Rafael Ortega,CF/RF/LF,L,R,NYM,33,3.035,0.260961771,,,0,,,CHW,1,0,,,10323
Zach Plesac,SP,R,R,CLE,29,3.121,0.243904799,,,0,,,LAA,1,1000000,1000000,,19979
Evan Longoria,3B,R,R,ARI,38,15.170,0.24136126,,,0,,,,,,,,9368
Tucker Barnhart,C,L,R,CHC,33,9.047,0.213875562,,,0,,,ARI,1,409785,409785,,10200
Alex Wood,SP,R,L,SFG,33,10.123,0.213450283,,1,7000000,7000000,,OAK,1,8500000,8500000,,13781
Shintaro Fujinami,RP,R,R,BAL,30,1.000,0.210900813,,,0,,,NYM,1,3350000,3350000,,31839
Aaron Loup,RP,L,L,LAA,36,11.040,0.189486995,,,0,,,,,,,,10343
Austin Adams,RP,R,R,ARI,33,4.150,0.186380699,,,0,,,NYM,1,800000,800000,,13801
Daniel Vogelbach,DH,L,R,NYM,31,5.138,0.182619959,,,0,,,TOR,1,892473,892473,,14130
Chase Anderson,SP,R,R,COL,36,8.141,0.181033045,,,0,,,BOS,1,853495,853495,,6895
Billy McKinney,LF/RF/1B,L,L,NYY,29,3.087,0.180087566,,,0,,,NYY,1,0,,,15654
Michael Pérez,C,L,R,NYM,31,3.095,0.172127202,,,0,,,BAL,1,0,,,12977
Josh Staumont,RP,R,R,KCR,30,4.072,0.171094224,,,0,,,MIN,1,950000,950000,,18335
Adam Kolarek,RP,L,L,NYM,35,3.060,0.170059741,,,0,,,LAA,1,900000,900000,,10843
Kolby Allard,SP,L,L,ATL,26,3.162,0.167609692,,,0,,,PHI,1,1000000,1000000,,18694
Dallas Keuchel,SP,L,L,MIN,36,10.008,0.159556121,,,0,,,MIL,1,177419,177419,,9434
Chasen Shreve,RP,L,L,CIN,33,7.059,0.159375548,,,0,,,TEX,1,0,,,10855
Austin Wynns,C,R,R,COL,33,3.090,0.150045782,,,0,,,CIN,1,900000,900000,,15271
Matt Barnes,RP,R,R,MIA,34,8.110,0.138901621,,,0,,,WSN,1,451613,451613,,12863
Michael Chavis,1B/3B/2B,R,R,WSN,28,4.089,0.126896709,,,0,,,SEA,1,0,,,17321
Keynan Middleton,RP,R,R,NYY,30,6.023,0.125933811,,,0,,,STL,1,6000000,6000000,,15264
Jay Jackson,RP,R,R,TOR,36,2.028,0.117765486,,,0,,,MIN,1,1500000,1500000,,7432
Ty Blach,SP,R,L,COL,33,3.135,0.113653459,,,0,,,COL,1,0,,,14361
Luis García,RP,R,R,SDP,37,8.007,0.107536063,,,0,,,LAA,1,4250000,4250000,,6984
Jacob Barnes,RP,R,R,STL,34,5.112,0.098349273,,,0,,,WSN,1,0,,,12323
Jacob Barnes,RP,R,R,STL,34,5.112,0.098349273,,,0,,,WSN,1,800000,800000,,12323
Nick Ahmed,SS,R,R,ARI,34,9.046,0.093394712,,,0,,,SFG,1,429677,429677,,12147
Ryne Stanek,RP,R,R,HOU,32,6.038,0.069852062,,,0,,,SEA,1,4000000,4000000,,15947
Jonathan Davis,CF/LF/RF,R,R,MIA,32,3.035,0.060219031,,,0,,,MIA,1,0,,,15104
Michael Tonkin,RP,R,R,ATL,34,3.074,0.056667816,,,0,,,NYM,1,1000000,1000000,,10315
Trey Wingenter,RP,R,R,DET,30,4.017,0.054594822,,,0,,,DET,1,0,,,17793
Daniel Hudson,RP,R,R,LAD,37,13.106,0.049154274,,,0,,,LAD,1,2000000,2000000,,7146
Yasmani Grandal,C,S,R,CHW,35,11.115,0.04377754,,1,6000000,6000000,,PIT,1,2500000,2500000,,11368
Nick Wittgren,RP,R,R,KCR,33,6.077,0.03987835,,,0,,,,,,,,15594
Joey Votto,1B,L,R,CIN,40,16.027,0.023810796,,,0,,,TOR,1,0,,,4314
Andrew Knizner,C,R,R,STL,29,4.021,0.021636548,,,0,,,TEX,1,1825000,1825000,,19514
Shane Greene,RP,R,R,CHC,35,7.030,0.019146893,,,0,,,TEX,1,0,,,10756
Frankie Montas,SP,R,R,NYY,31,6.015,0.006632674,,1,8000000,8000000,,CIN,1,16000000,16000000,,14309
Tyler Duffey,RP,R,R,CHC,33,6.026,-0.007616076,,,0,,,KCR,1,1081989,1081989,,13758
Raimel Tapia,RF/LF/CF,L,L,TBR,30,5.144,-0.00892379,,,0,,,,,,,,14350
Anthony Bass,RP,R,R,TOR,36,8.088,-0.015376644,,,0,,,,,,,,7982
Jake Lamb,1B/3B,L,R,LAA,33,8.010,-0.015886202,,,0,,,PIT,1,0,,,13329
Joely Rodríguez,RP,L,L,BOS,32,4.096,-0.025081752,,,0,,,BOS,1,282258,282258,,11487
José Cisnero,RP,R,R,DET,35,6.020,-0.027077403,,,0,,,LAA,1,1750000,1750000,,6399
Tony Kemp,2B/LF,L,R,OAK,32,6.098,-0.030089945,,,0,,,BAL,1,91398,91398,,14894
Manny Piña,C,R,R,OAK,37,8.002,-0.031391442,,,0,,,,,,,,2829
Dominic Smith,1B,L,L,WSN,29,5.081,-0.031604685,,,0,,,CHC,1,0,,,15653
Kevin Newman,SS/2B/3B,R,R,CIN,30,5.046,-0.032247707,,,0,,,ARI,1,0,,,17696
Kevin Newman,SS/2B/3B,R,R,CIN,30,5.046,-0.032247707,,,0,,,ARI,1,800000,800000,,17696
John Curtiss,RP,R,R,NYM,31,3.137,-0.037865121,,,0,,,COL,1,0,,,16128
Spencer Turnbull,SP,R,R,DET,31,5.020,-0.051454693,,,0,,,PHI,1,2000000,2000000,,16207
Liam Hendriks,RP,R,R,CHW,35,9.164,-0.05848404,,,0,,,BOS,2,10000000,5000000,,3548
Adam Ottavino,RP,S,R,NYM,38,12.087,-0.070763446,,,0,,,NYM,1,4500000,4500000,,1247
Austin Meadows,RF/LF,L,L,DET,29,5.074,-0.077755921,,,0,,,,,,,,15672
Brad Miller,1B/3B/LF,L,R,TEX,34,10.004,-0.080844916,,,0,,,SDP,1,0,,,12775
Roberto Pérez,C,R,R,SFG,35,9.083,-0.083853036,,,0,,,BOS,1,0,,,2900
Matt Bowman,RP,R,R,NYY,33,4.043,-0.094847664,,,0,,,MIN,1,0,,,13528
Matt Bowman,RP,R,R,NYY,33,4.043,-0.094847664,,,0,,,BAL,1,800000,800000,,13528
Sam Coonrod,RP,R,R,NYM,31,4.078,-0.108224981,,,0,,,,,,,,17264
Francisco Mejía,C,S,R,TBR,28,5.042,-0.112800181,,,0,,,LAA,1,0,,,16403
Richard Bleier,RP,L,L,BOS,37,7.035,-0.11710155,,,0,,,WSN,1,0,,,7803
Ben Gamel,RF/LF,L,L,SDP,32,6.056,-0.120068468,,,0,,,NYM,1,0,,,12160
Ben Gamel,RF/LF,L,L,SDP,32,6.056,-0.120068468,,,0,,,NYM,1,800000,800000,,12160
Tommy La Stella,2B/3B/1B,L,R,SEA,35,8.092,-0.122591414,,,0,,,,,,,,12371
Brett Phillips,CF/RF/LF,L,R,LAA,30,4.060,-0.128414586,,,0,,,CHW,1,0,,,14735
Darin Ruf,1B/DH,R,R,MIL,37,6.138,-0.138074577,,,0,,,,,,,,9929
Mychal Givens,RP,R,R,BAL,34,8.040,-0.141344845,,,0,,,MIA,1,0,,,10430
Kirby Yates,RP,L,R,ATL,37,9.021,-0.154865324,,1,3000000,3000000,,TEX,1,4500000,4500000,,9073
Zach McAllister,RP,R,R,NYY,36,6.069,-0.159504965,,,0,,,,,,,,2895
Chad Wallach,C,R,R,LAA,32,4.018,-0.163850889,,,0,,,LAA,1,0,,,17161
Jordan Luplow,RF/LF/1B,R,R,MIN,30,5.025,-0.165345803,,,0,,,ATL,1,0,,,16424
Brad Keller,SP,R,R,KCR,28,6.000,-0.168702975,,,0,,,CHW,1,0,,,15734
Brad Boxberger,RP,R,R,CHC,36,10.033,-0.174535125,,,0,,,,,,,,10133
Tim Anderson,SS/2B,R,R,CHW,31,7.115,-0.188897103,,1,8000000,8000000,,MIA,1,5000000,5000000,,15172
David Dahl,RF/LF,L,R,SDP,30,4.166,-0.210071817,,,0,,,PHI,1,0,,,13744
Diego Castillo,RP,R,R,SEA,30,4.150,-0.219139248,,,0,,,TEX,1,0,,,17496
David Peralta,LF/RF,L,L,LAD,36,9.120,-0.219828457,,,0,,,CHC,1,0,,,2136
David Peralta,LF/RF,L,L,LAD,36,9.120,-0.219828457,,,0,,,SDP,1,800000,800000,,2136
Amir Garrett,RP,R,L,KCR,32,6.035,-0.220334738,,,0,,,SFG,1,0,,,14375
Tyler Naquin,RF/LF/CF,L,R,CHW,33,6.039,-0.228652075,,,0,,,,,,,,13359
Hunter Dozier,3B/1B/LF/RF,R,R,KCR,32,5.118,-0.230824009,,,0,,,LAA,1,0,,,15117
Adam Engel,CF/LF/RF,R,R,SDP,32,5.114,-0.231733486,,,0,,,,,,,,15082
Ehire Adrianza,3B/SS/2B,S,R,ATL,34,9.131,-0.236630842,,,0,,0,LAA,1,0,,,8418
Trayce Thompson,LF/RF/CF,R,R,CHW,33,4.010,-0.251608014,,,0,,,NYM,1,0,,,9952
Matt Duffy,3B/2B/1B,R,R,KCR,33,8.059,-0.252943158,,,0,,,TEX,1,0,,,13836
Curt Casali,C,R,R,CIN,35,7.151,-0.266355693,,,0,,,MIA,1,0,,,12510
Curt Casali,C,R,R,CIN,35,7.151,-0.266355693,,,0,,,SFG,1,,,,12510
Hanser Alberto,2B/3B,R,R,CHW,31,6.152,-0.271791279,,,0,,,,,,,,11902
Carlos Carrasco,SP,R,R,NYM,37,12.147,-0.276450783,,,0,,,CLE,1,2000000,2000000,,6632
Erasmo Ramírez,RP,R,R,TBR,34,8.132,-0.277665555,,,0,,,TBR,1,0,,,10314
Yonny Chirinos,SP,R,R,ATL,30,5.114,-0.28231883,,,0,,,MIA,1,0,,,16401
Jonathan Schoop,2B/3B,R,R,DET,32,9.132,-0.293120801,,,0,,,,,,,,11265
Ryan Tepera,RP,R,R,STL,36,7.069,-0.321665108,,,0,,,,,,,,10291
C.J. Cron,1B,R,R,LAA,34,9.097,-0.32261157,,1,5000000,5000000,,BOS,1,0,,,12546
Luis Guillorme,SS/3B/2B,L,R,NYM,29,4.159,-0.345662564,,,0,,,ATL,1,1100000,1100000,,16451
Luis Guillorme,SS/3B/2B,L,R,NYM,29,4.159,-0.345662564,,,0,,,ARI,1,163118,163118,,16451
Yuli Gurriel,1B,R,R,MIA,40,7.043,-0.398964852,,,0,,,ATL,1,,,,19198
Sandy León,C,S,R,TEX,35,8.112,-0.401591897,,,0,,,KCR,1,0,,,5273
Jorge Alfaro,C,R,R,BOS,31,5.133,-0.402799726,,,0,,,CHC,1,0,,,12180
Madison Bumgarner,SP,R,L,ARI,34,12.154,-0.403762847,,,0,,,,,,,,5524
Matt Carpenter,DH,L,R,SDP,38,11.145,-0.411062837,,,0,,,STL,1,740000,740000,,8090
Wandy Peralta,RP,L,L,NYY,32,6.168,-0.419756144,,,0,,,SDP,4,16500000,4125000,,14295
Jeurys Familia,RP,R,R,OAK,34,10.046,-0.423173755,,,0,,,,,,,,5114
Tim Hill,RP,R,L,SDP,34,5.112,-0.424253106,,,0,,,CHW,1,1800000,1800000,,16814
Tim Hill,RP,R,L,SDP,34,5.112,-0.424253106,,,0,,,NYY,1,405806,405806,,16814
Jacob Stallings,C,R,R,MIA,34,5.149,-0.436523139,,,0,,,COL,1,2000000,2000000,,13723
Mike Moustakas,1B/3B,L,R,LAA,35,12.111,-0.442318201,,,0,,,CHW,1,0,,,4892
Luke Voit,DH/1B,R,R,MIL,33,5.062,-0.449859232,,,0,,,NYM,1,0,,,14811
Kyle Lewis,LF/RF,R,R,ARI,28,3.067,-0.47355625,,,0,,,,,,,,19508
Noah Syndergaard,SP,L,R,CLE,31,8.131,-0.482269645,,,0,,,,,,,,11762
Ji Man Choi,1B/DH,L,R,SDP,33,6.076,-0.488123864,,,0,,,NYM,1,0,,,5452
Luis Severino,SP,R,R,NYY,30,7.170,-0.509417653,,1,10000000,10000000,,NYM,1,13000000,13000000,,15890
Chris Flexen,SP,R,R,COL,29,3.099,-0.516265452,,,0,,,CHW,1,1750000,1750000,,13896
Nick Senzel,3B/2B/OF,R,R,CIN,29,4.150,-0.534005225,,,0,,,WSN,1,2000000,2000000,,19293
Nick Senzel,3B/2B/OF,R,R,CIN,29,4.150,-0.534005225,,,0,,,CHW,1,298387,298387,,19293
José Ureña,SP,R,R,CHW,32,7.045,-0.550616562,,,0,,,TEX,1,1750000,1750000,,11589
Jackie Bradley Jr.,CF/RF/LF,L,R,KCR,34,9.057,-0.558146775,,,0,,,,,,,,12984
Drew Rucinski,SP,R,R,OAK,35,1.162,-0.567727268,,,0,,,,,,,,12499
Chad Kuhl,SP,R,R,WSN,31,6.168,-0.583787918,,,0,,,CHW,1,0,,,14975
Corey Dickerson,LF/RF,L,R,WSN,35,10.055,-0.584672451,,,0,,,,,,,,10762
Jake Woodford,SP,R,R,STL,27,3.048,-0.596919775,,,0,,,CHW,1,0,,,18674
