playerid,Name_x,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV,Name_y,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,MLBAMID
11281,Whit Merrifield,2B/3B/LF,R,R,ATL,36,8.1,0.4,0.5,,$0,,,,,,,Whit Merrifield,- - -,95,335,4,44,15,17,0.104477611,0.15522388,0.092150171,0.257383966,0.221843003,0.311178247,0.313993174,0.2832089419451365,0.295,79.51704903672774,3.055428870022297,-5.149949584603927,-1.6754886507987976,0.4472335386152619,Whit Merrifield,593160
19252,Cavan Biggio,2B/3B/LF/RF,L,R,ATL,30,5.1,0.1,0.0,,$0,,,KCR,1.0,$0,,Cavan Biggio,- - -,78,224,5,27,19,2,0.107142857,0.321428571,0.106382979,0.288288288,0.19680851,0.313636363,0.303191489,0.2846688582138582,0.256,84.38124445313572,0.4419048279523849,-3.6497492324639857,-2.3657391015440226,0.1495934950099867,Cavan Biggio,624415
13853,Joey Wendle,2B/3B/SS,L,R,ATL,35,6.1,-0.2,0.0,,$0,,,,,,,Joey Wendle,NYM,18,37,0,3,1,1,0.027027027,0.243243243,0.027777778,0.296296296,0.222222222,0.243243243,0.25,0.2193392386307587,0.239,40.81055704914968,0.3583163619041443,-2.2605133596822475,-1.2530511617660522,-0.2356206554550789,Joey Wendle,621563
16451,Luis Guillorme,2B/3B/SS,L,R,ARI,30,5.2,0.1,0.4,,$0,,,,,,,Luis Guillorme,- - -,79,187,0,14,10,4,0.122994652,0.192513368,0.068322981,0.259842519,0.204968944,0.301075268,0.273291925,0.2634907326390666,0.279,66.81605489145376,0.085746381431818,-7.16508890467852,2.0715860202908516,0.1175118285048675,Luis Guillorme,641645
19262,Garrett Hampson,2B/3B/SS/OF,R,R,KCR,30,6.0,0.5,0.1,,$0,,,,,,,Garrett Hampson,KCR,113,231,0,16,16,7,0.06060606,0.255411255,0.070422535,0.314102564,0.230046948,0.27510917,0.300469483,0.2550454709727691,0.244,58.72621381488669,1.4417875930666924,-9.467387123667404,6.445569032803178,0.4832042893823561,Garrett Hampson,641658
15518,Amed Rosario,2B/3B/SS/RF,R,R,CIN,29,7.1,0.3,0.6,,$0,,,WSN,1.0,"$2,000,000","$2,000,000",Amed Rosario,- - -,103,346,3,29,32,13,0.02601156,0.210982658,0.099397591,0.350194552,0.280120481,0.306358381,0.379518072,0.2989004953748229,0.28,96.17568021594116,0.6934093907475471,-1.1159982548065035,-7.809566020965576,0.2691496166515443,Amed Rosario,642708
15223,Adam Frazier,2B/RF/LF,L,R,KCR,33,8.1,-0.6,0.2,,$0,,,,,,,Adam Frazier,KCR,104,294,4,35,22,3,0.074829931,0.200680272,0.091603053,0.246231155,0.202290076,0.281786941,0.293893129,0.2613059820997755,0.286,63.129985191686686,0.2037736847996711,-12.19921221058626,-3.25420081615448,-0.5838051195519017,Adam Frazier,624428
10231,Jose Iglesias,2B/SS,R,R,NYM,35,10.2,2.5,1.4,,$0,,,,,,,Jose Iglesias,NYM,85,291,4,39,26,6,0.041237113,0.134020618,0.111111111,0.381578947,0.337037037,0.381443298,0.448148148,0.3617972910404205,0.314,136.6945912717609,-0.176739402115345,12.592244162581588,2.332436800003052,2.5422093950005404,Jose Iglesias,578428
19339,Nicky Lopez,2B/SS,L,R,CHW,30,5.1,0.9,0.5,,$0,,,,,,,Nicky Lopez,CHW,124,445,1,40,21,5,0.083146067,0.150561797,0.052763819,0.287878787,0.24120603,0.312072892,0.293969849,0.2751438505014146,0.268,76.8212526724623,-0.4570821300148964,-12.259081295744185,5.82155442237854,0.8672005479786326,Nicky Lopez,670032
17696,Kevin Newman,2B/SS/3B,R,R,ARI,31,6.0,1.4,0.3,,$0,,,LAA,1.0,"$2,750,000","$2,750,000",Kevin Newman,ARI,111,311,3,41,28,8,0.048231511,0.154340836,0.097222223,0.322175732,0.277777777,0.311475409,0.375,0.2984641043371276,0.271,88.91862059429197,0.900409497320652,-3.2207127549034062,6.457144498825073,1.4038585858630657,Kevin Newman,621028
