Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,playerid,MLBAMID
Corbin Carroll,ARI,155,645,25,116,76,54,0.088372093,0.193798449,0.221238938,0.324582338,0.284955752,0.361502347,0.50619469,0.370275926,0.344,132.1210443,12.26386181,37.93043149,-6.108128905,5.358546766,Corbin Carroll,25878,682998
Austin Riley,ATL,159,715,37,117,97,3,0.082517482,0.24055944,0.23427673,0.324200913,0.28144654,0.345454545,0.51572327,0.362726629,0.365,127.5043481,0.654222831,25.01694745,1.938219696,5.110373199,Austin Riley,18360,663586
Yandy Díaz,TBR,137,600,22,95,78,0,0.108333333,0.156666666,0.192380952,0.367396593,0.329523809,0.41,0.521904761,0.401729555,0.383,163.235691,-4.357721056,41.10402347,-11.66907978,4.990416753,Yandy Diaz,16578,650490
Kyle Tucker,HOU,157,674,29,97,112,30,0.118694362,0.136498516,0.233449477,0.289416846,0.283972125,0.368815592,0.517421602,0.371979909,0.386,140.1239674,4.045860178,36.44969008,-9.644026995,4.981710776,Kyle Tucker,18345,663656
Sean Murphy,ATL,108,438,21,65,68,0,0.111872146,0.223744292,0.227027027,0.285714285,0.251351351,0.365296803,0.478378378,0.366168285,0.395,129.8115799,-1.571305142,14.6049341,19.94364882,4.929073787,Sean Murphy,19352,669221
Luis Robert Jr.,CHW,145,595,38,90,80,20,0.050420168,0.28907563,0.278388279,0.313609467,0.263736263,0.315254237,0.542124542,0.358127516,0.347,128.4771517,-0.130692868,20.17164693,8.742753267,4.921382475,Luis Robert Jr.,20043,673357
Dansby Swanson,CHC,147,638,22,81,80,9,0.103448275,0.24137931,0.171681416,0.296675191,0.244247787,0.327586206,0.415929203,0.324629433,0.345,105.7232738,2.352467628,6.876062046,20.5851469,4.899952902,Dansby Swanson,18314,621020
J.P. Crawford,SEA,145,638,19,94,65,2,0.147335423,0.195924764,0.172284645,0.31377551,0.265917602,0.379527559,0.438202247,0.359024755,0.34,135.9529147,-0.10729318,27.3771765,-0.298211098,4.885649539,J.P. Crawford,15491,641487
Wander Franco,TBR,112,491,17,65,58,30,0.085539714,0.140529531,0.194570136,0.297222222,0.280542986,0.344195519,0.475113122,0.348863566,0.364,126.5931148,2.89810143,18.5433792,12.96284103,4.823591093,Wander Franco,23667,677551
Gunnar Henderson,BAL,150,622,28,100,82,10,0.090032154,0.255627009,0.233928572,0.305851063,0.255357142,0.324758842,0.489285714,0.345751301,0.346,123.0176747,5.802194854,22.95694558,3.294220835,4.748297152,Gunnar Henderson,26289,683002
Aaron Judge,NYY,106,458,37,79,75,3,0.192139737,0.283842794,0.346049047,0.30049261,0.267029972,0.406113537,0.613079019,0.420361274,0.461,172.1149569,-2.396215538,37.17901054,-5.635994375,4.714222218,Aaron Judge,15640,592450
