Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2021 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV,,playerid
Carlos Correa,SS,R,R,HOU,27,6.119,6.29533577,,,0,,18400000,MIN,1,35100000,35100000,,14162
Marcus Semien,2B/SS,R,R,TOR,31,7.118,5.956840038,,,0,,18400000,TEX,7,175000000,25000000,,12533
Max Scherzer,SP,R,R,LAD,37,13.079,5.369456291,,,0,,,NYM,3,130000000,43333333.33,,3137
Starling Marte,CF/RF/LF,R,R,OAK,33,8.162,5.179905891,,,0,,,NYM,4,78000000,19500000,,9241
Carlos Rodón,SP,L,L,CHW,29,6.168,4.951787949,,,0,,,SFG,1,21500000,22000000,,16137
Kevin Gausman,SP,L,R,SFG,31,7.151,4.80470705,,,0,,,TOR,5,110000000,22000000,,14107
Freddie Freeman,1B,L,R,ATL,32,11.033,4.681728363,,,0,,18400000,LAD,6,162000000,24700000,,5361
Javier Báez,SS/2B,R,R,NYM,29,6.089,4.123918533,,,0,,,DET,6,140000000,23333333.33,,12979
Eduardo Rodriguez,SP,L,L,BOS,29,6.130,3.923144341,,,0,,18400000,DET,2,22846154,8846154,,13164
Robbie Ray,SP,L,L,TOR,30,7.007,3.911744595,,,0,,18400000,SEA,5,115000000,23000000,,11486
Corey Seager,SS,L,R,LAD,28,6.032,3.823521852,,,0,,18400000,TEX,10,325000000,32500000,,13624
Nick Castellanos,RF/LF/DH,R,R,CIN,30,8.029,3.593848228,,,0,,18400000,PHI,5,100000000,20000000,,11737
Brandon Belt,1B,L,L,SFG,34,10.128,3.578349352,,,0,,18400000,SFG,1,18400000,18400000,,10264
Marcus Stroman,SP,R,R,NYM,31,7.026,3.467393875,,,0,,,CHC,2,50000000,23666666.67,,13431
Clayton Kershaw,SP,L,L,LAD,34,13.105,3.429968357,,,0,,,LAD,1,17000000,17000000,,2036
Kris Bryant,3B/LF/RF,R,R,SFG,30,6.171,3.099440336,,,0,,,COL,7,182000000,26000000,,15429
Anthony DeSclafani,SP,R,R,SFG,32,7.062,3.035145283,,,0,,,SFG,3,36000000,12000000,,13050
Mark Canha,RF/LF/CF,R,R,OAK,33,6.092,2.902009249,,,0,,,NYM,3,36000000,13250000,,11445
Steven Matz,SP,R,L,TOR,31,6.099,2.745627403,,,0,,,STL,4,44000000,11000000,,13361
Kyle Schwarber,LF/1B/DH,L,R,BOS,29,6.086,2.72033596,,,0,,,PHI,4,79000000,19750000,,16478
Chris Taylor,2B/3B/SS/OF,R,R,LAD,31,6.037,2.657350302,,,0,,18400000,LAD,4,60000000,15000000,,13757
Alex Wood,SP,R,L,SFG,31,8.123,2.528016567,,,0,,,SFG,2,25000000,12500000,,13781
Alex Cobb,SP,R,R,LAA,34,10.061,2.490419865,,,0,,,SFG,3,28000000,10000000,,6562
Eduardo Escobar,3B/2B,S,R,MIL,33,9.128,2.480003357,,,0,,,NYM,2,20000000,10000000,,6153
Josh Harrison,2B/3B/LF,R,R,OAK,34,9.168,2.32701993,,,0,,,CHW,1,5500000,5500000,,8202
Avisaíl García,RF/LF,R,R,MIL,31,8.167,2.289957285,,,0,,,MIA,4,53000000,13250000,,5760
Jon Gray,SP,R,R,COL,30,6.062,2.287401438,,,0,,,TEX,4,56000000,14000000,,14916
Yan Gomes,C,R,R,OAK,34,9.083,2.226135015,,,0,,,CHC,3,19000000,6500000,,9627
Anthony Rizzo,1B,L,L,NYY,32,9.168,2.176534414,,,0,,,NYY,1,16000000,16000000,,3473
Trevor Story,SS,R,R,COL,29,6.000,2.173464775,,,0,,18400000,BOS,6,140000000,23333333.33,,12564
Tyler Anderson,SP,L,L,SEA,32,6.065,2.057795763,,,0,,,LAD,1,8000000,8000000,,12880
Raisel Iglesias,RP,R,R,LAA,32,6.154,2.01207757,,,0,,18400000,LAA,4,58000000,10000000,,17130
Jonathan Villar,3B/2B/SS,S,R,NYM,31,7.113,1.961777091,,,0,,,CHC,1,6000000,6000000,,10071
Nelson Cruz,DH,R,R,TBR,41,14.082,1.873635054,,,0,,,WSN,1,15000000,15000000,,2434
Matt Harvey,SP,R,R,BAL,33,8.127,1.860275269,,,0,,,,,,,,11713
Kenley Jansen,RP,S,R,LAD,34,11.073,1.841271162,,,0,,,ATL,1,16000000,16000000,,3096
Collin McHugh,RP,R,R,TBR,35,7.085,1.835658431,,,0,,,ATL,2,10000000,5000000,,7531
Manny Piña,C,R,R,MIL,35,6.046,1.79072094,,,0,,,ATL,2,8000000,4000000,,2829
Jose Iglesias,SS/2B,R,R,BOS,32,9.036,1.783195734,,,0,,,COL,1,5000000,5000000,,10231
Rich Hill,SP,L,L,NYM,42,12.127,1.712209105,,,0,,,BOS,1,5000000,5000000,,4806
Danny Duffy,SP,L,L,LAD,33,10.085,1.667973042,,,0,,,LAD,1,3000000,3000000,,3542
Aaron Loup,RP,L,L,NYM,34,9.040,1.629327059,,,0,,,LAA,2,17000000,8500000,,10343
Ryan Tepera,RP,R,R,CHW,34,6.008,1.600371122,,,0,,,LAA,2,14000000,7000000,,10291
Johnny Cueto,SP,R,R,SFG,36,14.000,1.518094063,,,0,,,CHW,1,3142857,3142857,,6893
Leury García,2B/SS/3B/OF,S,R,CHW,31,7.025,1.489605904,,,0,,,CHW,3,16500000,5500000,,5913
César Hernández,2B,S,R,CHW,32,7.154,1.4710778,,,0,,,WSN,1,4000000,4000000,,10556
Michael Conforto,RF/LF,L,R,NYM,29,6.043,1.459048271,,,0,,18400000,,,,,,16376
Corey Kluber,SP,R,R,NYY,36,9.074,1.434022188,,,0,,,TBR,1,8000000,8000000,,2429
Andrew McCutchen,LF/RF/DH,R,R,PHI,35,12.123,1.42749691,,,0,,,MIL,1,8500000,8500000,,9847
Odúbel Herrera,CF/LF/RF,L,R,PHI,30,5.077,1.404871464,,,0,,,PHI,1,1750000,1750000,,11476
Andrew Chafin,RP,R,L,OAK,32,7.020,1.403555632,,,0,,,DET,2,13000000,6500000,,12988
Donovan Solano,2B/3B,R,R,SFG,34,6.081,1.3940202,,,0,,,CIN,1,4500000,4500000,,8623
Matthew Boyd,SP,L,L,DET,31,5.136,1.369502902,,,0,,,SFG,1,5200000,5200000,,15440
Rougned Odor,2B/3B,L,R,NYY,28,7.121,1.324623108,,,0,,,BAL,1,700000,700000,,12282
Michael Pineda,SP,R,R,MIN,33,9.165,1.318794608,,,0,,,DET,1,5500000,5500000,,5372
Zack Greinke,SP,R,R,HOU,38,17.057,1.208608866,,,0,,,KCR,1,13000000,13000000,,1943
Matt Duffy,3B/2B/SS,R,R,CHC,31,6.059,1.20707655,,,0,,,LAA,1,1500000,1500000,,13836
Michael Wacha,SP,R,R,TBR,30,8.062,1.08742249,,,0,,,BOS,1,7000000,7000000,,14078
Yusei Kikuchi,SP,L,L,SEA,31,3.000,1.077817917,,,0,,,TOR,3,36000000,12000000,,20633
Garrett Richards,SP,R,R,BOS,34,9.148,1.077460408,,,0,,,TEX,1,5500000,5500000,,9784
Mark Melancon,RP,R,R,SDP,37,11.098,1.072769523,,,0,,,ARI,2,14000000,7000000,,4264
Kendall Graveman,RP,R,R,HOU,31,6.078,1.064962864,,,0,,,CHW,3,24000000,8000000,,15514
Daniel Hudson,RP,R,R,SDP,35,11.106,1.047098398,,,0,,,LAD,2,12500000,7000000,,7146
Andrew Heaney,SP,L,L,NYY,31,6.150,1.031306863,,,0,,,LAD,1,8500000,8500000,,15423
Niko Goodrum,SS/2B/3B/OF,S,R,DET,30,4.031,1.024356723,,,0,,,HOU,1,2100000,2100000,,12092
Eddie Rosario,LF/RF,L,R,ATL,30,6.120,1.015229821,,,0,,,ATL,2,18000000,9000000,,12155
Charlie Culberson,2B/3B/LF,R,R,TEX,33,6.051,1.007140994,,,0,,,TEX,1,1750000,1750000,,3298
Tommy Pham,LF/RF,R,R,SDP,34,6.107,0.972725153,,,0,,,CIN,1,7500000,7500000,,2967
Jimmy Nelson,RP,R,R,LAD,33,7.107,0.960088491,,,0,,,LAD,1,700000,700000,,10547
Jesse Chavez,RP,R,R,ATL,38,11.038,0.959663749,,,0,,,CHC,1,750000,750000,,5448
Andrelton Simmons,SS,R,R,MIN,32,9.122,0.921706557,,,0,,,CHC,1,4000000,4000000,,10847
Brett Anderson,SP,L,L,MIL,34,12.135,0.916866243,,,0,,,,,,,,8223
Brett Gardner,LF/CF/RF,L,L,NYY,38,13.072,0.903760195,,,0,,,,,,,,9927
Jed Lowrie,2B/3B/DH,S,R,OAK,38,13.111,0.878726184,,,0,,,OAK,1,850000,850000,,4418
Steve Cishek,RP,R,R,LAA,36,10.143,0.860387623,,,0,,,WSN,1,1750000,1750000,,6483
Brad Boxberger,RP,R,R,MIL,34,8.033,0.815244675,,,0,,,MIL,1,2500000,2500000,,10133
Corey Dickerson,LF/RF,L,R,TOR,33,8.101,0.812090874,,,0,,,STL,1,5000000,5000000,,10762
Tony Watson,RP,L,L,SFG,37,10.101,0.773813665,,,0,,,,,,,,3132
Brooks Raley,RP,L,L,HOU,34,2.045,0.766607285,,,0,,,TBR,3,15250000,5000000,,10061
Starlin Castro,3B/2B,R,R,WSN,32,11.082,0.759396017,,,0,,,,,,,,4579
Richard Rodríguez,RP,R,R,ATL,32,4.016,0.744725704,,,0,,,,,,,,13549
