Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2024 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV,,playerid
Juan Soto,LF/RF,L,L,NYY,26,6.134,8.140358925,6.451408386,13,585000000,45000000,21050000,NYM,15,765000000,51000000,,20123
Willy Adames,SS,R,R,MIL,29,6.105,4.757421017,3.894942045,6,150000000,25000000,21050000,SFG,7,182000000,26000000,,15986
Jurickson Profar,LF,S,R,SDP,32,10.165,4.30433321,2.083457947,3,45000000,15000000,,,,,,,10815
Alex Bregman,3B,R,R,HOU,31,8.070,4.126927376,4.010169029,6,162000000,27000000,21050000,,,,,,17678
Corbin Burnes,SP,R,R,BAL,30,6.049,3.738384724,3.645496845,6,180000000,30000000,21050000,ARI,6,210000000,33041322,,19361
Yusei Kikuchi,SP,L,L,HOU,34,6.000,3.54348278,3.0322752,3,54000000,18000000,,LAA,3,63000000,21000000,,20633
Teoscar Hernández,RF/LF,R,R,LAD,32,7.097,3.478037596,2.258911371,3,69000000,23000000,21050000,LAD,3,66000000,20940454,,13066
Nick Martinez,SP,L,R,CIN,34,6.002,3.465278149,1.774160743,2,32000000,16000000,21050000,CIN,1,21050000,21050000,,12730
Max Fried,SP,L,L,ATL,31,6.148,3.3533144,3.280584097,5,125000000,25000000,21050000,NYY,8,218000000,27250000,,13743
Michael Wacha,SP,R,R,KCR,33,11.062,3.344763279,2.137141228,3,54000000,18000000,,KCR,3,51000000,17000000,,14078
Anthony Santander,RF/LF,S,R,BAL,30,6.162,3.31287837,2.65821147,4,80000000,20000000,21050000,TOR,5,92500000,18500000,,14551
Jack Flaherty,SP,R,R,LAD,29,7.006,3.215585709,2.607885838,4,88000000,22000000,,,,,,,17479
Blake Snell,SP,L,L,SFG,32,8.072,3.065009117,3.412140608,4,120000000,30000000,,LAD,5,182000000,31357257,,13543
Carlos Santana,1B,S,R,MIN,39,14.115,3.019100904,1.481622934,1,7000000,7000000,,CLE,1,12000000,12000000,,2396
Christian Walker,1B,R,R,ARI,34,6.124,3.007289886,3.143241882,3,54000000,18000000,21050000,HOU,3,60000000,20000000,,13419
Joc Pederson,DH/LF/RF,L,L,ARI,33,10.028,2.961045265,1.855922818,2,28000000,14000000,,TEX,2,37000000,18500000,,11899
Sean Manaea,SP,R,L,NYM,33,8.157,2.776812077,2.018234015,3,60000000,20000000,21050000,NYM,3,75000000,22009731,,15873
Nathan Eovaldi,SP,R,R,TEX,35,13.013,2.694152832,2.872901678,3,60000000,20000000,,TEX,3,75000000,25000000,,9132
Ha-Seong Kim,SS,R,R,SDP,29,4.000,2.649892807,2.567979813,4,73520000,18380000,,,,,,,27506
Jose Iglesias,2B/SS,R,R,NYM,35,10.158,2.542209387,1.358817697,,0,,,,,,,,10231
Tyler O'Neill,LF/RF/CF,R,R,BOS,30,6.059,2.48934865,2.012366295,3,51000000,17000000,,BAL,3,49500000,16500000,,15711
Andrew Heaney,SP,L,L,TEX,34,9.150,2.236586571,1.636128664,2,25000000,12500000,,,,,,,15423
Luis Severino,SP,R,R,NYM,31,8.170,2.102358341,1.617047071,3,48000000,16000000,21050000,ATH,3,67000000,22333333.33,,15890
Pete Alonso,1B,R,R,NYM,30,6.000,2.09114337,2.420155048,5,125000000,25000000,21050000,,,,,,19251
Jeff Hoffman,RP,R,R,PHI,32,6.084,2.042233706,0.887152493,3,30000000,10000000,,TOR,3,33000000,11000000,,17432
