playerid,Name_x,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV,Name_y,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,MLBAMID
15271,Austin Wynns,C,R,R,COL,33,3.1,0.2,,,$0,,,CIN,1.0,"$900,000","$900,000",Austin Wynns,- - -,51,145,1,11,10,1,0.062068965,0.268965517,0.069230769,0.285714285,0.207692307,0.267605633,0.276923076,0.245299522,0.224,38.4857581,-0.189330867,-11.2702609,7.860264572,0.151234082,Austin Wynns,642851
12160,Ben Gamel,RF/LF,L,L,SDP,32,6.1,-0.1,,,$0,,,NYM,1.0,"$800,000","$800,000",Ben Gamel,SDP,6,15,0,2,2,0,0.0,0.133333333,0.066666666,0.23076923,0.2,0.2,0.266666666,0.200588997,0.252,23.70591158,0.088422951,-1.329330148,-0.384406552,-0.120068467,Ben Gamel,592325
15654,Billy McKinney,LF/RF/1B,L,L,NYY,29,3.1,0.2,,,$0,,,NYY,1.0,$0,,Billy McKinney,NYY,48,147,6,19,14,1,0.115646258,0.265306122,0.1796875,0.273809523,0.2265625,0.319727891,0.40625,0.314749108,0.346,98.91284966,0.281264627,0.089777528,-3.333397388,0.180087568,Billy McKinney,641856
12775,Brad Miller,1B/3B/LF,L,R,TEX,34,10.0,-0.1,,,$0,,,SDP,1.0,$0,,Brad Miller,TEX,27,67,1,8,6,0,0.149253731,0.164179104,0.125,0.244444444,0.214285714,0.328358208,0.339285714,0.300237737,0.316,88.87827956,0.061403191,-0.831448561,-2.280808099,-0.080844916,Brad Miller,543543
10264,Brandon Belt,1B,L,L,TOR,36,12.1,2.2,,1.0,"$9,500,000","$9,500,000",,,,,,Brandon Belt,TOR,103,404,19,53,43,0,0.150990099,0.3490099,0.235988201,0.370165745,0.253687315,0.368811881,0.489675516,0.369037566,0.336,137.8884522,-2.162263243,16.17864372,-8.348261118,2.164686244,Brandon Belt,474832
5343,Brandon Crawford,SS,L,R,SFG,37,12.1,0.4,,1.0,"$8,000,000","$8,000,000",,STL,1.0,"$2,000,000","$2,000,000",Brandon Crawford,SFG,94,320,7,31,38,3,0.0875,0.253125,0.120141343,0.24120603,0.194346289,0.272727272,0.314487632,0.26020009,0.294,61.94919441,0.054089499,-15.03045818,7.806289911,0.363806934,Brandon Crawford,543063
14735,Brett Phillips,CF/RF/LF,L,R,LAA,30,4.1,-0.1,,,$0,,,CHW,1.0,$0,,Brett Phillips,LAA,40,71,3,9,6,3,0.112676056,0.507042253,0.158730159,0.333333333,0.174603174,0.267605633,0.333333333,0.267620107,0.236,64.49050356,0.695660853,-2.325232827,-1.401472025,-0.12841457,Brett Phillips,621433
18289,Brian Anderson,3B/RF,R,R,MIL,31,6.0,0.3,,,$0,,,SEA,1.0,$0,,Brian Anderson,MIL,96,361,9,38,40,1,0.099722991,0.299168975,0.141509434,0.308823529,0.226415094,0.310249307,0.367924528,0.299132621,0.316,85.69716969,-1.480652291,-7.877229496,-1.341527343,0.303822484,Brian Anderson,605119
12546,C.J. Cron,1B,R,R,LAA,34,9.1,-0.3,,1.0,"$5,000,000","$5,000,000",,BOS,1.0,$0,,C.J. Cron,- - -,71,278,12,38,37,0,0.061151079,0.233812949,0.186046512,0.284153005,0.248062015,0.294964028,0.434108527,0.312345707,0.332,84.08334527,-3.986762396,-9.342054654,-3.358944349,-0.322612436,C.J. Cron,543068
12981,Cam Gallagher,C,R,R,CLE,31,5.1,-0.7,,,$0,,,PHI,1.0,$0,,Cam Gallagher,CLE,56,149,0,6,7,0,0.026845637,0.308724832,0.041958042,0.183673469,0.125874125,0.154362416,0.167832167,0.144715613,0.173,-17.6981451,-0.2160282,-21.22904778,9.209457397,-0.688179496,Cam Gallagher,595956
2396,Carlos Santana,1B/DH,S,R,MIL,38,13.1,1.5,,1.0,"$7,000,000","$7,000,000",,MIN,1.0,"$5,250,000","$5,250,000",Carlos Santana,- - -,146,619,23,78,86,6,0.105008077,0.168012924,0.189090909,0.25526932,0.24,0.31825525,0.429090909,0.323313638,0.308,100.4940579,0.558097346,0.936964482,-7.261810899,1.466518502,Carlos Santana,467793
17161,Chad Wallach,C,R,R,LAA,32,4.0,-0.2,,,$0,,,LAA,1.0,$0,,Chad Wallach,LAA,65,172,7,18,15,0,0.075581395,0.331395348,0.178343949,0.258064516,0.197452229,0.258823529,0.375796178,0.274992592,0.292,69.60053454,-1.227516396,-7.492601466,-0.058922052,-0.163850919,Chad Wallach,595453
7859,Charlie Blackmon,RF/LF/DH,L,L,COL,37,11.1,0.9,,,$0,,,COL,1.0,"$13,000,000","$13,000,000",Charlie Blackmon,COL,96,413,8,57,40,4,0.094430992,0.133171912,0.161559888,0.306666666,0.278551532,0.363196125,0.44011142,0.349766218,0.339,106.8393028,-1.482169011,2.017124252,-7.209867954,0.881466185,Charlie Blackmon,453568
15998,Cody Bellinger,CF/1B,L,L,CHC,28,6.2,4.4,,6.0,"$144,000,000","$24,000,000","$20,325,000",CHC,3.0,"$80,000,000","$26,666,667",Cody Bellinger,CHC,130,556,26,95,97,20,0.071942446,0.15647482,0.218436874,0.319095477,0.306613226,0.356115107,0.5250501,0.370215052,0.327,136.2831509,2.452670529,27.44451124,-1.755937338,4.445368284,Cody Bellinger,641355
10762,Corey Dickerson,LF/RF,L,R,WSN,35,10.1,-0.6,,,$0,,,,,,,Corey Dickerson,WSN,50,152,2,12,17,0,0.046052631,0.184210526,0.104166666,0.295652173,0.25,0.282894736,0.354166666,0.276978015,0.288,71.58493488,-2.297721492,-7.648422719,-3.379324555,-0.58467251,Corey Dickerson,572816
12510,Curt Casali,C,R,R,CIN,35,7.2,-0.3,,,$0,,,SFG,1.0,,,Curt Casali,CIN,40,96,0,8,6,0,0.114583333,0.239583333,0.025,0.245614035,0.175,0.29032258,0.2,0.238547333,0.281,38.94632728,-0.348765065,-7.609849472,1.676983595,-0.26635568,Curt Casali,592200
14130,Daniel Vogelbach,DH,L,R,NYM,31,5.1,0.2,,,$0,,,TOR,1.0,"$892,473","$892,473",Daniel Vogelbach,NYM,104,319,13,33,48,0,0.131661442,0.253918495,0.170909091,0.281767955,0.232727272,0.338557993,0.403636363,0.326844139,0.324,108.1813137,-3.058292926,0.174904221,-9.182098389,0.182619973,Daniel Vogelbach,596129
9929,Darin Ruf,1B/DH,R,R,MIL,37,6.1,-0.1,,,$0,,,,,,,Darin Ruf,- - -,20,57,0,3,3,0,0.140350877,0.280701754,0.06122449,0.333333333,0.224489795,0.333333333,0.285714285,0.286996501,0.354,78.67530662,-0.388389688,-1.894220255,-1.427104622,-0.138074132,Darin Ruf,573131
13744,David Dahl,RF/LF,L,R,SDP,30,4.2,-0.2,,,$0,,,PHI,1.0,$0,,David Dahl,SDP,4,9,1,1,1,0,0.0,0.222222222,0.333333333,0.0,0.111111111,0.111111111,0.444444444,0.222677337,0.367,38.51358489,0.0,-0.685551586,-1.726908252,-0.210071823,David Dahl,621311
2136,David Peralta,LF/RF,L,L,LAD,36,9.1,-0.2,,,$0,,,SDP,1.0,"$800,000","$800,000",David Peralta,LAD,133,422,7,47,55,4,0.047393364,0.170616113,0.121827411,0.295950155,0.258883248,0.293838862,0.380710659,0.290405621,0.309,81.92842851,-3.114745892,-12.56246187,-3.98021692,-0.219828343,David Peralta,444482
