playerid,Name,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch,MLBAMID
23296,Jacob Amaya,MIA,4,9,2,2,0,0,0,1,2,1,0,0.111111111,0,0.25,0.222222222,0.272,0.196119176,0.274,0.222222222,0.362,0.222222222,14.37650399,-0.770081669,0.263425454,7.5,0.184589756,-0.020029847,0,0,0.375,0.45454545,0.58823529,0.53571429,0.8,0.9,0.86666667,0.75,0,0.25,84.21025085,-0.106456995,99.9375,0.125,0.75,0.125,0.064744588,676070
19877,Tristan Gray,TBR,2,5,2,1,0,0,1,1,1,0,0,0,0.6,0.25,0.4,0.507,0.577326465,0.678,1,1.127,0.4,284.9457578,1.100291839,0.382158523,0.14285714,-0.007726521,0.164953228,0,0.2,0.4,0.4,1,0.71428571,0.75,0.81818182,0.8,0.4,0.6,0,89.62948608,7.286135864,104.225,0.4,0.2,0.4,0.063950536,656484
22411,Cal Stevenson,SFG,6,12,0,0,0,0,0,1,0,0,0.25,0.166666666,0,0,0,0.128,0.173975721,0.271,0,0.172,0.25,4.145742071,-1.49542334,0.348178193,1.601190471,-0.070435647,-0.07374356,1.5,0,0.14285714,0.17142857,0.5,0.30508475,0.5,1,0.83333333,0.28571429,0.28571429,0.42857143,84.39556013,15.09476798,102.043,0.142857142,0.571428571,0.285714285,0.063895854,670276
21837,Jonathan Aranda,TBR,34,103,20,13,4,1,2,13,13,0,0.126213592,0.300970873,0.137931034,0.327272727,0.229885057,0.192,0.312038468,0.276,0.367816091,0.303,0.339805825,101.0688326,-0.09155911,-2.347063482,3.735599071,-0.223469644,0.109642453,0.419354838,0.05263158,0.43859649,0.31120332,0.59615385,0.44320713,0.68,0.79032258,0.74874372,0.49122807,0.24561404,0.26315789,89.02913411,8.442675139,107.566,0.140350877,0.543859649,0.315789473,0.063031391,666018
17484,Eloy Jiménez,CHW,120,489,124,83,23,0,18,50,64,0,0.061349693,0.190184049,0.168859649,0.305475504,0.271929824,0.258,0.324727025,0.314,0.440789473,0.426,0.316973415,105.3265392,1.851218337,-13.09921432,0.988445371,-1.26972989,0.553396668,0.322580645,0.09315068,0.46575342,0.37435367,0.70666667,0.51951077,0.52762431,0.85471698,0.72197309,0.40547945,0.36164384,0.23287671,90.9073261,5.70694764,113.467,0.158904109,0.531506849,0.309589041,0.061420531,650391
19273,Stone Garrett,WSN,89,271,63,37,17,0,9,40,40,3,0.095940959,0.302583025,0.188034188,0.364864864,0.269230769,0.263,0.343679692,0.345,0.457264957,0.441,0.343283582,116.3006838,6.044955595,-2.002214432,3.737283776,0.572357279,1.321299482,0.31707317,0.09375,0.475,0.31617647,0.7611336,0.52793834,0.46511628,0.80053191,0.69525547,0.36305732,0.38216561,0.25477707,91.1251565,17.34231176,112.52,0.286624203,0.318471337,0.394904458,0.060499494,656448
4106,Michael Brantley,HOU,15,57,15,11,2,0,2,7,7,0,0.035087719,0.035087719,0.148148148,0.25490196,0.277777777,0.277,0.30869161,0.286,0.425925925,0.358,0.298245614,96.25746018,-0.766140444,0.393449247,1.601190471,-0.510532785,0.158083747,1,0,0.37735849,0.21111111,0.53076923,0.4,0.73684211,0.97101449,0.92045455,0.50943396,0.30188679,0.18867925,90.43428471,14.07711504,106.16,0.245283018,0.37735849,0.37735849,0.056484883,488726
13854,Anthony Bemboom,BAL,6,13,2,2,0,0,0,0,0,0,0.153846153,0.153846153,0,0.222222222,0.181818181,0.125,0.242836796,0.211,0.181818181,0.156,0.307692307,51.68537577,-0.79229634,0.260905029,0.14285714,-0.03971311,-0.008458864,1,0,0.11111111,0.26315789,0.52173913,0.4047619,1,0.83333333,0.88235294,0.22222222,0.44444444,0.33333333,79.87905545,18.33437263,96.7599,0,0.444444444,0.555555555,0.056325126,621532
19864,Riley Adams,WSN,44,158,39,20,13,2,4,8,21,0,0.069620253,0.284810126,0.202797203,0.368421052,0.272727272,0.224,0.34446302,0.281,0.475524475,0.35,0.331210191,116.8258145,3.300752773,-4.394286968,2.39285714,0.007298483,0.426270832,0.244444444,0.05,0.41,0.34892086,0.70070423,0.52669039,0.51546392,0.85929648,0.74662162,0.38,0.28,0.34,89.92302912,18.09917781,110.83,0.252525252,0.343434343,0.404040404,0.056112867,656180
12160,Ben Gamel,SDP,6,15,3,2,1,0,0,2,2,0,0,0.133333333,0.066666666,0.23076923,0.2,0.205,0.200588997,0.252,0.266666666,0.389,0.2,23.70591158,-1.329330148,-0.384406552,2.64285714,0.088422951,-0.120068467,0,0.07692308,0.46153846,0.17647059,0.75,0.55102041,0.66666667,0.95833333,0.92592593,0.38461538,0.46153846,0.15384615,92.70676676,5.510028203,106.276,0.083333333,0.5,0.416666666,0.055776986,592325
