playerid,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO,MLBAMID
13276,Matt Carasiti,COL,1,0,1,16,0,24.1,5.917809456,4.068494001,1.109589273,0.316455696,0.58659218,0.560975609,0.157894736,6.287672547,5.3,5.022164017,4.710397513,-0.042811394,0.00973236,95.02690125,0.210166678,0.07055961,91.65669619,-1.718611393,0.64233577,95.40988252,0.200440027,,,,,,,,,,,,,0.27737226,81.46842448,-1.503989458,,,,,,,,,,,82.2488,,,77.90416667,,83.75782493,96.03076923,92.48806366,88.62095238,571539
31838,Kodai Senga,NYM,12,7,0,29,29,166.1,10.92986005,4.166332793,0.919839707,0.27735369,0.80347448,0.44691358,0.115646258,2.975951995,3.87,3.633797886,3.76631918,3.439357042,0.37011824,95.87375968,2.20023717,0.24686492,91.02645365,17.46146863,,,,,,,0.11931207,82.94990498,-3.28835167,0.02472232,72.51947464,-0.646581549,,,,0.23898244,83.38639665,6.627070181,,,,,,,,,90.57066667,109.3457364,,99.76923077,,93.00372493,,97.39797297,94.91475818,96.67123044,83.00528701,673540
1157,Tommy Hunter,NYM,0,1,0,14,0,23.2,7.605635233,1.901408808,2.28169057,0.301369863,0.56390977,0.46835443,0.1875,6.84507171,5.13,5.747998575,4.687741592,-0.281336933,0.09264305,92.71131807,0.482117984,0.3106267,90.41550164,-3.388067007,0.38147139,92.26090262,4.117444038,0.07356948,86.5458894,-1.768283684,0.13079019,84.02442424,-2.641855609,0.01089918,81.06869507,-1.102054972,,,,,,,,,,,,,,69.07777778,103.4865385,77.80689655,72.78125,,,88.74869565,,82.73766938,105.6363144,100.6723577,,488984
1246,Matt Bush,MIL,0,2,1,12,0,10.1,8.709679295,5.225807577,4.354839647,0.222222222,0.6,0.28125,0.416666666,9.580647224,10.87,9.351815866,4.981513736,-0.704495966,0.51030928,94.7768604,-3.2564415,,,,0.07731959,94.5890625,0.280369218,,,,0.02061856,80.40810394,-1.512292773,0.39175258,77.53279837,0.099261083,,,,,,,,,,,,,,,139.7381579,107.0138614,48.46153846,100.7,,,,113.459596,93.90757576,97.31919192,,456713
1247,Adam Ottavino,NYM,1,7,12,66,0,61.2,9.048649582,4.232432869,1.021621727,0.251612903,0.80601093,0.5625,0.145833333,3.210811142,3.53,4.519905355,4.331162917,-0.070763446,0.0546875,93.38697161,2.084027916,0.1484375,88.03860634,-1.38004154,0.37597656,92.82206778,1.819485735,0.140625,87.82068549,3.330269989,0.28027344,79.89324505,1.1708568,,,,,,,,,,,,,,,,,75.9056338,,95.68070175,99.44637306,114.6677193,,98.72207792,,99.99562257,94.81643969,95.74640078,,493603
1890,Matt Moore,- - -,5,1,0,50,0,52.2,10.25316561,2.563291402,1.196202654,0.293233083,0.88560886,0.350364963,0.112903225,2.563291402,3.28,3.729723953,3.948226673,0.646787267,0.47619048,94.03074732,1.044103835,,,,,,,0.31501832,84.18594621,8.140546869,,,,0.20879121,84.34511633,-2.32611699,,,,,,,,,,,,,,95.18737794,,97.33081097,,,118.7423313,,,101.0537503,98.64382726,101.0619973,,519043
1943,Zack Greinke,KCR,2,15,0,30,27,142.1,6.133489516,1.454332566,1.580796267,0.29954955,0.68666667,0.431330472,0.147928994,5.058548055,5.06,4.744501731,4.42424257,1.108583796,0.26408292,89.71707101,3.440665592,0.0648941,85.585957,-1.886775587,0.16043263,89.928785,-4.812238805,0.16493916,86.61143485,-0.133938808,0.2032447,79.35768117,5.31138815,0.14195584,72.66238219,-9.259834163,0.00045065,58.02840042,-0.036386766,,,,,,,,,,,84.24634146,95.78429487,72.21986418,76.3591954,94.2954955,,100.4410256,,84.62803201,104.0193773,100.1860389,,425844
2036,Clayton Kershaw,LAD,13,5,0,24,24,131.2,9.3645566,2.73417711,1.298734127,0.25,0.89347079,0.475073313,0.168141592,2.460759399,3.77,4.029723874,3.572727042,2.356888294,0.36920039,90.86030456,1.614941385,,,,0.00246792,90.90385742,0.634990845,0.00394867,86.47025299,-0.399146669,0.43287266,86.65116341,18.27707051,0.17522211,73.48814921,0.455893598,,,,0.01579467,84.18800354,0.907635398,,,,,,,0.00049358,34.09428571,93.68,95.8618984,90.25,112.2631399,,,116.06,101.3904433,99.6773399,101.1815271,,477132
2233,Adam Wainwright,STL,5,11,0,21,21,101,4.900990469,3.653465623,1.782178352,0.356948229,0.63030303,0.401041666,0.138888888,7.396040163,7.35,5.987713833,5.770710377,-0.360153168,0.09635854,85.94800372,-3.450412843,0.22913165,83.1309119,-0.156663097,0.31372549,87.11315569,-18.94550931,0.05042017,81.67090929,-3.046801824,0.0022409,76.04932404,-0.656163141,0.30756303,71.75698714,-8.308264595,0.00056022,63.12540054,0.264443666,,,,,,,,,,,65.53820225,129.2521822,79.83136095,86.50261682,83.25,,106.5748705,,102.9368267,99.06826698,96.53413349,,425794
2429,Corey Kluber,BOS,3,6,1,15,9,55,6.87272763,3.436363815,2.781818327,0.300578035,0.66951567,0.301587301,0.188888888,7.036364002,6.28,7.109586015,5.796888816,-0.809653997,0.01919192,88.50917615,0.13189758,0.27070707,86.39926102,-8.587552808,0.26969697,88.52661681,-12.490769,0.15858586,82.45211423,1.05330614,0.28181818,80.82324044,-0.293346614,,,,,,,,,,,,,,,,,81.52611465,106.4014337,83.53478261,76.79384615,,,107.4479705,,94.4435411,100.4373012,96.75318305,,446372
2520,Lance Lynn,- - -,13,11,0,32,32,183.2,9.359346772,3.283121643,2.156079885,0.291750503,0.67846608,0.356472795,0.19047619,5.733212421,4.86,5.53090246,4.496007283,0.457522228,0.43479634,92.64238381,-5.755545147,0.23334386,88.81888135,-0.409644157,0.12724976,91.46031231,3.88201588,0.06883486,84.99837389,-3.081162084,0.0786233,81.03189516,-7.219116226,0.05715188,83.10246083,-5.318492804,,,,,,,,,,,,,,56.21538462,108.6132479,92.2567509,93.31303258,97.00831068,,104.2495879,,93.75764893,101.9852693,100.0795657,,458681
2895,Zach McAllister,NYY,0,0,0,7,0,5.1,8.437502012,3.375000805,3.375000805,0.368421053,0.54347826,0.3,0.222222222,10.12500241,7.58,7.942541477,5.857572065,-0.159504965,0.54471545,91.83559497,-3.052227296,0.28455285,87.66769671,-1.138323657,0.02439024,92.0982666,-0.665830143,0.07317073,83.05088976,0.195822511,0.07317073,81.17335341,0.192666091,,,,,,,,,,,,,,,,,119.9111111,,,107.9414286,114.7,,63.66285714,,95.51439394,103.9348485,112.0901515,,502083
3096,Kenley Jansen,BOS,3,6,29,51,0,44.2,10.47761254,3.425373329,1.007462744,0.3125,0.73076923,0.226086956,0.076923076,3.626865878,3.14,3.658025457,4.608798586,1.087876081,,,,0.79027778,94.47631536,4.746949006,0.09027778,95.45004507,-0.733284131,,,,0.11805556,84.2845301,-1.195177216,,,,,,,,,,,,,,,,0.00138889,,,,125.4238806,81.94235294,,124.9452465,,119.8425798,103.3079057,111.2718447,,445276
3137,Max Scherzer,- - -,13,6,0,27,27,152.2,10.25764209,2.652838472,1.650655049,0.264864865,0.81001473,0.331645569,0.145833333,3.772925827,3.28,4.322725967,4.017770962,2.176756859,0.45982143,93.86776844,7.85601734,0.10511364,88.48803051,5.768371135,0.0036526,92.41699219,0.338261686,0.14082792,83.91773235,0.130986359,0.16680195,84.05215699,-1.018003434,0.12378247,75.40289767,1.553471588,,,,,,,,,,,,,,94.04351585,95.56196721,103.8105079,,105.7562802,,98.49375,,101.2601178,103.3653538,102.9128384,,453286
3237,T.J. McFarland,NYM,0,1,0,3,0,1.2,10.80000412,5.40000206,0,0.571428571,0.66666667,0.714285714,0,5.40000206,4.73,4.455040817,4.455040817,-0.004327824,,,,,,,0.49019608,88.16706055,-1.101551704,0.21568627,81.64409846,0.080470268,0.29411765,78.51824544,-0.615901817,,,,,,,,,,,,,,,,,77.15454545,,,87.704,102.48,,,,89.7745098,90.5,89.63137255,,519008
3548,Liam Hendriks,CHW,2,0,1,5,0,5,5.4,1.8,1.8,0.2,0.55555556,0.5,0.166666666,5.4,3.96,5.255040359,4.639062464,-0.05848404,0.5862069,95.54696117,0.492773354,,,,,,,,,,0.3908046,88.10586368,-0.281956445,0.02298851,85.0775528,-0.063332479,,,,,,,,,,,,,,,150.6,126.3784314,,96.61176471,,,,115.3022989,98.14367816,103.9655172,,521230
4676,Charlie Morton,ATL,14,12,0,30,30,163.1,10.08367378,4.57346953,0.771428595,0.320754717,0.77639752,0.43287037,0.093959731,3.636734807,4.64,3.873407726,4.267383726,2.650961161,0.30577058,94.99831883,-10.06030425,,,,0.08022519,94.38988829,-8.701443087,0.10239268,86.1255705,2.518385835,0.07952146,89.15453886,0.562127139,0.43209008,82.40929102,22.03803966,,,,,,,,,,,,,,99.61883562,139.1537459,73.92383592,80.88497409,,,89.14537445,,106.436642,96.32932066,98.12111932,,450203
4806,Rich Hill,- - -,8,14,0,32,27,146.1,7.933940843,3.567198209,1.4145786,0.320541761,0.66734075,0.379912663,0.13372093,5.41230073,5.66,4.867796638,4.767863847,0.745836541,0.34150198,88.41339903,-2.246708922,0.14703557,83.28666031,-4.278223138,0.04387352,85.96659177,2.767044667,0.00948617,82.81960615,0.082724329,0.09565217,71.33108092,-6.417670507,0.35217391,71.88573972,-9.645190995,0.00039526,64.5134964,0.056342572,0.00988142,82.84761475,-0.406708237,,,,,,,,80.31609195,115.9196648,76.94947977,98.106,89.79392975,,85.01397849,,93.54672401,96.79120373,97.21511608,,448179
4994,Fernando Abad,COL,1,0,0,6,0,6.1,2.842105834,4.263158751,2.842105834,0.36,0.98214286,0.37037037,0.181818181,4.263158751,9.12,8.149778184,6.91612572,-0.14907673,0.16312057,93.3408097,-1.709505543,,,,0.53900709,92.19617984,1.281075109,0.13475177,78.87516062,-2.380966105,,,,0.16312057,77.1425622,0.370336153,,,,,,,,,,,,,,-20.99473684,,34.67391304,78.71315789,,78.29565217,,,57.81849315,95.84657534,88.28767123,,472551
5003,Jake Diekman,- - -,0,2,0,63,0,56.2,10.16470805,6.035295404,0.47647069,0.248175182,0.6545961,0.467625899,0.06,3.335294829,3.38,3.749158112,4.519762765,0.431977913,0.62800418,95.57261335,5.922417957,0.03761755,89.0965644,0.571453407,0.01567398,95.2902832,0.547533788,0.14315569,88.01654275,2.162727691,0.17554859,83.83014497,0.158999562,,,,,,,,,,,,,,,,,91.59657534,,163.3851468,105.5105795,138.8367166,,107.8361111,,140.3291593,93.36327312,102.8849104,,518617
5038,Josh Donaldson,NYY,0,0,0,1,0,1,0,0,0,0,1,0.333333333,0,0,10.49,3.255040359,6.561743867,0.006686195,0.72727273,85.01480865,0.699791022,,,,0.27272727,82.321462,0.053888954,,,,,,,,,,,,,,,,,,,,,,,31.3,,,,,,,,32.9,47.57272727,41.04545455,,518626
5114,Jeurys Familia,OAK,0,1,2,14,0,12.2,6.394738126,9.23684396,1.421052917,0.282051282,0.61983471,0.525,0.153846153,6.394738126,6,7.202409573,6.846638933,-0.423173755,0.2421875,94.83816627,-1.691678669,,,,0.33203125,94.40948989,-2.616187703,,,,0.296875,86.78088379,0.879034873,,,,,,,0.12890625,89.51429332,0.19072479,,,,,,,,,,71.17419355,82.14767442,98.22894737,,,102.88125,86.25039062,89.36132813,88.10976563,,544727
5273,Sandy León,TEX,0,0,0,1,0,1,0,0,9,0,0,0,0.25,18,18.02,19.25504036,12.86844738,-0.054447178,1,80.08548991,-0.947747231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506702
5343,Brandon Crawford,SFG,0,0,0,1,0,1,0,9,0,0.25,1,0.25,0,0,3.25,6.255040359,11.21509562,-1.0562E-05,0.4,85.40498352,-0.335633762,,,,0.25,85.95351563,0.035695165,0.05,72.10230255,-0.058001734,0.05,81.17279816,0.295861423,0.25,74.1619812,0.131228842,,,,,,,,,,,,,,66.4,72,77.6,,105.3,,,,73.84666667,61.24666667,63.90666667,,543063
5448,Jesse Chavez,ATL,1,0,1,36,1,34.2,10.12500158,3.115385101,0.51923085,0.272727273,0.81151832,0.516853932,0.086956521,1.557692551,3.58,3.053117251,3.400052603,0.734497756,,,,0.50774527,88.75058552,1.602394234,0.29776248,91.14899246,0.375391789,0.13769363,85.0289299,2.730002966,,,,0.05679862,75.98464503,1.097430944,,,,,,,,,,,,,,86.57081765,108.9575758,,86.91271676,,,113.5783051,,101.2281581,100.2253289,95.81053063,,445926
5524,Madison Bumgarner,ARI,0,3,0,4,4,16.2,5.400000206,8.100000309,2.160000082,0.35,0.59322034,0.375,0.153846153,10.26000039,8.96,8.055040543,7.514269258,-0.403762847,0.33142857,89.59771518,-0.793890819,0.34857143,86.31845543,-2.155934703,,,,0.12285714,84.42703034,-5.273314893,,,,0.19714286,77.25542063,-2.072930712,,,,,,,,,,,,,,77.80930233,80.04057971,68.03017241,,,,103.1483607,,83.96114286,91.30057143,83.27428571,,518516
5615,Ryan Brasier,- - -,3,0,2,59,0,59.2,8.446928004,2.865922001,0.452514,0.248407643,0.66889632,0.4375,0.053571428,3.016760002,3.55,3.137721915,4.035839829,1.131692808,0.36754967,96.00299714,-1.206400003,0.13465784,92.02198867,4.948922295,0.14348786,96.15207895,3.422199398,0.00110375,80.41359711,-0.101517998,0.35320088,85.17051392,6.650914058,,,,,,,,,,,,,,,,,,,110.9824242,109.5901515,104.41,,93.33658537,,106.145032,105.4822137,106.4073978,,518489
6107,Huascar Brazobán,MIA,5,2,0,50,0,58.2,9.971593287,4.755682952,0.767045637,0.315789474,0.74074074,0.519480519,0.111111111,4.142046442,3.58,3.936858704,4.097100144,0.501118541,0.16699605,96.68393468,1.293888584,,,,0.22134387,96.05006627,-1.368448943,0.28557312,89.32216425,5.346112296,0.32608696,87.46368963,-1.527794249,,,,,,,,,,,,,,,,,79.15524476,,100.0875706,109.4663594,,,83.71957831,,90.74718657,101.734156,98.21382034,,623211
6153,Eduardo Escobar,LAA,0,0,0,3,0,3.2,0,2.45454588,0,0.142857143,0.5,0.642857142,0,2.45454588,3.02,4.89140428,6.695061051,0.003329137,0.34090909,82.01292318,-0.267924033,,,,,,,,,,0.06818182,64.89063517,0.177044153,0.59090909,41.42176232,0.379573211,,,,,,,,,,,,,,,,29.5,,,,,,-141.462069,48.86551724,39.48275862,,500871
6398,Trevor May,OAK,4,4,21,49,0,46.2,7.714286765,5.592857905,0.771428677,0.240310078,0.74918567,0.307692307,0.06779661,3.278571875,4.58,4.712183415,5.688206837,0.104167745,0.42471042,94.86340554,-0.171643581,,,,,,,0.22393822,87.89076531,3.183678981,0.35135135,83.68350074,1.987365153,,,,,,,,,,,,,,,,,75.99768786,,94.21,,109.2591793,,,,94.71302149,97.68192162,98.3357775,,543507
6399,José Cisnero,DET,3,4,2,63,0,59.1,10.61798049,3.792135888,1.516854355,0.337579618,0.6835443,0.43902439,0.15625,5.308990243,4.64,4.603355342,4.195734648,-0.027077403,0.36815416,95.97238722,-0.042257454,0.07200811,89.77984017,-0.381703217,0.21298174,95.6640439,-3.935093984,0.09837728,88.89177271,-1.811963849,0.20081136,85.4938447,1.606520846,0.04766734,85.27694897,1.075964447,,,,,,,,,,,,,,97.59381443,,106.0953168,101.4942857,119.3539267,,106.7793388,,106.0109589,96.81888454,97.79158513,,542585
6562,Alex Cobb,SFG,7,7,0,28,28,151.1,7.790749161,2.200440603,1.129955985,0.317880795,0.76365663,0.575692963,0.182692307,3.865638896,4.73,4.00834435,3.512409855,1.815246701,0.00479233,95.06172689,-1.040512465,,,,0.3985623,94.40390938,4.425430454,,,,0.05111821,86.08348846,-4.732593607,0.16094249,83.4721813,-2.783546835,,,,0.38458466,89.41857314,1.92250035,,,,,,,,,,61.21428571,92.00251762,112.6476563,114.6824691,,78.36374871,91.02063622,101.8707586,100.495106,,502171
6632,Carlos Carrasco,NYM,3,8,0,20,20,90,6.6,3.8,1.8,0.335640138,0.65769806,0.4495114,0.197802197,6.8,6.77,5.855040359,4.926762688,-0.276450783,0.32073094,92.89281987,-12.51065838,0.00378072,89.58709717,-0.569836956,0.1020794,91.85142988,-5.558161072,0.29930687,87.44117599,0.547316998,0.1821046,84.37689906,-5.969679818,0.09199748,80.27407962,-1.711918123,,,,,,,,,,,,,,108.1846316,88.34236111,74.71269531,91.03481013,104.494152,,86.3,,92.91019387,98.28517824,95.66497811,,471911
6655,Craig Kimbrel,PHI,8,6,23,71,0,69,12.26086957,3.652173913,1.304347826,0.23943662,0.77419355,0.335526315,0.144927536,3.260869565,3.28,3.805764997,3.57505878,1.121195674,0.67201426,95.95663752,9.284705967,,,,,,,,,,0.00802139,85.63853624,-0.809126724,0.31996435,86.31876197,3.839528911,,,,,,,,,,,,,,,,124.6830239,,,126.1733696,,,125.1951786,101.7508929,114.0858929,,518886
6661,Alex Colomé,CHW,0,1,0,4,0,3,6.000001907,9.000002861,3.000000954,0.111111111,0.27777778,0.777777777,1,6.000001907,7.35,9.255042267,5.472824982,-0.17120932,0.48387097,93.88873698,-0.415062405,0.51612903,90.78019714,-0.975564424,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.53,,,,102.4125,,94.24354839,95.30322581,89.22096774,,517008
6797,Julio Teheran,MIL,3,5,0,14,11,71.2,6.27906999,1.632558197,1.632558197,0.264423077,0.73353293,0.4,0.142857142,4.395348993,4.93,4.929459024,4.670691707,0.328054063,0.07321594,89.1695773,-7.097191971,0.30305839,86.57759192,4.084031142,0.39017609,89.90493477,0.018451028,0.11862836,83.27209473,-0.845835421,0.11492122,77.35488596,2.461102467,,,,,,,,,,,,,,,,,93.96220472,82.15241935,98.6960396,90.29832536,,,79.05354839,,85.44667855,103.5019956,97.84758771,,527054
6887,Martín Maldonado,HOU,0,0,0,1,0,1,0,9,9,0.571428571,0.53571429,0.125,0.25,36,25.6,22.25504036,15.86844738,-0.087492734,0.06666667,84.31575012,-0.846550383,,,,,,,0.93333333,46.60618809,-3.046369135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455117
6893,Johnny Cueto,MIA,1,4,0,13,10,52.1,6.707006532,2.579617897,2.92356695,0.236111111,0.7300885,0.33125,0.22368421,6.019108427,5.13,7.019371661,5.19748754,-0.662395902,0.34035088,92.10072688,1.028135348,0.03391813,87.73832334,-1.806757946,0.20233918,92.1023175,3.029086024,0.19064327,84.03386066,-5.168999761,0.22923977,85.99684236,-1.951262325,0.00350877,75.82463582,-0.091829866,,,,,,,,,,,,,,72.59390244,119.6666667,86.50033784,88.82261905,87.9485,,69.26666667,,83.82785338,106.7582141,103.2949236,,456501
6895,Chase Anderson,- - -,1,6,1,19,17,86.1,6.671815065,3.440154643,1.772200877,0.290836653,0.72504708,0.36226415,0.149122807,5.42084974,4.96,5.722221972,5.345566737,0.181033038,0.2398065,93.4005046,-6.996476963,0.26399447,89.23634091,2.364076529,0.14512785,93.06874913,-8.552119531,0.22944022,84.01287327,7.134234209,0.08016586,80.75743498,1.058265407,0.0414651,77.73670349,-2.44633596,,,,,,,,,,,,,,70.84197978,75.23389831,67.35254867,69.68190476,104.085521,,107.6989374,,82.18275315,98.93192064,93.72329624,,502624
6902,Martín Pérez,TEX,10,4,0,35,20,141.2,5.908235718,3.1129414,1.334117743,0.292517007,0.74308756,0.454945054,0.129629629,4.447059143,4.86,4.991511072,4.955108605,0.360995576,0.04363473,92.07163136,4.404084966,0.21682411,89.23209669,-10.39664129,0.42959964,91.67070313,3.475827973,0.26360774,84.16683387,-4.24995539,0.00944669,83.59292021,0.374848701,0.03688709,79.03247368,2.74598565,,,,,,,,,,,,,,71.37278912,77.97560976,75.04630682,72.71440589,88.20454545,,78.71158537,,74.10676528,103.5351365,94.88198969,,527048
6984,Luis García,SDP,2,3,0,61,0,59.2,7.994414771,3.620112349,0.905028087,0.297752809,0.73200993,0.615384615,0.162162162,4.072626393,4.07,4.294146682,4.012146883,0.107536063,0.11485149,97.62750876,-0.91665693,0.01683168,95.01901425,-0.18034064,0.44158416,97.43202599,0.376290601,,,,0.34554455,81.46135723,-1.005497552,,,,,,,0.08118812,88.3661633,1.866721582,,,,,,,,,,90.46976744,110.5342282,128.8627507,,,57.22439024,109.7342885,97.45405138,101.5254941,,472610
6986,Ian Kennedy,TEX,0,1,0,16,0,16.1,11.57143082,3.857143608,2.204082062,0.292682927,0.51546392,0.333333333,0.173913043,7.1632667,4.27,5.520346923,4.664862491,-0.139841959,0.60828025,92.5237954,-1.794631459,0.03821656,84.34281921,-1.007860035,,,,,,,,,,0.01910828,80.92115275,-0.042057887,,,,0.3343949,84.72978981,0.882258147,,,,,,,,,,91.5539267,,,103.95,53.28571429,76.82666667,81.82540107,98.10106952,93.71363636,,453178
7005,Ryan Pressly,HOU,4,5,31,65,0,65.1,10.19387834,2.204081804,1.102040902,0.272189349,0.63545151,0.548022598,0.148148148,3.581632932,3.61,3.362183225,3.13689231,1.078918457,0.24535679,94.66217163,0.76216704,,,,0.00195503,93.8160553,0.25239639,0.08993157,89.89818274,-1.743911836,0.39687195,89.81624269,8.686057217,0.26588465,82.09401568,0.574209839,,,,,,,,,,,,,,135.5604396,155.90625,126.1113924,122.8,178.7341463,,,,155.5633528,102.1212476,117.1101365,,519151
7048,Fernando Cruz,CIN,1,2,0,58,2,66,13.3636381,3.818182315,0.818181925,0.317241379,0.58423913,0.315436241,0.081081081,4.909091548,3.45,2.83079788,3.502737813,1.636103988,0.35294118,94.38944807,-0.444013216,,,,0.0026738,93.11333211,0.026583977,,,,0.2771836,87.45999862,-3.194523454,,,,,,,0.36363636,81.47892791,11.38428058,,,,,,,0.00356506,,,95.04695431,109.64,94.628,,87.19479554,94.22512438,92.52713904,93.52663399,98.17566845,,518585
7115,Daniel Bard,COL,4,2,1,50,0,49.1,8.574325871,8.939190802,0.912162327,0.243902439,0.72941176,0.3671875,0.086206896,4.560811634,6.08,6.133419257,6.759657243,-0.527460515,0.10932476,94.70206227,-2.263467245,0.00750268,90.59014021,-0.715353113,0.40192926,95.04019792,3.018686932,0.00214362,88.63565063,-0.113291603,0.47909968,86.95614863,-5.03888664,,,,,,,,,,,,,,,,,98,116.4290323,63.1864,78.1,112.4100962,,,,92.62988134,87.73128371,87.58597627,,453268
7146,Daniel Hudson,LAD,0,0,1,3,0,3,15,9,0,0.333333333,1,0.5,0,0,2.25,2.921707026,4.57505878,0.049154274,0.453125,95.52943999,1.122108299,,,,0.03125,95.74150085,-0.126573533,0.015625,88.74900055,-0.026945714,0.5,88.14372253,-0.847425703,,,,,,,,,,,,,,,,,70.3,,119.0275862,65,99.48125,,,,106.8046875,94.3625,96.4375,,543339
7432,Jay Jackson,TOR,3,1,0,25,0,29.2,8.191012465,2.730337488,1.213483328,0.186666667,0.89285714,0.435897435,0.121212121,2.123595824,3.4,4.198860726,4.285173364,0.117765486,0.38169643,93.30055281,-1.481498446,,,,0.02008929,92.51545546,0.197382551,0.00223214,87.77429962,-0.019056335,0.59598214,84.72715502,9.012760598,,,,,,,,,,,,,,,,,,,89.47125749,89.23333333,107.5746269,,,,100.2081448,101.35181,97.8581448,,543351
7531,Collin McHugh,ATL,4,1,0,41,1,58.2,7.210228289,3.375000475,0.767045563,0.342105263,0.69662921,0.439153439,0.086206896,4.295455151,5.23,4.09026775,4.616876944,0.313471179,0.04223969,91.33311569,-0.122531597,0.45481336,89.04408663,1.291098751,,,,0.00392927,84.66500092,-0.120543163,0.47937132,79.94431167,-3.473488636,0.01866405,73.68024003,-0.277781256,0.00098232,63.19169998,-0.038701233,,,,,,,,,,,56.925,85.44210526,81.6625,,125.7848361,,99.90901288,,111.2572756,99.6517136,100.4030004,,543521
7593,Jordan Lyles,KCR,6,17,0,31,31,177.2,6.078799598,2.279549849,1.975609869,0.25464684,0.56264501,0.335087719,0.140794223,6.281426251,4.93,5.619017981,5.343099217,0.224726573,0.30493433,91.38578653,9.869863849,0.07774228,86.83179937,-3.218807217,0.13205538,90.60236055,-0.03559573,0.10827121,85.56018827,-5.012014609,0.24494143,80.27348279,-8.2629974,0.13170039,79.63012761,-5.613187786,,,,,,,,,,,,,0.00035499,73.23355049,95.19702703,75.21753775,76.07940379,98.73211268,,95.57302326,,85.168598,101.0792203,96.83136624,,543475
7608,Tommy Milone,SEA,0,1,0,2,2,9,3.000000318,6.000000636,1.000000106,0.2,0.86206897,0.322580645,0.066666666,2.000000212,5.52,6.032818432,7.343960383,-0.061814036,0.36809816,86.64468587,0.103983995,0.00613497,86.22470093,-0.515075564,,,,0.43558282,78.86528939,0.04993619,0.19018405,76.68789378,0.965677071,,,,,,,,,,,,,,,,,78.12957746,,97.43934426,,82.52903226,,,,86.19263804,109.2337423,104.3723926,,543548
7802,Miguel Rojas,LAD,0,0,0,3,0,3,0,3,0,0.25,0.6,0.5,0,6,3.11,5.255040359,8.010626616,-0.01228412,0.2972973,70.04592618,-0.255068734,,,,,,,0.7027027,46.15870549,-0.193867046,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.33333333,54.75,53.36666667,,500743
7803,Richard Bleier,BOS,1,0,0,27,0,30.2,4.695652855,1.467391517,1.467391517,0.310679612,0.65789474,0.552380952,0.178571428,5.282609462,4.7,5.113736281,4.503753012,-0.11710155,0.03478261,89.18276978,-3.202045452,0.38478261,86.24474753,2.430768374,0.41956522,88.19539346,3.384855509,0.00217391,79.85369873,-0.571418166,0.10217391,77.48335688,-0.853211746,,,,,,,0.04782609,78.72879861,-2.212665897,,,,,,,0.00869565,,,81.50588235,90.00876289,86.68297872,,109.9455056,-121.6125,85.2867679,106.0060738,100.4861171,,542947
7982,Anthony Bass,TOR,0,0,0,22,0,20,8.550001631,4.050000772,1.350000257,0.280701754,0.67226891,0.383333333,0.130434782,4.950000944,5.23,4.655040627,4.606395134,-0.015376644,0.08641975,94.60577393,-2.170699678,,,,0.28703704,94.73712618,-2.627974179,,,,0.55864198,85.62378604,3.431990206,,,,,,,0.06790123,87.05265669,0.314134773,,,,,,,,,,81.57692308,101.0484211,112.418232,,,93.4,105.3182099,99.55925926,101.104321,,542914
8048,Will Smith,TEX,2,7,22,60,0,57.1,8.633722845,2.668605243,0.784883895,0.261744966,0.55555556,0.296052631,0.069444444,4.395349812,3.35,3.359691545,4.302273027,1.088053107,0.38979118,92.36332775,-1.084705796,,,,,,,0.02784223,86.60450236,-0.493480977,0.49187935,81.08755896,13.5636541,0.08584687,77.13894241,0.1306649,,,,,,,,,,,,,0.00464037,97.188,67.41142857,67.09553571,,103.1155093,,,,85.98553241,103.8444444,98.671875,,519293
8110,Bryan Shaw,CHW,0,0,4,38,0,45.2,7.883213435,3.35036571,0.591241008,0.290322581,0.70934256,0.401574803,0.057692307,4.138687053,3.85,3.868179182,4.896813525,0.382261157,,,,0.5045045,94.02262038,3.532641251,0.12483912,94.14860865,2.14013778,0.02702703,83.49424526,0.346329674,0.2007722,83.69877429,0.038068596,0.13899614,81.93663194,1.41930671,,,,,,,,,,,,,0.003861,65.47619048,98.31851852,,86.1814433,108.777707,,113.234949,,105.2145995,98.34056848,97.95697674,,543766
