playerid,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO,MLBAMID
18454,Trevor Kelley,TBR,0,1,0,10,3,15.1,6.456522275,3.521739422,2.347826282,0.260869565,0.76086957,0.34,0.16,5.869565704,5.34,6.776779782,6.081157584,-0.271630764,0.05882353,89.79272079,0.119659729,0.07352941,81.89689178,-1.153897699,0.47058824,89.30296707,1.161948293,0.01102941,79.54087067,-1.476774313,0.38602941,75.96177223,-1.42498076,,,,,,,,,,,,,,,,,34.23333333,,,100.9423611,107.3868468,,,,110.8561963,99.33279578,99.9015399,,665001
18498,Kenta Maeda,MIN,6,8,0,21,20,104.1,10.09265179,2.415335471,1.466453679,0.292775665,0.74110672,0.326086956,0.129770992,4.226837074,3.74,4.021813525,3.979536334,1.604391124,0.27310182,90.99493987,1.472566761,0.00117716,82.45614624,-0.101517998,0.06533255,90.29706085,-0.811264127,,,,0.30488523,81.62919776,-0.217553873,0.03649205,76.43087892,-1.486445159,,,,0.31901118,84.11304927,8.666439041,,,,,,,,,93.76774194,75.722103,73.44036697,105.4838462,,,138.3020295,105.3057918,102.9417118,102.0919694,,628317
18519,Phil Bickford,- - -,5,5,1,61,0,67.1,10.15841747,5.212872124,1.069307102,0.288135593,0.67180617,0.279329608,0.091954022,4.945545348,4.8,4.45801085,5.049717914,0.204653747,0.7103336,93.8707246,11.11811905,,,,,,,,,,0.26932465,84.04887238,-11.42032348,,,,,,,0.02034174,87.62339844,0.222757094,,,,,,,,116.888,,116.1390607,,99.33081571,,,,111.5216095,99.67522841,100.7921653,,641360
18525,Dylan Cease,CHW,7,9,0,33,33,177,10.88135593,4.016949153,0.966101695,0.330453564,0.6940874,0.359832635,0.101604278,4.576271186,4.13,3.723966913,4.075248145,3.617414951,0.43163703,95.77544611,-1.755466603,,,,,,,,,,0.38657265,86.44466197,5.041160323,0.15144083,80.44329612,-9.119478058,,,,0.03034948,74.78204901,0.988486446,,,,,,,,60.39090909,,124.6986506,,119.9953968,82.61010101,,,114.556319,96.73260736,103.6272393,,656302
18548,Sam Hentges,CLE,3,2,0,56,0,52.1,9.630574886,3.095541928,0.343949103,0.346938776,0.68914956,0.587837837,0.074074074,3.611465582,4.13,2.643575287,2.999763196,1.077394962,0.34976526,95.72977401,3.684778214,,,,0.1443662,95.35502414,0.581520431,,,,0.14553991,87.8168079,1.410998579,0.36032864,80.01816343,1.773793627,,,,,,,,,,,,,,,114.5114007,77.4771987,97.94070796,92.9184,,,,95.17652582,98.78532864,98.18450704,,656529
18554,Enmanuel De Jesus,MIA,0,0,0,2,0,6.1,7.105263515,5.684210812,0,0.409090909,0.5,0.409090909,0,11.36842162,7.35,4.991882552,6.297160318,0.001885428,0.27941176,93.61279297,-1.390816953,,,,0.21323529,94.00617928,-0.169434477,0.28676471,86.74927384,0.717766937,0.22058824,79.88597005,-1.395887297,,,,,,,,,,,,,,,,,86.25897436,,81.41162791,77.9,91.25,,,,84.68602941,94.81617647,87.05661765,,646241
18592,Hector Perez,TBR,0,0,0,1,0,0.1,0,27.00002816,0,0.75,0.75,0.75,0,27.00002816,10.94,12.25504975,12.25504975,-0.018476294,0.35294118,94.80121867,-0.66520869,,,,,,,,,,0.58823529,86.45059204,-0.695492782,,,,,,,0.05882353,83.79489899,-0.046043728,,,,,,,,,,96.5,,103.4,,,82.1,99.71176471,69.12352941,73.25294118,,660431
18615,Hobie Harris,WSN,0,0,0,16,0,19.1,4.189655448,6.051724536,0.931034544,0.287878788,0.71428571,0.367647058,0.066666666,5.120689992,7.68,5.841247426,7.061965745,-0.140082225,0.34571429,94.39992252,-2.654380176,0.15428571,88.32800745,2.679644726,,,,,,,,,,,,,,,,0.5,84.93342634,-2.010367125,,,,,,,,,,70.94132231,,,,97.4537037,123.2805714,99.89486081,95.4620985,97.77194861,,665048
18655,A.J. Minter,ATL,3,6,10,70,0,64.2,11.41237293,2.922680872,0.835051678,0.331125828,0.71428571,0.35064935,0.09090909,3.75773255,3.3,2.8993702,3.38062619,1.425829887,0.47169811,96.00163281,4.624304116,0.38867925,89.62362523,2.618694186,,,,0.13962264,86.80947793,2.160159037,,,,,,,,,,,,,,,,,,,,96.80540541,,121.6356,,,,112.4220874,,114.7392755,103.0176358,104.5821735,,621345
18674,Jake Woodford,STL,2,3,0,15,8,47.2,5.475525096,4.153846625,2.076923312,0.318471338,0.73654391,0.511904761,0.229166666,6.230769937,7.04,6.611684097,5.2765976,-0.596919804,0.06160616,92.74677168,-6.845903732,0.05610561,90.21653598,-1.338144109,0.50935094,92.11912797,-2.704231758,0.03960396,86.19113329,0.03513727,0.23212321,81.84459234,-2.09163614,0.10121012,76.33682384,-3.319736376,,,,,,,,,,,,,,61.08783784,88.45434783,81.65612903,87.33888432,104.4581398,,94.07647059,,89.56313822,99.20551629,96.43158221,,663765
