playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2023 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
10233,Aroldis Chapman,RP,L,L,TEX,36,13.009,1.750276804,,1,7500000,7500000,,PIT,1,10500000,10500000
14212,Josh Hader,RP,L,L,SDP,30,6.115,1.731595635,,4,72000000,18000000,20325000,HOU,5,95000000,19000000
13942,Brent Suter,RP,L,L,COL,34,6.161,1.307516813,,1,4650000,4650000,,CIN,1,3000000,3000000
8241,David Robertson,RP,R,R,MIA,39,14.119,1.207871914,,1,8000000,8000000,,TEX,1,11500000,10533289
13394,Dylan Floro,RP,L,R,MIN,33,6.053,1.182901382,,,0,,,WSN,1,2250000,2250000
14771,Emilio Pagán,RP,L,R,MIN,33,6.091,1.178116322,,1,5000000,5000000,,CIN,2,16000000,8000000
5615,Ryan Brasier,RP,R,R,LAD,36,6.094,1.131692767,,,0,,,LAD,2,9000000,4500000
13761,Chris Stratton,RP,R,R,TEX,33,6.1,1.125468969,,,0,,,KCR,2,8000000,4000000
6655,Craig Kimbrel,RP,R,R,PHI,36,12.161,1.121195674,,1,10000000,10000000,,BAL,1,13000000,13000000
8048,Will Smith,RP,R,L,TEX,34,10.155,1.088053107,,1,4000000,4000000,,KCR,1,5000000,5000000
15046,Trevor Gott,RP,R,R,NYM,31,5.057,0.994601965,,,0,,,OAK,1,1500000,1500000
13594,Robert Stephenson,RP,R,R,TBR,31,6.049,0.959683537,,2,10000000,5000000,,LAA,3,33000000,11000000
11804,Héctor Neris,RP,R,R,HOU,35,8.068,0.857600689,,2,16000000,8000000,,CHC,1,9000000,9000000
11804,Héctor Neris,RP,R,R,HOU,35,8.068,0.857600689,,2,16000000,8000000,,HOU,1,147204,147204
9761,Joe Kelly,RP,R,R,LAD,36,11.029,0.847238302,,1,7000000,7000000,,LAD,1,8000000,8000000
16400,Reynaldo López,RP,R,R,CLE,30,6.004,0.764826417,,2,12000000,6000000,,ATL,3,30000000,10000000
5448,Jesse Chavez,RP,R,R,ATL,40,13.038,0.734497726,,,0,,,ATL,1,740000,740000
10591,Scott Alexander,RP,L,L,SFG,34,6.08,0.68429631,,,0,,,OAK,1,2250000,2250000
13435,Pierce Johnson,RP,R,R,ATL,33,4.137,0.666490793,,,0,,,ATL,2,14250000,7125000
1890,Matt Moore,RP,L,L,MIA,35,11,0.646787286,,1,7000000,7000000,,LAA,1,9000000,9000000
14814,Buck Farmer,RP,L,R,CIN,33,6.14,0.61723119,,,0,,,CIN,1,2250000,2250000
