playerid,Name_x,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch,MLBAMID,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2023 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
2136,David Peralta,LAD,133,422,102,69,25,1,7,47,55,4,0.047393364,0.170616113,0.121827411,0.295950155,0.258883248,0.274,0.290405621,0.309,0.380710659,0.4,0.293838862,81.92842851,-12.56246187,-3.98021692,3.974025411,-3.114745892,-0.219828343,0.277777777,0.04878049,0.43902439,0.34979424,0.72284644,0.54509804,0.60392157,0.87564767,0.79256595,0.40853659,0.33841463,0.25304878,89.3247939,8.150218379,111.529,0.217125382,0.483180428,0.299694189,0.915722774,444482,David Peralta,LF/RF,L,L,LAD,36,9.12,-0.219828457,,,0,,,CHC,1.0,0.0,
2136,David Peralta,LAD,133,422,102,69,25,1,7,47,55,4,0.047393364,0.170616113,0.121827411,0.295950155,0.258883248,0.274,0.290405621,0.309,0.380710659,0.4,0.293838862,81.92842851,-12.56246187,-3.98021692,3.974025411,-3.114745892,-0.219828343,0.277777777,0.04878049,0.43902439,0.34979424,0.72284644,0.54509804,0.60392157,0.87564767,0.79256595,0.40853659,0.33841463,0.25304878,89.3247939,8.150218379,111.529,0.217125382,0.483180428,0.299694189,0.915722774,444482,David Peralta,LF/RF,L,L,LAD,36,9.12,-0.219828457,,,0,,,SDP,1.0,800000.0,800000.0
5933,Jean Segura,MIA,85,326,66,56,5,2,3,25,21,6,0.067484662,0.144171779,0.059800665,0.250996015,0.219269102,0.239,0.249558131,0.281,0.279069767,0.34,0.276923076,50.20113379,-21.67148205,-2.197857738,4.368557395,-1.559470347,-1.275679558,0.468085106,0.03529412,0.38823529,0.37248841,0.64607679,0.50401284,0.69709544,0.89405685,0.81847134,0.34117647,0.4,0.25882353,88.03031693,2.876190793,113.995,0.151394422,0.58565737,0.262948207,0.750157474,516416,Jean Segura,2B/3B,R,R,MIA,34,11.018,-1.275679708,,,0,,,,,,
9847,Andrew McCutchen,PIT,112,473,100,69,19,0,12,55,43,11,0.158562367,0.21141649,0.141025641,0.312056737,0.256410256,0.257,0.345289142,0.353,0.397435897,0.409,0.378435517,114.4131299,6.873760443,-10.01053101,3.561065717,-1.57198326,1.289766993,0.75,0.06802721,0.44557823,0.1743215,0.63619048,0.41583665,0.45508982,0.82035928,0.74730539,0.51360544,0.28911565,0.19727891,89.58854389,12.34394831,109.8,0.217687074,0.425170068,0.357142857,0.742379643,457705,Andrew McCutchen,DH/LF/RF,R,R,PIT,37,14.123,1.289766908,,,0,,,PIT,1.0,5000000.0,5000000.0
14111,Eric Haase,- - -,89,293,55,42,8,1,4,22,26,4,0.058020477,0.276450511,0.08029197,0.268421052,0.200729927,0.217,0.232770857,0.253,0.281021897,0.309,0.246575342,43.28624895,-20.38956955,-0.157663478,4.064986714,-0.478775914,-1.045277669,0.209876543,0.04615385,0.35897436,0.37265918,0.69349315,0.54025045,0.49748744,0.79506173,0.69701987,0.43589744,0.33333333,0.23076923,87.08512076,13.42849716,109.913,0.206185567,0.422680412,0.37113402,0.717927576,606992,Eric Haase,C,R,R,CLE,31,3.058,-1.0453403,,,0,,,MIL,1.0,516129.0,516129.0
11281,Whit Merrifield,TOR,145,592,149,111,27,0,11,66,67,26,0.06081081,0.170608108,0.109689214,0.31292517,0.272394881,0.242,0.304113359,0.276,0.382084095,0.335,0.317567567,92.88806141,-3.765124663,-3.558499813,4.492740431,1.279655935,1.297540996,0.356435643,0.02433628,0.24115044,0.31548757,0.68457539,0.50909091,0.69393939,0.87594937,0.82232143,0.34292035,0.37831858,0.27876106,85.05180328,14.3905124,106.141,0.22172949,0.403547671,0.374722838,0.677227037,593160,Whit Merrifield,2B/LF/RF,R,R,TOR,35,7.101,1.297540903,,2.0,16000000,8000000.0,,PHI,1.0,8000000.0,8000000.0
11281,Whit Merrifield,TOR,145,592,149,111,27,0,11,66,67,26,0.06081081,0.170608108,0.109689214,0.31292517,0.272394881,0.242,0.304113359,0.276,0.382084095,0.335,0.317567567,92.88806141,-3.765124663,-3.558499813,4.492740431,1.279655935,1.297540996,0.356435643,0.02433628,0.24115044,0.31548757,0.68457539,0.50909091,0.69393939,0.87594937,0.82232143,0.34292035,0.37831858,0.27876106,85.05180328,14.3905124,106.141,0.22172949,0.403547671,0.374722838,0.677227037,593160,Whit Merrifield,2B/LF/RF,R,R,TOR,35,7.101,1.297540903,,2.0,16000000,8000000.0,,ATL,1.0,278495.0,278495.0
2396,Carlos Santana,- - -,146,619,132,75,33,1,23,78,86,6,0.105008077,0.168012924,0.189090909,0.25526932,0.24,0.24,0.323313638,0.308,0.429090909,0.378,0.31825525,100.4940579,0.936964482,-7.261810899,4.02936089,0.558097346,1.466518502,0.625,0.06666667,0.36222222,0.23840521,0.66612642,0.45269996,0.63139932,0.85279805,0.79461883,0.49333333,0.30888889,0.19777778,88.77372895,12.8119481,111.656,0.182222222,0.437777777,0.38,0.673797646,467793,Carlos Santana,1B/DH,S,R,MIL,38,13.115,1.466523051,,1.0,7000000,7000000.0,,MIN,1.0,5250000.0,5250000.0
17321,Michael Chavis,WSN,48,96,22,17,3,0,2,16,5,1,0.052083333,0.34375,0.098901099,0.357142857,0.241758241,0.234,0.273146985,0.255,0.34065934,0.298,0.28125,69.01667325,-3.569779467,1.580578327,4.751997164,0.115052923,0.126896715,0.151515151,0.01724138,0.31034483,0.36021505,0.70103093,0.53421053,0.47761194,0.78676471,0.68472906,0.44827586,0.25862069,0.29310345,84.45973363,8.874479097,107.255,0.275862068,0.517241379,0.206896551,0.663579276,656308,Michael Chavis,1B/3B/2B,R,R,WSN,28,4.089,0.126896709,,,0,,,SEA,1.0,0.0,
16512,Isiah Kiner-Falefa,NYY,115,361,79,60,12,1,6,39,37,14,0.077562326,0.193905817,0.098159509,0.288537549,0.242331288,0.254,0.286483511,0.295,0.340490797,0.348,0.305555555,79.32134433,-8.926719551,1.694696903,5.231117825,0.0179043,0.515408786,0.4,0.03076923,0.38846154,0.27534039,0.59016393,0.44704264,0.62637363,0.89529915,0.82,0.35,0.39230769,0.25769231,88.79296112,7.185324669,109.568,0.247058823,0.494117647,0.258823529,0.651927663,643396,Isiah Kiner-Falefa,SS/3B/LF/CF,R,R,NYY,29,6.0,0.515408814,,,0,,,TOR,2.0,15000000.0,7500000.0
15279,Garrett Cooper,- - -,123,457,106,70,18,1,17,42,61,0,0.067833698,0.288840262,0.168246445,0.323636363,0.251184834,0.252,0.312535582,0.318,0.419431279,0.43,0.304157549,94.26327719,-5.773157724,-5.622846663,1.319940471,-2.525288577,0.411967682,0.234848484,0.10273973,0.4109589,0.40210526,0.65668203,0.52365237,0.53664921,0.83859649,0.71743697,0.37328767,0.3869863,0.23972603,89.03808594,13.26007247,110.863,0.239726027,0.434931506,0.325342465,0.597984801,643265,Garrett Cooper,1B/DH,R,R,SDP,33,6.053,0.411967933,,,0,,,CHC,1.0,733871.0,733871.0
13853,Joey Wendle,MIA,112,318,63,42,16,3,2,33,20,7,0.040880503,0.210691823,0.094276094,0.264069264,0.212121212,0.233,0.241842093,0.263,0.306397306,0.326,0.247619047,45.02842369,-19.91817689,1.033500433,6.773137943,1.738098646,-0.805725956,0.19402985,0.03389831,0.3940678,0.34974533,0.59390863,0.4720339,0.60194175,0.87179487,0.77199282,0.30932203,0.40254237,0.28813559,89.15688413,3.841393145,106.462,0.19047619,0.545454545,0.264069264,0.521779538,621563,Joey Wendle,3B/2B/SS,L,R,MIA,34,6.088,-0.805725932,,,0,,,NYM,1.0,2000000.0,2000000.0
13853,Joey Wendle,MIA,112,318,63,42,16,3,2,33,20,7,0.040880503,0.210691823,0.094276094,0.264069264,0.212121212,0.233,0.241842093,0.263,0.306397306,0.326,0.247619047,45.02842369,-19.91817689,1.033500433,6.773137943,1.738098646,-0.805725956,0.19402985,0.03389831,0.3940678,0.34974533,0.59390863,0.4720339,0.60194175,0.87179487,0.77199282,0.30932203,0.40254237,0.28813559,89.15688413,3.841393145,106.462,0.19047619,0.545454545,0.264069264,0.521779538,621563,Joey Wendle,3B/2B/SS,L,R,MIA,34,6.088,-0.805725932,,,0,,,ATL,1.0,19892.0,19892.0
14735,Brett Phillips,LAA,40,71,11,7,1,0,3,9,6,3,0.112676056,0.507042253,0.158730159,0.333333333,0.174603174,0.149,0.267620107,0.236,0.333333333,0.271,0.267605633,64.49050356,-2.325232827,-1.401472025,5.037311524,0.695660853,-0.12841457,0.222222222,0.07407407,0.2962963,0.22764228,0.64,0.46979866,0.17857143,0.6875,0.58571429,0.44444444,0.25925926,0.2962963,86.68133075,18.19513174,105.678,0.192307692,0.384615384,0.423076923,0.519614254,621433,Brett Phillips,CF/RF/LF,L,R,LAA,30,4.06,-0.128414586,,,0,,,CHW,1.0,0.0,
19508,Kyle Lewis,ARI,16,54,8,5,2,0,1,2,2,0,0.055555555,0.388888888,0.098039215,0.24137931,0.156862745,0.182,0.203555757,0.22,0.25490196,0.265,0.203703703,20.35448184,-5.392519903,-1.191200271,0.14285714,-0.064405273,-0.473556256,0.142857142,0.06666667,0.26666667,0.29661017,0.65217391,0.472103,0.48571429,0.74666667,0.66363636,0.46666667,0.26666667,0.26666667,89.12451986,23.58148804,102.891,0.166666666,0.333333333,0.5,0.470703949,641786,Kyle Lewis,LF/RF,R,R,ARI,28,3.067,-0.47355625,,,0,,,,,,
10950,Adam Duvall,BOS,92,353,79,32,24,2,21,45,58,4,0.062322946,0.31161473,0.284375,0.298969072,0.246875,0.21,0.347401128,0.304,0.53125,0.436,0.303116147,115.7863553,7.496751823,-4.953449368,5.272625364,0.819632209,1.462776615,0.2,0.13023256,0.39069767,0.34431138,0.62125749,0.48278443,0.55217391,0.80722892,0.71627907,0.58604651,0.26046512,0.15348837,88.75296619,28.92796254,110.032,0.227906976,0.204651162,0.56744186,0.458583573,594807,Adam Duvall,CF/LF/RF,R,R,BOS,35,7.151,1.462776661,,1.0,8000000,8000000.0,,ATL,1.0,3000000.0,3000000.0
18030,Harrison Bader,- - -,98,344,74,53,12,2,7,44,40,20,0.049418604,0.171511627,0.115987461,0.260700389,0.231974921,0.234,0.27077067,0.288,0.347962382,0.375,0.274052478,67.82164759,-9.823574163,7.554142207,7.19539705,3.55821482,0.950765166,0.288135593,0.05283019,0.31320755,0.3578125,0.62040134,0.48465267,0.58515284,0.88140162,0.76833333,0.42641509,0.33962264,0.23396226,85.91190064,17.81030553,110.236,0.16730038,0.365019011,0.467680608,0.44650997,664056,Harrison Bader,CF,R,R,CIN,30,6.03,0.95013386,,2.0,18000000,9000000.0,,NYM,1.0,10500000.0,10500000.0
14894,Tony Kemp,OAK,124,419,75,54,13,3,5,42,27,15,0.105011933,0.095465393,0.09470752,0.220820189,0.208913649,0.241,0.27555511,0.297,0.303621169,0.321,0.303398058,75.70190602,-12.16046731,-2.53435421,5.804169829,0.038380373,-0.030089897,1.1,0.01215805,0.2006079,0.23845007,0.63209877,0.45374747,0.7375,0.91796875,0.875,0.47720365,0.37082067,0.15197568,86.73955829,9.976221329,102.977,0.182108626,0.476038338,0.341853035,0.435915925,643393,Tony Kemp,2B/LF,L,R,OAK,32,6.098,-0.030089945,,,0,,,BAL,1.0,91398.0,91398.0
10762,Corey Dickerson,WSN,50,152,36,26,7,1,2,12,17,0,0.046052631,0.184210526,0.104166666,0.295652173,0.25,0.256,0.276978015,0.288,0.354166666,0.372,0.282894736,71.58493488,-7.648422719,-3.379324555,2.771096155,-2.297721492,-0.58467251,0.25,0.03418803,0.27350427,0.50196078,0.69415808,0.6043956,0.65625,0.87128713,0.78787879,0.33333333,0.4017094,0.26495726,88.05345838,9.359419863,109.629,0.188034188,0.461538461,0.35042735,0.429344886,572816,Corey Dickerson,LF/RF,L,R,WSN,35,10.055,-0.584672451,,,0,,,,,,
10472,Enrique Hernández,- - -,140,508,110,76,23,0,11,57,61,4,0.066929133,0.190944881,0.120430108,0.272727272,0.236559139,0.224,0.281789269,0.272,0.356989247,0.337,0.289370078,72.2377064,-17.9156653,-10.60807923,3.29076372,-0.983071788,-1.111120319,0.350515463,0.04545455,0.3342246,0.28095734,0.64606181,0.46741344,0.56296296,0.87037037,0.77995643,0.36631016,0.37433155,0.25935829,87.84955976,17.04409806,109.243,0.189839572,0.37433155,0.435828877,0.425504706,571771,Enrique Hernández,2B/SS/3B/OF,R,R,LAD,32,9.054,-1.11350739,,,0,,,LAD,1.0,4000000.0,4000000.0
12510,Curt Casali,CIN,40,96,14,12,2,0,0,8,6,0,0.114583333,0.239583333,0.025,0.245614035,0.175,0.207,0.238547333,0.281,0.2,0.287,0.29032258,38.94632728,-7.609849472,1.676983595,1.51785714,-0.348765065,-0.26635568,0.478260869,0.01666667,0.26666667,0.20467836,0.675,0.45822102,0.42857143,0.85925926,0.77058824,0.43333333,0.3,0.26666667,85.08155154,20.96403851,102.116,0.175438596,0.403508771,0.421052631,0.414673823,592200,Curt Casali,C,R,R,CIN,35,7.151,-0.266355693,,,0,,,MIA,1.0,0.0,
