playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,BB/K,ISO,BABIP,OBP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,wRC+,WAR,Off,Def,Spd,BsR,Barrel%,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Pull%,Cent%,Oppo%,LD%,GB%,FB%,EV,maxEV,LA,Clutch
10243,Randal Grichuk,LF/RF/CF,R,R,ARI,33,10,106,279,74,40,20,2,12,40,46,0,7.20%,16.50%,43.50%,0.236,0.313,0.348,0.291,0.278,0.373,0.359,0.528,0.483,139.1,1.5,13.6,-8,2.9,0.6,11.00%,47.60%,28.30%,65.60%,47.40%,58.80%,92.20%,82.50%,45.20%,36.70%,18.10%,18.10%,36.70%,45.20%,90.7,112.3,17,1
15674,Reese McGuire,C,L,R,BOS,30,4.2,53,158,29,23,3,0,3,10,18,3,8.20%,24.70%,33.30%,0.086,0.26,0.28,0.209,0.222,0.259,0.282,0.295,0.341,59.9,0.2,-7.5,3.8,3.4,-0.3,6.70%,26.90%,32.20%,59.20%,45.00%,57.30%,89.50%,77.40%,38.50%,36.50%,25.00%,18.00%,43.00%,39.00%,84,105.8,12.4,-0.1
5254,Robbie Grossman,RF/LF,S,L,KCR,35,10.1,87,245,44,33,8,0,3,21,16,3,13.90%,23.70%,58.60%,0.082,0.275,0.322,0.212,0.214,0.283,0.292,0.293,0.298,82.3,-0.6,-5.1,-8.5,3.2,-0.2,3.30%,27.60%,15.20%,55.60%,36.30%,58.70%,85.30%,79.90%,48.00%,30.90%,21.10%,23.70%,43.40%,32.90%,86.3,107,13.3,-0.9
15679,Rowdy Tellez,1B,L,L,PIT,30,6,132,421,93,62,18,0,13,38,56,1,7.40%,21.10%,34.80%,0.149,0.28,0.299,0.243,0.237,0.301,0.302,0.392,0.394,89.6,-0.5,-7.6,-11,1.8,-2.3,8.00%,36.50%,28.40%,56.70%,43.20%,54.00%,90.50%,79.00%,40.50%,31.80%,27.80%,19.40%,37.50%,43.10%,89.4,115.5,17,0.5
13066,Teoscar Hernández,RF/LF,R,R,LAD,32,7.1,154,652,160,93,32,2,33,84,99,12,8.10%,28.80%,28.20%,0.229,0.344,0.339,0.272,0.25,0.36,0.346,0.501,0.486,133.6,3.5,26.8,-14.8,4.4,0.6,14.90%,46.70%,29.20%,72.10%,51.20%,42.20%,78.70%,68.50%,36.10%,36.10%,27.90%,16.90%,46.50%,36.60%,90.6,114.1,10.3,0.2
16426,Thairo Estrada,2B,R,R,SFG,29,4.2,96,381,79,53,15,2,9,43,47,2,2.60%,19.90%,13.20%,0.126,0.249,0.247,0.217,0.226,0.256,0.263,0.343,0.338,64.2,0.4,-16.2,7.2,4.2,0.1,4.80%,31.70%,36.30%,65.70%,51.30%,58.80%,92.00%,80.50%,46.90%,31.70%,21.40%,18.80%,47.20%,34.00%,86.2,108.6,10.5,0.6
15172,Tim Anderson,SS/2B,R,R,MIA,32,8,65,241,50,47,3,0,0,16,9,4,2.90%,28.20%,10.30%,0.013,0.301,0.237,0.214,0.215,0.208,0.23,0.226,0.283,26.8,-1.4,-22.5,0.5,2.9,-1.4,1.80%,30.10%,38.10%,69.90%,54.60%,53.80%,79.60%,70.90%,41.80%,29.70%,28.50%,22.40%,62.40%,15.20%,86.1,108.9,1.4,-0.3
13755,Tomás Nido,C,R,R,CHC,31,5.1,49,140,25,17,4,0,4,14,12,0,3.60%,25.00%,14.30%,0.123,0.226,0.219,0.192,0.217,0.231,0.282,0.315,0.41,48.4,0.1,-9.3,6,1.9,-0.6,12.00%,44.00%,39.70%,78.40%,60.30%,48.90%,76.30%,67.90%,39.00%,31.00%,30.00%,16.70%,41.70%,41.70%,89.8,108.4,14.1,-0.3
2967,Tommy Pham,LF/RF/DH,R,R,KCR,37,9.1,116,478,109,77,20,3,9,49,39,7,7.30%,22.20%,33.00%,0.12,0.307,0.305,0.248,0.263,0.297,0.319,0.368,0.407,90.9,-0.1,-8.2,-8.5,4.6,-3.1,7.20%,42.70%,18.20%,59.00%,40.50%,48.10%,86.50%,78.70%,37.00%,34.30%,28.70%,22.10%,44.20%,33.70%,90.4,112.9,11.1,0.4
7739,Travis d'Arnaud,C,R,R,ATL,36,11,99,341,73,42,16,0,15,40,48,1,7.00%,26.10%,27.00%,0.199,0.28,0.302,0.238,0.236,0.319,0.322,0.436,0.434,103,1.8,0,6.4,2.4,-1.2,10.40%,41.00%,27.00%,72.90%,50.80%,50.30%,77.30%,70.40%,38.30%,32.40%,29.30%,18.00%,46.40%,35.60%,89.9,109.8,11.6,0
13768,Travis Jankowski,RF/LF/CF,L,R,TEX,34,7.2,104,207,38,32,5,0,1,19,12,11,5.80%,21.30%,27.30%,0.042,0.255,0.266,0.2,0.207,0.234,0.241,0.242,0.252,48.3,-0.3,-10.5,0.7,5.7,1.8,0.70%,24.70%,19.90%,63.80%,44.40%,55.60%,86.60%,80.50%,32.90%,34.20%,32.90%,11.90%,60.80%,27.30%,85.4,105.1,5.9,0.5
10200,Tucker Barnhart,C,L,R,ARI,34,9.1,31,96,14,11,3,0,0,13,6,1,13.50%,32.30%,41.90%,0.037,0.28,0.287,0.173,0.166,0.239,0.24,0.21,0.218,48.6,-0.4,-5.8,-1.7,4.6,0.1,3.80%,21.20%,17.80%,56.70%,39.30%,48.30%,80.00%,73.60%,42.30%,42.30%,15.40%,27.70%,48.90%,23.40%,83.4,101.6,1.6,0.1
17982,Ty France,1B,R,R,CIN,30,5.1,140,535,112,75,24,0,13,46,51,1,7.10%,21.30%,33.30%,0.132,0.277,0.305,0.234,0.228,0.296,0.303,0.365,0.387,92.7,-0.9,-8.3,-18.2,1.6,-3.6,7.30%,39.70%,27.90%,73.10%,51.20%,54.50%,87.30%,78.60%,35.90%,36.20%,27.80%,18.10%,45.70%,36.20%,88.7,111.1,12.9,-0.3
15711,Tyler O'Neill,LF/RF/CF,R,R,BOS,30,6.1,113,473,99,50,18,0,31,74,61,4,11.20%,33.60%,33.30%,0.27,0.305,0.336,0.241,0.213,0.36,0.339,0.511,0.48,131,2.5,16,-7.7,3.6,-0.8,17.30%,48.40%,24.40%,65.60%,44.60%,42.50%,77.40%,67.70%,52.00%,31.50%,16.50%,17.30%,35.80%,46.90%,90.9,113.1,20.2,-0.2
11281,Whit Merrifield,2B/3B/LF,R,R,ATL,36,8.1,95,335,65,49,9,3,4,44,15,17,10.40%,15.50%,67.30%,0.092,0.257,0.311,0.222,0.242,0.283,0.295,0.314,0.317,79.5,0.4,-5.1,-1.7,7.1,3.1,2.40%,21.20%,25.90%,62.50%,45.20%,66.00%,89.00%,82.80%,36.70%,33.10%,30.20%,20.40%,45.00%,34.60%,84,104.6,13,-1.1
15986,Willy Adames,SS,R,R,MIL,29,6.1,161,688,153,88,33,0,32,93,112,21,10.80%,25.10%,42.80%,0.211,0.297,0.331,0.251,0.243,0.342,0.339,0.462,0.461,119.4,4.8,17.2,5.9,4.4,1.2,12.00%,40.50%,27.50%,70.90%,49.40%,46.90%,84.20%,73.90%,45.20%,33.60%,21.10%,18.90%,31.40%,49.80%,88.6,112.3,20.6,0.9
9627,Yan Gomes,C,R,R,CHC,37,11.2,34,96,14,10,2,0,2,7,7,0,2.10%,37.50%,5.60%,0.088,0.222,0.179,0.154,0.212,0.184,0.259,0.242,0.364,16.4,-1.2,-9.7,-5,1.7,-0.1,10.50%,42.10%,40.70%,75.60%,58.70%,40.50%,80.80%,67.30%,31.60%,42.10%,26.30%,23.20%,33.90%,42.90%,87.1,106.9,17,0.2
11368,Yasmani Grandal,C,S,R,PIT,36,12.1,72,243,49,30,10,0,9,26,27,1,9.90%,18.90%,52.20%,0.172,0.248,0.304,0.228,0.246,0.308,0.325,0.4,0.419,94.6,1.4,-2.6,7.7,2.4,-1.1,9.80%,42.80%,25.80%,52.60%,40.40%,64.90%,88.00%,81.30%,45.10%,36.40%,18.50%,17.60%,45.90%,36.50%,91.1,108,11.1,-0.7
17232,Yoán Moncada,3B,S,R,CHW,30,7.1,12,45,11,7,3,1,0,4,0,1,11.10%,24.40%,45.50%,0.125,0.379,0.356,0.275,0.264,0.333,0.314,0.4,0.346,117.3,0.3,0.8,0.4,6.5,-0.1,0.00%,34.50%,25.00%,63.00%,44.80%,34.80%,90.50%,75.60%,41.40%,24.10%,34.50%,27.60%,55.20%,17.20%,90.2,108.6,6.1,-0.3
19198,Yuli Gurriel,1B,R,R,KCR,41,7.1,18,65,13,10,3,0,0,7,6,1,13.80%,23.10%,60.00%,0.056,0.317,0.338,0.241,0.254,0.289,0.316,0.296,0.328,82.6,-0.1,-1.2,-1.5,4,0.1,2.40%,53.70%,25.40%,61.20%,43.10%,52.80%,90.60%,79.30%,56.10%,36.60%,7.30%,26.80%,43.90%,29.30%,90.3,106,7.5,0.1
