playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,BB/K,ISO,BABIP,OBP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,wRC+,WAR,Off,Def,Spd,BsR,Barrel%,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Pull%,Cent%,Oppo%,LD%,GB%,FB%,EV,maxEV,LA,Clutch
10028,Christian Bethancourt,C,R,R,CHC,33,5,62,147,29,17,7,0,5,18,22,3,3.40%,24.50%,13.90%,0.158,0.245,0.241,0.209,0.218,0.263,0.267,0.367,0.36,65.8,0.2,-5.5,2.8,5.5,0.5,7.60%,41.90%,47.20%,74.90%,60.50%,54.30%,82.20%,70.80%,41.90%,36.20%,21.90%,13.10%,47.50%,39.40%,89.1,110.9,12.4,0.2
13419,Christian Walker,1B,R,R,ARI,34,6.1,130,552,120,68,26,0,26,72,84,2,10.00%,24.10%,41.40%,0.217,0.287,0.335,0.251,0.246,0.343,0.351,0.468,0.457,119.2,3,9.4,1.3,2.2,-3.2,13.30%,48.00%,24.20%,70.40%,48.00%,50.00%,84.70%,76.20%,42.10%,35.30%,22.60%,15.30%,37.90%,46.90%,91.3,113.9,16.7,-0.8
16572,Connor Joe,1B/RF/LF,R,R,PIT,32,3.1,123,416,83,51,22,1,9,49,36,2,10.60%,21.90%,48.40%,0.14,0.278,0.32,0.228,0.206,0.305,0.277,0.368,0.308,92.3,0.5,-4.2,-4.9,3,-0.4,4.70%,32.00%,22.30%,62.70%,43.10%,52.50%,85.20%,77.00%,41.80%,30.20%,28.00%,14.90%,42.90%,42.20%,85.3,109.4,16.3,-0.4
12510,Curt Casali,C,R,R,SFG,36,8.1,41,125,21,17,3,0,1,12,8,0,10.40%,17.60%,59.10%,0.056,0.235,0.293,0.194,0.206,0.254,0.265,0.25,0.267,62.4,-0.4,-5.9,-2.3,1.6,-0.2,1.10%,17.00%,15.90%,65.60%,42.60%,65.70%,86.90%,83.30%,44.30%,35.20%,20.50%,18.80%,37.60%,43.50%,83,104.5,20,-0.3
14130,Daniel Vogelbach,DH,L,R,TOR,32,6,31,79,13,7,5,0,1,5,8,0,11.40%,21.50%,52.90%,0.114,0.231,0.278,0.186,0.273,0.262,0.36,0.3,0.466,69.4,-0.3,-3.4,-2.4,0.7,-0.6,9.40%,43.40%,17.20%,43.00%,29.80%,67.70%,94.60%,86.70%,45.30%,39.60%,15.10%,20.80%,49.10%,30.20%,90.9,109,8.1,0
16535,Danny Jansen,C,R,R,BOS,30,6.1,94,324,57,35,13,0,9,35,24,0,12.30%,18.80%,65.60%,0.144,0.227,0.309,0.205,0.201,0.294,0.289,0.349,0.332,90,0.6,-4.8,-0.5,1.4,-1.1,6.40%,29.10%,19.10%,60.90%,40.60%,60.30%,86.70%,80.70%,52.30%,30.00%,17.70%,16.40%,30.50%,53.20%,86.6,107.2,21.7,-1.1
2136,David Peralta,RF/LF,L,L,SDP,37,10.1,91,260,63,44,11,0,8,35,28,2,8.50%,20.80%,40.70%,0.148,0.316,0.335,0.267,0.259,0.329,0.313,0.415,0.376,114.9,0.4,4.1,-8.5,3.5,-0.6,5.50%,41.80%,32.90%,69.00%,50.90%,49.40%,87.70%,75.20%,37.90%,37.90%,24.20%,22.00%,47.30%,30.80%,88.1,111.6,8.9,-0.4
17766,DJ Stewart,RF/LF,L,R,NYM,31,3.1,74,194,28,19,4,0,5,16,19,1,16.00%,24.70%,64.60%,0.12,0.217,0.325,0.177,0.212,0.29,0.326,0.297,0.346,88.4,-0.2,-2.7,-5.5,2.2,0,8.10%,39.60%,17.80%,63.70%,40.80%,36.80%,81.60%,71.80%,52.30%,29.70%,18.00%,18.90%,32.40%,48.60%,89.7,110.9,19.1,0.3
8623,Donovan Solano,3B/1B/DH,R,R,SDP,37,9.1,96,309,81,60,13,0,8,31,35,2,7.10%,21.00%,33.80%,0.131,0.346,0.343,0.286,0.257,0.333,0.307,0.417,0.378,117.5,0.8,3.3,-6,2.3,-3.2,3.70%,37.00%,28.20%,63.70%,47.20%,58.70%,86.40%,78.70%,34.70%,41.10%,24.20%,22.80%,44.30%,32.90%,87.3,107.6,13.7,-0.3
20126,Dylan Carlson,RF/LF/CF,S,L,TBR,26,4.1,96,265,49,39,7,0,3,19,25,2,8.30%,28.30%,29.30%,0.068,0.288,0.287,0.209,0.195,0.257,0.25,0.277,0.27,66.5,-1,-10.2,-8.7,2.4,0.3,2.50%,25.80%,24.60%,69.40%,47.90%,55.00%,76.10%,70.90%,41.10%,33.10%,25.80%,20.50%,41.00%,38.50%,86.8,107.2,15.8,0.4
12155,Eddie Rosario,LF/RF/DH,L,R,ATL,33,9.1,91,319,52,30,12,0,10,33,35,9,5.00%,24.10%,20.80%,0.141,0.196,0.215,0.175,0.211,0.23,0.257,0.316,0.34,44.6,-2,-19.1,-11.1,5.4,2,5.30%,42.50%,36.00%,68.90%,52.10%,58.90%,82.50%,74.10%,45.10%,28.80%,26.10%,19.70%,39.50%,40.80%,91,110.2,14.3,0
11680,Elias Díaz,C,R,R,SDP,34,8.1,96,351,86,60,20,0,6,27,39,0,5.70%,19.70%,29.00%,0.117,0.317,0.313,0.265,0.242,0.303,0.28,0.382,0.343,81.3,0.5,-10.7,4.1,0.8,-2.9,4.70%,34.10%,33.20%,73.60%,53.80%,47.00%,84.90%,73.50%,41.10%,36.80%,22.10%,18.20%,51.90%,29.80%,87.1,110.5,7.6,-0.7
17484,Eloy Jiménez,DH/RF/LF,R,R,BAL,28,6,98,349,77,57,14,0,6,25,23,3,6.30%,20.10%,31.40%,0.099,0.285,0.289,0.238,0.248,0.276,0.3,0.336,0.382,78.3,-0.9,-11.2,-9.4,2.7,-2.5,7.80%,49.00%,30.20%,70.20%,50.30%,55.00%,86.30%,77.00%,40.40%,41.60%,18.00%,15.30%,56.10%,28.60%,92,112.3,4.3,-0.7
10472,Enrique Hernández,3B/2B/SS/OF,R,R,LAD,33,10.1,126,393,83,55,16,0,12,44,42,0,6.90%,19.60%,35.10%,0.144,0.257,0.281,0.229,0.233,0.285,0.285,0.373,0.362,83.3,0.7,-7.4,1.1,1.6,0.5,4.80%,41.20%,27.30%,67.00%,48.70%,58.40%,84.90%,78.10%,37.00%,37.70%,25.30%,19.60%,36.00%,44.40%,89.6,112.7,17.1,0.8
15279,Garrett Cooper,1B/DH,R,R,BOS,34,6.1,36,116,22,15,5,1,1,6,11,0,6.00%,30.20%,20.00%,0.093,0.296,0.267,0.206,0.261,0.253,0.321,0.299,0.412,57.7,-0.4,-5.9,-1.6,2.4,-0.3,9.70%,36.10%,32.90%,60.10%,46.70%,58.90%,80.30%,72.90%,36.10%,34.70%,29.20%,26.40%,40.30%,33.30%,85.9,109.9,12.7,0
19262,Garrett Hampson,2B/3B/SS/OF,R,R,KCR,30,6,113,231,49,35,13,1,0,16,16,7,6.10%,25.50%,23.70%,0.07,0.314,0.275,0.23,0.206,0.255,0.244,0.3,0.282,58.7,0.5,-9.5,6.4,5,1.4,4.40%,30.40%,25.90%,61.50%,46.20%,61.20%,84.20%,78.70%,38.60%,31.00%,30.40%,19.90%,36.40%,43.70%,86,109.1,16.1,-0.3
11442,Gary Sánchez,C/DH,R,R,MIL,32,8.1,89,280,54,35,7,1,11,30,37,0,9.60%,27.10%,35.50%,0.171,0.267,0.307,0.22,0.219,0.307,0.309,0.392,0.399,96,0.3,-2.6,-3.4,2.2,-1.3,10.50%,44.20%,26.90%,55.00%,40.70%,54.70%,81.10%,72.20%,47.70%,40.70%,11.60%,18.60%,40.10%,41.30%,90,114.4,16.2,0.4
19901,Gavin Sheets,1B/RF/LF,L,L,CHW,29,3.1,139,501,105,70,24,1,10,35,45,2,8.60%,21.20%,40.60%,0.124,0.281,0.303,0.233,0.251,0.291,0.309,0.357,0.38,87.7,-0.9,-9.9,-15.5,2,-2.9,5.70%,35.10%,33.00%,60.00%,46.10%,67.50%,85.90%,79.10%,40.20%,32.50%,27.30%,21.80%,36.80%,41.40%,87.7,110,13.5,0.8
10681,Gio Urshela,3B,R,R,ATL,33,7.1,128,461,108,79,19,1,9,34,52,0,5.00%,15.60%,31.90%,0.111,0.278,0.286,0.25,0.264,0.281,0.302,0.361,0.389,81.1,0.7,-12.7,4.2,1.3,-2.7,4.90%,28.20%,35.30%,72.00%,54.40%,70.90%,87.20%,82.20%,34.50%,37.80%,27.70%,23.60%,45.90%,30.50%,86.4,109,10.5,-0.1
16997,Gleyber Torres,2B,R,R,NYY,28,6.2,154,665,151,110,26,0,15,80,63,4,9.80%,20.50%,47.80%,0.121,0.306,0.33,0.257,0.24,0.313,0.307,0.378,0.368,103.7,1.7,-1.7,-3.7,2.6,-4.6,6.30%,35.40%,22.40%,66.80%,45.60%,63.30%,84.40%,79.50%,34.10%,33.80%,32.10%,22.90%,36.70%,40.40%,88.6,111.2,15,0.2
27506,Ha-Seong Kim,SS,R,R,SDP,29,4,121,470,94,64,16,3,11,60,47,22,12.30%,16.40%,75.30%,0.136,0.261,0.33,0.233,0.245,0.308,0.313,0.37,0.352,100.9,2.6,2.8,7.2,6.2,2.3,4.80%,35.40%,19.50%,52.50%,37.80%,75.00%,88.90%,85.70%,43.20%,34.50%,22.20%,17.60%,39.80%,42.60%,87.9,107.9,15.1,0.8
18030,Harrison Bader,CF,R,R,NYM,31,7,143,437,95,64,19,0,12,57,51,17,4.80%,21.70%,22.10%,0.137,0.276,0.284,0.236,0.242,0.285,0.294,0.373,0.377,85.2,1.3,-9.4,7.7,5.2,-1.7,6.40%,35.10%,33.80%,59.10%,46.60%,60.10%,87.00%,77.30%,47.00%,36.40%,16.60%,21.10%,42.80%,36.10%,87.2,111.7,11.9,-0.1
13324,Ildemaro Vargas,3B/2B/SS,S,R,WSN,33,5,97,303,67,50,16,0,1,21,30,9,6.30%,10.20%,61.30%,0.07,0.269,0.295,0.246,0.255,0.271,0.28,0.316,0.322,72.4,0,-10.8,1.1,3.6,-0.8,1.20%,31.90%,29.00%,60.10%,45.50%,75.70%,94.10%,88.60%,48.60%,32.30%,19.10%,19.50%,52.30%,28.20%,87,108.5,4,0.6
16219,J.D. Davis,3B/1B,R,R,NYY,32,6.1,46,157,31,22,5,0,4,13,6,0,7.60%,24.80%,30.80%,0.12,0.273,0.293,0.218,0.212,0.282,0.284,0.338,0.347,85.7,-0.4,-3.4,-5.9,1,-0.8,8.70%,43.70%,23.30%,73.60%,51.40%,38.30%,77.70%,69.90%,40.80%,36.90%,22.30%,11.70%,64.10%,24.30%,89.1,111.8,2.8,-0.6
6184,J.D. Martinez,DH,R,R,NYM,37,13,120,495,102,61,24,1,16,46,69,0,9.90%,28.50%,34.80%,0.171,0.308,0.32,0.235,0.256,0.318,0.351,0.406,0.472,107.5,0.6,2.1,-12.6,1.4,-2.3,14.70%,45.50%,28.80%,67.80%,48.50%,37.00%,84.10%,70.30%,36.90%,35.30%,27.80%,19.70%,38.30%,42.00%,91,110.8,14.4,0.9
13723,Jacob Stallings,C,R,R,COL,35,6.1,82,281,64,37,17,1,9,31,36,0,9.60%,23.10%,41.50%,0.189,0.324,0.357,0.263,0.235,0.353,0.318,0.453,0.381,113.9,0.9,1.2,-1.4,2.2,-3.5,7.20%,34.40%,24.40%,64.00%,45.20%,45.20%,84.20%,74.20%,39.40%,36.70%,23.90%,19.00%,45.30%,35.80%,86.6,107.2,12.8,0.1
15194,Jake Bauers,1B/RF/LF,L,L,MIL,29,4.1,117,346,60,37,9,2,12,45,43,13,11.30%,34.10%,33.10%,0.162,0.279,0.301,0.199,0.201,0.294,0.302,0.361,0.379,87.3,0,-4.2,-6.8,6.9,1.1,10.30%,41.80%,20.20%,67.70%,45.80%,32.60%,83.10%,72.80%,50.00%,31.00%,19.00%,21.50%,28.70%,49.70%,89.4,110.1,22.6,1
12859,James McCann,C,R,R,BAL,35,10,66,233,50,33,9,0,8,27,31,1,5.60%,24.00%,23.20%,0.154,0.273,0.279,0.234,0.245,0.288,0.313,0.388,0.418,89.2,0.2,-4.4,-1.5,3,-1.5,8.60%,37.70%,31.40%,68.60%,51.50%,45.20%,84.60%,73.60%,32.90%,39.10%,28.00%,20.60%,38.80%,40.60%,87.4,110.5,14.4,0.5
4940,Jason Heyward,RF/LF,L,L,HOU,35,15,87,258,48,24,12,2,10,33,37,5,8.50%,20.50%,41.50%,0.202,0.226,0.288,0.211,0.233,0.3,0.29,0.412,0.346,94.3,0.8,0.9,-1.4,6.4,2.6,5.60%,41.30%,32.70%,65.80%,49.60%,56.70%,87.80%,77.80%,56.20%,29.80%,14.00%,15.20%,51.70%,33.10%,88,108.4,10.4,-0.8
13590,Jesse Winker,LF/RF/DH,L,L,NYM,31,7.1,145,508,109,72,23,0,14,63,58,14,12.40%,20.90%,59.40%,0.151,0.304,0.36,0.253,0.245,0.338,0.329,0.405,0.384,118.3,1.3,8.3,-13.1,4.1,-2.8,7.60%,36.80%,19.70%,63.00%,43.10%,60.20%,87.10%,81.50%,35.90%,35.60%,28.60%,21.60%,45.10%,33.30%,88.6,109.2,14,1.3
11899,Joc Pederson,DH/LF/RF,L,L,ARI,33,10,132,449,101,60,17,1,23,62,64,7,12.20%,23.40%,52.40%,0.24,0.322,0.393,0.275,0.264,0.391,0.378,0.515,0.48,151.2,3,26.4,-12.6,3.9,-1.1,12.50%,45.40%,30.10%,58.40%,43.60%,64.90%,84.90%,77.70%,50.00%,35.70%,14.30%,20.50%,39.20%,40.30%,92.2,114.1,17,0.9
14128,Joey Gallo,1B/RF/LF,L,R,WSN,31,8.1,76,260,36,17,9,0,10,24,27,3,12.30%,39.20%,31.40%,0.175,0.232,0.277,0.161,0.173,0.276,0.285,0.336,0.348,75.7,-0.2,-8.5,-1.7,3,-0.9,13.10%,43.40%,22.00%,67.20%,45.20%,34.80%,72.20%,63.40%,54.90%,25.40%,19.70%,19.80%,27.30%,52.90%,90.5,109,26.1,-0.7
13853,Joey Wendle,2B/3B/SS,L,R,ATL,35,6.1,18,37,8,7,1,0,0,3,1,1,2.70%,24.30%,11.10%,0.028,0.296,0.243,0.222,0.223,0.219,0.239,0.25,0.289,40.8,-0.2,-2.3,-1.3,4.9,0.4,0.00%,25.90%,39.30%,52.10%,46.30%,45.80%,94.70%,75.80%,33.30%,18.50%,48.10%,19.20%,53.80%,26.90%,88.3,99.9,4.8,0
12037,Jon Berti,3B/2B/SS/OF,R,R,NYY,35,5.2,25,74,18,17,0,0,1,10,6,5,8.10%,18.90%,42.90%,0.045,0.333,0.342,0.273,0.274,0.3,0.307,0.318,0.335,94.7,0.3,0.5,-0.5,5.6,1,1.90%,30.20%,19.80%,59.30%,41.70%,75.00%,87.60%,85.00%,22.60%,35.80%,41.50%,26.90%,40.40%,32.70%,84.2,110.7,11,-0.3
13152,Jorge Polanco,2B/3B,S,R,SEA,31,8,118,469,89,62,11,0,16,43,45,4,9.80%,29.20%,33.60%,0.141,0.274,0.296,0.213,0.226,0.287,0.309,0.355,0.399,92.1,0.3,-5.8,-7.2,2.4,-1.5,8.90%,37.20%,25.50%,63.40%,44.50%,52.20%,82.10%,73.60%,48.60%,31.90%,19.50%,24.10%,33.80%,42.10%,88.3,110.7,17.9,-1
15676,José Abreu,1B,R,R,HOU,38,10.1,35,120,14,10,2,0,2,10,7,0,3.30%,23.30%,14.30%,0.071,0.143,0.167,0.124,0.161,0.164,0.198,0.195,0.24,0.4,-1.5,-14.4,-4.2,2.6,-0.7,2.30%,32.60%,34.20%,67.50%,51.20%,54.30%,85.10%,75.10%,26.70%,45.30%,27.90%,14.00%,53.50%,32.60%,87.8,109.7,6.7,-0.5
10231,Jose Iglesias,2B/SS,R,R,NYM,35,10.2,85,291,91,70,16,1,4,39,26,6,4.10%,13.40%,30.80%,0.111,0.382,0.381,0.337,0.285,0.362,0.314,0.448,0.369,136.7,2.5,12.6,2.3,4.7,-0.2,2.20%,30.60%,40.20%,63.30%,52.50%,78.30%,89.80%,85.60%,31.00%,38.40%,30.60%,23.70%,48.70%,27.60%,85.8,109.8,9,0.9
13145,Josh Bell,1B,S,R,ARI,32,8.1,145,603,134,90,23,2,19,62,71,0,8.50%,19.90%,42.50%,0.156,0.286,0.319,0.249,0.239,0.317,0.31,0.405,0.396,100.6,-0.1,-3.6,-17.8,2,-4,7.50%,39.70%,28.10%,71.70%,48.80%,56.40%,85.50%,76.70%,42.30%,32.10%,25.70%,17.30%,49.60%,33.00%,88.8,111.2,10.5,0
19734,Josh Rojas,3B/2B,L,R,SEA,31,4.1,143,476,95,66,19,2,8,48,31,10,9.70%,22.70%,42.60%,0.111,0.282,0.304,0.225,0.223,0.286,0.293,0.336,0.35,91,1.9,-6.5,8.9,4.7,-1.6,5.60%,37.60%,21.90%,63.90%,45.10%,47.80%,85.70%,77.50%,36.90%,40.10%,23.00%,18.40%,39.40%,42.20%,88.2,108.4,15.5,0.7
20123,Juan Soto,LF/RF,L,L,NYY,26,6.1,157,713,166,90,31,4,41,128,109,7,18.10%,16.70%,108.40%,0.281,0.298,0.419,0.288,0.316,0.421,0.462,0.569,0.646,179.6,8.1,61.1,-6.1,4.3,-3.8,19.70%,56.80%,18.40%,57.60%,36.90%,62.20%,86.10%,79.80%,45.10%,34.70%,20.20%,20.40%,43.60%,36.00%,94.2,115.7,10.7,-0.5
10815,Jurickson Profar,LF,S,R,SDP,32,10.2,158,668,158,105,29,0,24,94,85,10,11.40%,15.10%,75.20%,0.179,0.302,0.38,0.28,0.282,0.365,0.364,0.459,0.444,139.2,4.3,30.6,-11.1,3.6,-0.8,7.20%,44.20%,22.40%,67.00%,45.30%,67.80%,89.60%,84.40%,40.40%,35.90%,23.70%,19.80%,42.20%,37.90%,91.1,110.3,13.4,2.6
5235,Justin Turner,1B/DH,R,R,SEA,40,14,139,539,119,84,24,0,11,59,55,0,10.90%,17.60%,62.10%,0.124,0.299,0.354,0.259,0.252,0.327,0.328,0.383,0.383,116.6,1.2,5.8,-12.3,1.6,-4.5,4.60%,32.50%,25.00%,63.50%,45.40%,71.30%,89.60%,84.90%,40.90%,34.40%,24.70%,25.50%,32.50%,41.90%,87.1,106.8,17.8,0.4
17696,Kevin Newman,2B/SS/3B,R,R,ARI,31,6,111,311,80,59,17,1,3,41,28,8,4.80%,15.40%,31.30%,0.097,0.322,0.311,0.278,0.256,0.298,0.271,0.375,0.323,88.9,1.4,-3.2,6.5,5.7,0.9,1.60%,23.40%,31.50%,64.10%,48.60%,66.00%,92.20%,84.20%,35.90%,35.50%,28.60%,22.00%,48.10%,29.90%,85.6,104.7,9.8,-1.2
12434,Kevin Pillar,LF/RF/CF,R,R,LAA,36,10.1,100,314,65,40,16,1,8,38,45,12,5.10%,22.00%,23.20%,0.148,0.271,0.291,0.229,0.221,0.293,0.275,0.377,0.329,87.9,0.5,-2.9,-2.2,6.2,1.4,3.70%,29.70%,35.30%,69.20%,52.20%,57.70%,88.50%,78.10%,47.00%,32.00%,21.00%,18.80%,35.30%,45.90%,84.6,108.8,17.9,0.4
14813,Kyle Farmer,3B/2B/SS,R,R,MIN,34,6.1,107,242,46,27,13,1,5,26,25,3,7.90%,20.20%,38.80%,0.14,0.252,0.293,0.214,0.225,0.285,0.294,0.353,0.361,84.9,0.5,-7.3,4.6,4.1,-3.2,5.40%,29.20%,31.90%,62.90%,48.50%,59.20%,89.60%,80.40%,39.90%,36.90%,23.20%,18.50%,36.30%,45.20%,87.7,108.7,17.9,-0.1
5517,Kyle Higashioka,C,R,R,SDP,35,6,84,263,54,26,10,1,17,29,45,2,5.70%,28.10%,20.30%,0.256,0.237,0.263,0.22,0.22,0.314,0.298,0.476,0.43,104.6,1.6,0.3,6,3.9,-1.2,10.90%,37.40%,27.80%,62.50%,45.90%,53.90%,84.70%,75.80%,51.70%,30.50%,17.80%,19.30%,28.10%,52.60%,88.4,107.2,20.7,0.2
16451,Luis Guillorme,2B/3B/SS,L,R,ARI,30,5.2,79,187,33,23,9,1,0,14,10,4,12.30%,19.30%,63.90%,0.068,0.26,0.301,0.205,0.223,0.263,0.279,0.273,0.29,66.8,0.1,-7.2,2.1,4.5,0.1,2.30%,21.10%,24.40%,58.90%,42.00%,70.80%,90.90%,85.20%,25.80%,39.80%,34.40%,22.00%,52.80%,25.20%,85.5,108.5,5.7,-0.1
16622,Luis Urías,3B/2B/SS,R,R,SEA,28,5,41,109,18,7,7,0,4,11,16,0,8.30%,31.20%,26.50%,0.202,0.25,0.303,0.191,0.206,0.309,0.318,0.394,0.4,107.5,0.2,0.5,-2.3,1.4,-0.4,11.70%,35.00%,28.20%,63.20%,46.70%,66.70%,84.80%,79.60%,50.00%,36.70%,13.30%,20.00%,31.70%,48.30%,87.1,106.6,19.2,0.6
13355,Luke Maile,C,R,R,CIN,34,7.1,55,154,24,18,4,0,2,8,8,2,8.40%,33.80%,25.00%,0.074,0.268,0.268,0.178,0.177,0.241,0.241,0.252,0.252,45.2,-0.7,-10,-2,3,0.1,3.50%,24.70%,26.40%,64.10%,45.10%,45.90%,85.60%,73.90%,43.50%,38.80%,17.60%,25.30%,42.20%,32.50%,84.7,106,11.3,0
14712,Manuel Margot,LF/RF/CF,R,R,MIN,30,8,129,343,75,53,17,1,4,37,31,5,6.10%,15.70%,38.90%,0.098,0.273,0.289,0.238,0.261,0.276,0.308,0.337,0.379,78.8,-0.2,-7.4,-5.9,4.8,0.9,4.90%,33.60%,30.70%,66.70%,49.20%,65.10%,88.40%,81.40%,32.10%,43.40%,24.50%,18.40%,41.00%,40.60%,88.2,111.2,13.8,0.1
11445,Mark Canha,LF/RF/1B,R,R,SFG,36,9.1,125,462,95,68,20,0,7,46,42,7,11.00%,20.80%,53.10%,0.104,0.298,0.344,0.242,0.212,0.31,0.288,0.346,0.306,102.3,1,2.1,-7.8,3.8,0.9,3.30%,37.40%,21.70%,59.20%,41.50%,69.80%,84.20%,80.70%,47.70%,31.80%,20.50%,16.90%,49.30%,33.80%,88.4,107,9.6,0.7
6887,Martín Maldonado,C,R,R,CHW,38,12.1,48,147,16,9,3,0,4,9,11,0,5.40%,34.70%,15.70%,0.111,0.15,0.174,0.119,0.16,0.181,0.222,0.23,0.288,10.9,-1.5,-16.4,-3,1.1,-1.4,8.00%,35.60%,31.30%,63.20%,49.10%,37.70%,77.00%,65.90%,47.10%,37.90%,14.90%,13.10%,36.90%,50.00%,88,107.7,20.1,0.3
8090,Matt Carpenter,1B/DH,L,R,STL,39,12.1,59,157,32,21,7,0,4,15,15,0,9.60%,32.50%,29.40%,0.139,0.333,0.314,0.234,0.211,0.303,0.287,0.372,0.35,95.1,-0.2,-3.1,-4.2,1.8,-2.2,6.70%,27.00%,21.40%,60.60%,42.20%,41.80%,83.70%,73.80%,39.80%,36.40%,23.90%,26.70%,26.70%,46.50%,85.8,106.5,24.2,0.4
13836,Matt Duffy,3B/2B/1B,R,R,TEX,34,8.1,4,10,2,2,0,0,0,2,0,0,20.00%,10.00%,200.00%,0,0.333,0.5,0.286,0.415,0.386,0.482,0.286,0.474,155.5,0.1,0.7,0.4,2.6,0,0.00%,66.70%,6.70%,75.00%,41.90%,0.00%,91.70%,84.60%,50.00%,33.30%,16.70%,33.30%,50.00%,16.70%,98.8,104.8,14.3,0
12144,Max Kepler,RF/LF,L,L,MIN,32,8.2,105,399,93,63,21,1,8,43,42,1,5.50%,20.10%,27.50%,0.128,0.3,0.302,0.253,0.247,0.298,0.301,0.38,0.381,94.1,1,-3.5,-0.5,3,-0.8,6.20%,36.60%,32.60%,71.30%,52.20%,54.40%,88.70%,78.10%,42.60%,30.90%,26.50%,21.00%,35.20%,43.80%,88.9,115.4,16.8,0.2
