playerid,Name,Projected WAR,Projected Years,Projected Total,Projected AAV,QO,Signing Team,Years,Total Salary,AAV
1157,Tommy Hunter,,,$0 ,,,NYM,1,"$696,236 ","$696,236 "
1247,Adam Ottavino,,1,"$6,000,000 ","$6,000,000 ",,NYM,2,"$14,500,000 ","$7,250,000 "
1581,Sean Doolittle,,,$0 ,,,WSN,1,$0 ,
1890,Matt Moore,,1,"$5,000,000 ","$5,000,000 ",,LAA,1,"$7,550,000 ","$7,550,000 "
1943,Zack Greinke,,1,"$10,000,000 ","$10,000,000 ",,KCR,1,"$8,500,000 ","$8,500,000 "
2036,Clayton Kershaw,,1,"$20,000,000 ","$20,000,000 ",,LAD,1,"$20,000,000 ","$20,000,000 "
2429,Corey Kluber,,1,"$11,000,000 ","$11,000,000 ",,BOS,1,"$10,000,000 ","$10,000,000 "
2608,Jhoulys Chacín,,,$0 ,,,,,,
3096,Kenley Jansen,,1,"$12,000,000 ","$12,000,000 ",,BOS,2,"$32,000,000 ","$16,000,000 "
3237,T.J. McFarland,,,$0 ,,,NYM,1,$0 ,
3240,Zack Britton,,1,"$5,000,000 ","$5,000,000 ",,,,,
3281,Joe Smith,,,$0 ,,,,,,
3284,Aníbal Sánchez,,,$0 ,,,,,,
4301,Justin Wilson,,,$0 ,,,MIL,1,"$1,000,000 ","$1,000,000 "
4806,Rich Hill,,1,"$5,000,000 ","$5,000,000 ",,PIT,1,"$8,000,000 ","$8,000,000 "
5097,Anthony Gose,,,$0 ,,,CLE,1,$0 ,
5114,Jeurys Familia,,,$0 ,,,OAK,1,"$282,258 ","$282,258 "
5358,Jose Alvarez,,,$0 ,,,DET,1,$0 ,
5372,Michael Pineda,,,$0 ,,,,,,
5448,Jesse Chavez,,,$0 ,,,ATL,1,"$1,200,000 ","$1,200,000 "
6345,Chris Archer,,1,"$4,000,000 ","$4,000,000 ",,,,,
6398,Trevor May,,,$0 ,,,OAK,1,"$7,000,000 ","$7,000,000 "
6655,Craig Kimbrel,,1,"$9,000,000 ","$9,000,000 ",,PHI,1,"$10,000,000 ","$10,000,000 "
6661,Alex Colomé,,,$0 ,,,WSN,1,$0 ,
6893,Johnny Cueto,,1,"$8,000,000 ","$8,000,000 ",,MIA,1,"$8,500,000 ","$8,500,000 "
6895,Chase Anderson,,,$0 ,,,CIN,1,$0 ,
6902,Martín Pérez,,3,"$39,000,000 ","$13,000,000 ","$19,650,000 ",TEX,1,"$19,650,000 ","$19,650,000 "
6986,Ian Kennedy,,,$0 ,,,TEX,1,"$508,063 ","$508,063 "
7274,Craig Stammen,,,$0 ,,,SDP,1,$0 ,
7432,Jay Jackson,,,$0 ,,,TOR,1,$0 ,
7593,Jordan Lyles,,1,"$6,000,000 ","$6,000,000 ",,KCR,2,"$17,000,000 ","$8,500,000 "
7608,Tommy Milone,,,$0 ,,,SEA,1,$0 ,
7738,Wily Peralta,,,$0 ,,,WSN,1,$0 ,
7836,Hunter Strickland,,,$0 ,,,CIN,1,$0 ,
8048,Will Smith,,,$0 ,,,TEX,1,"$1,500,000 ","$1,500,000 "
8110,Bryan Shaw,,,$0 ,,,CHW,1,$0 ,
