playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,Stuff+,Location+,Pitching+
10123,Kyle Gibson,SP,R,R,PHI,35,9,10,8,0,31,31,167.2,7.7,2.6,1.3,0.308,67.70%,45.90%,13.90%,5.05,4.46,4.28,3.94,1.8,95.2,103.5,101.1
10133,Brad Boxberger,RP,R,R,MIL,35,9,4,3,1,70,0,64,9.6,3.8,0.8,0.279,79.90%,34.30%,8.10%,2.95,3.44,3.57,4.06,0.7,90.5,98.8,98.2
10197,Shelby Miller,RP,R,R,SFG,32,7,0,1,0,4,0,7,18,3.9,0,0.462,44.40%,15.40%,0.00%,6.43,1.9,0.4,1.67,0.4,123.2,103.6,111.1
10233,Aroldis Chapman,RP,L,L,NYY,35,12,4,4,9,43,0,36.1,10.7,6.9,1,0.238,73.80%,35.60%,10.00%,4.46,4.46,4.57,4.77,-0.2,122.3,86.8,98.1
10314,Erasmo Ramírez,RP,R,R,WSN,33,7.2,4,2,0,60,2,86.1,6.4,1.5,1.1,0.267,81.30%,45.20%,12.20%,2.92,3.49,4.05,3.94,0.3,88.6,103.4,98.9
10430,Mychal Givens,RP,R,R,NYM,33,7.1,7,3,2,59,1,61.1,10.4,3.7,1.2,0.318,78.90%,42.80%,13.80%,3.38,3.7,3.96,3.66,0.2,92,98.1,96.2
10688,Tyler Thornburg,RP,R,R,MIN,34,6.1,0,1,0,14,0,19,6.6,5.2,0.5,0.25,67.70%,32.80%,3.20%,3.32,3.1,4.22,5.95,0,96.5,91.1,91.2
10855,Chasen Shreve,RP,L,L,NYM,32,5.2,1,1,0,25,0,26.1,9.9,3.4,2.1,0.304,62.90%,40.00%,20.70%,6.49,4.91,5.01,3.68,-0.3,99.1,100.7,97.2
10954,Jacob deGrom,SP,L,R,NYM,35,8.1,5,4,0,11,11,64.1,14.3,1.1,1.3,0.258,73.40%,39.40%,17.00%,3.08,2.24,2.13,1.53,2.2,134.1,107,115.9
11189,Vince Velasquez,SP,R,R,CHW,31,7.1,3,3,0,27,9,75.1,8.2,3,1.3,0.269,66.60%,35.70%,10.20%,4.78,4.65,4.25,4.48,0.4,96.3,101.6,100.9
11384,Tommy Kahnle,RP,R,R,LAD,33,7.1,0,0,1,13,0,12.2,9.9,2.1,1.4,0.125,85.40%,68.00%,28.60%,2.84,2.39,4.38,3.14,0,120.7,100.2,100.3
11423,Jose Quintana,SP,R,L,STL,34,10.1,6,7,0,32,32,165.2,7.4,2.6,0.4,0.302,74.20%,46.40%,5.30%,2.93,3.83,2.99,3.72,4,83.4,102.7,96.3
11487,Joely Rodríguez,RP,L,L,NYM,31,3.1,2,4,0,55,0,50.1,10.2,4.6,0.5,0.302,63.30%,53.80%,8.80%,4.47,3.62,3.23,3.46,0.4,106.4,101.5,100.6
11490,Aaron Sanchez,SP,R,R,MIN,30,6.1,3,4,0,15,10,60,6.2,2.3,1.2,0.357,59.90%,52.80%,13.80%,6.6,4.53,4.48,4.18,0.2,87.9,102,98.3
11589,José Ureña,SP,R,R,COL,31,6.2,3,8,0,21,17,97,5.8,4,1,0.312,66.10%,49.70%,11.70%,5.01,4.91,4.65,4.61,0.7,89.7,98.3,95.3
11632,Heath Hembree,RP,R,R,LAD,34,6.1,3,1,0,26,0,22,7,7,2.5,0.299,69.40%,24.70%,17.60%,7.36,7.55,7.43,6.17,-0.7,94.3,93.8,94.1
11674,Jameson Taillon,SP,R,R,NYY,31,6.1,14,5,0,32,32,177.1,7.7,1.6,1.3,0.276,75.30%,40.10%,12.40%,3.91,4.2,3.94,3.79,2.4,97.4,105.9,103.9
11760,Drew Smyly,SP,L,L,CHC,34,10.1,7,8,0,22,22,106.1,7.7,2.2,1.4,0.275,78.50%,40.10%,11.70%,3.47,4.14,4.23,4.18,1.2,96.9,105.8,103.3
11762,Noah Syndergaard,SP,L,R,PHI,30,7.1,10,10,0,25,24,134.2,6.3,2.1,0.9,0.295,72.40%,42.80%,8.50%,3.94,4.4,3.83,4.28,2.2,81.8,105.6,100.8
11801,Hansel Robles,RP,R,R,BOS,32,6.1,1,3,2,26,0,24.2,7.7,5.1,1.8,0.282,62.50%,39.50%,17.20%,5.84,6.49,5.75,4.85,-0.6,96.4,93.8,93.4
11836,Taijuan Walker,SP,R,R,NYM,30,8.1,12,5,0,29,29,157.1,7.6,2.6,0.9,0.284,75.70%,46.20%,9.60%,3.49,3.94,3.65,3.88,2.7,109.7,100.7,101.8
11847,Chris Martin,RP,R,R,LAD,37,5.1,4,1,2,60,0,56,11.9,0.8,1,0.317,75.60%,49.00%,13.00%,3.05,2.55,2.18,2.01,1.6,94.9,110,101.7
12272,Aaron Brooks,RP,R,R,STL,33,2.1,0,0,0,5,0,9.1,6.8,1.9,2.9,0.267,61.20%,39.40%,23.10%,7.71,10.18,6.76,4.64,-0.2,94.2,99.5,99.4
12304,Chris Bassitt,SP,R,R,NYM,34,6.1,15,9,0,30,30,181.2,8.3,2.4,0.9,0.282,77.20%,48.80%,10.90%,3.42,3.44,3.66,3.72,2.8,97.9,102.9,101.4
12323,Jacob Barnes,RP,R,R,NYY,33,4.2,3,1,0,23,0,22.1,4.8,3.6,1.2,0.282,67.10%,50.70%,13.00%,5.64,4.78,5.26,5.04,-0.3,109.6,98.4,100.1
12447,Seth Lugo,RP,R,R,NYM,33,6.1,3,2,3,62,0,65,9.6,2.5,1.2,0.283,79.80%,45.60%,13.20%,3.6,3.46,3.76,3.51,0.3,99.1,100.7,102
12730,Nick Martinez,SP,L,R,SDP,32,4,4,4,8,47,10,106.1,8,3.5,1.3,0.276,80.80%,47.40%,14.40%,3.47,3.83,4.43,4.04,0.4,102.3,102,104.1
12760,Rafael Montero,RP,R,R,HOU,32,6.1,5,2,14,71,0,68.1,9.6,3,0.4,0.26,73.70%,52.90%,5.70%,2.37,2.7,2.64,3.22,1.5,114.5,106,105.3
12763,Chris Devenski,RP,R,R,PHI,32,6,2,1,0,13,0,14.2,7.4,0.6,1.8,0.36,47.90%,41.50%,13.60%,8.59,5.11,4.54,4.11,0,104.4,102.5,103.6
12763,Chris Devenski,RP,R,R,PHI,32,6,2,1,0,13,0,14.2,7.4,0.6,1.8,0.36,47.90%,41.50%,13.60%,8.59,5.11,4.54,4.11,0,104.4,102.5,103.6
12800,Noé Ramirez,RP,R,R,ARI,33,5.1,5,4,0,55,0,50,9.2,4.7,1.6,0.286,68.40%,37.90%,16.40%,5.22,4.14,5.15,4.44,-0.7,88.7,99.3,97.1
12804,Matt Wisler,RP,R,R,TBR,30,5,3,3,1,39,5,44,7.2,2.9,1.2,0.198,73.00%,24.80%,8.30%,2.25,3.27,4.25,4.9,0.2,112.6,100.6,106.6
12808,Mike Clevinger,SP,R,R,SDP,32,6,7,7,0,23,22,114.1,7.2,2.8,1.6,0.249,76.50%,35.20%,12.60%,4.33,4.65,4.98,4.76,0.4,92.3,100.1,100.9
12880,Tyler Anderson,SP,L,L,LAD,33,7.1,15,5,0,30,28,178.2,7,1.7,0.7,0.256,77.80%,40.10%,6.40%,2.57,3.1,3.31,4.1,4.1,94.4,104.7,104.7
12910,Ken Giles,RP,R,R,SEA,32,7.1,0,0,0,5,0,4.1,12.5,8.3,0,0.125,100.00%,37.50%,0.00%,0,2.94,3.11,4.14,0,98.4,84.4,88.6
12917,Dylan Bundy,SP,S,R,MIN,30,7,8,8,0,29,29,140,6,1.8,1.5,0.285,69.40%,34.00%,11.20%,4.89,4.31,4.66,4.7,0.8,96.6,106,102.7
12918,Archie Bradley,RP,R,R,LAA,30,7.1,0,1,2,21,0,18.2,7.2,3.4,0.5,0.291,48.70%,57.10%,6.70%,4.82,3.36,3.33,3.82,0.2,88.6,98.9,96.2
12988,Andrew Chafin,RP,R,L,DET,33,8,2,3,3,64,0,57.1,10.5,3,0.8,0.289,69.80%,51.30%,9.60%,2.83,2.92,3.06,3.27,0.9,88,98.1,96.3
13182,Kyle Crick,RP,L,R,CHW,30,5,2,0,0,14,0,15.2,10.9,6.3,0,0.294,69.60%,32.40%,0.00%,4.02,4.37,3.18,4.12,0.1,115.4,91.1,99.8
13183,Zach Davies,SP,R,R,ARI,30,7,2,5,0,27,27,134.1,6.8,3.5,1.4,0.257,75.00%,42.90%,13.00%,4.09,4.56,4.83,4.57,0.4,80.3,101.6,96.8
13218,Michael Fulmer,RP,R,R,MIN,30,6.2,5,6,3,67,0,63.2,8.6,4,0.6,0.309,75.20%,35.40%,5.50%,3.39,3.78,3.57,4.45,0.7,109,93.9,98.8
13273,Ross Stripling,SP,R,R,TOR,33,6.1,10,4,1,32,24,134.1,7.4,1.3,0.8,0.269,73.60%,43.80%,7.70%,3.01,3.54,3.11,3.67,3,101.6,108,101.8
13293,Danny Coulombe,RP,L,L,MIN,33,4,0,0,0,10,0,12.1,6.6,6.6,0,0.2,81.30%,37.10%,0.00%,1.46,3.08,3.84,5.52,0,116.2,87.1,89.2
13435,Pierce Johnson,RP,R,R,SDP,32,3.1,1,2,0,15,0,14.1,13.2,5,0.6,0.382,68.00%,54.30%,11.10%,5.02,2.64,2.76,2.79,0.3,113.1,103.5,102.8
13449,Taylor Rogers,RP,L,L,MIL,32,6.1,4,8,31,66,0,64.1,11.8,2.7,1,0.327,63.50%,42.40%,11.90%,4.76,4.08,3.31,3.26,1,96.9,96.4,99.4
13475,Daniel Norris,RP,L,L,DET,30,7.1,2,4,0,41,3,58.2,10.1,4.4,1.7,0.248,64.00%,46.90%,21.60%,5.22,4.49,5.14,3.99,-0.4,93.7,91.4,93.5
13758,Tyler Duffey,RP,R,R,MIN,32,5.1,2,4,2,40,0,44,8,3.1,1.6,0.303,74.30%,44.60%,23.50%,4.91,5.53,4.79,3.57,-0.4,94.2,101.6,101.2
13763,Dominic Leone,RP,R,R,SFG,31,6.2,4,5,3,55,0,49.1,9.5,4.4,1.1,0.35,77.90%,38.90%,10.90%,4.01,3.7,4.04,4.11,0,109.3,99.1,101.2
13774,Zach Eflin,SP,R,R,PHI,29,6,3,5,1,20,13,75.2,7.7,1.8,1,0.282,66.00%,44.50%,9.60%,4.04,3.24,3.56,3.81,1.4,88.6,107.3,102.6
13799,Matt Strahm,RP,R,L,BOS,31,6.1,4,4,4,50,0,44.2,10.5,3.4,1,0.289,67.90%,36.80%,9.40%,3.83,3.34,3.72,4.02,0.3,104.8,101,99.8
13801,Austin Adams,RP,R,R,SDP,32,4,1,0,0,2,0,2.1,7.7,11.6,0,0,100.00%,100.00%,0.00%,0,3.78,5.26,5.26,0,90.7,89,93.1
13834,Alec Mills,SP,R,R,CHC,31,3.1,0,1,0,7,2,17.2,5.6,1.5,3.6,0.35,57.90%,34.30%,22.60%,9.68,8.18,8.04,5.48,-0.6,76.3,102.5,97.7
14078,Michael Wacha,SP,R,R,BOS,31,9.1,11,2,0,23,23,127.1,7.4,2.2,1.3,0.26,80.30%,41.00%,12.40%,3.32,4.56,4.14,3.99,1.5,92.6,103.9,97.1
14361,Ty Blach,RP,R,L,COL,32,3,1,0,1,24,1,44.1,5.9,2.2,0.8,0.32,59.90%,43.00%,7.00%,5.89,4.08,3.86,4.59,0.3,76.8,106.3,93
14542,Carlos Estévez,RP,R,R,COL,30,6,4,4,2,62,0,57,8.5,3.6,1.1,0.247,70.40%,36.10%,10.10%,3.47,4.17,4.08,4.27,0.3,107.4,98.9,100
14710,Edwin Díaz,RP,R,R,NYM,29,6.1,3,1,32,61,0,62,17.1,2.6,0.4,0.33,90.40%,46.90%,9.40%,1.31,1.69,0.9,1.04,3,143.3,100.3,112.4
14843,Michael Lorenzen,SP,R,R,LAA,31,7.2,8,6,0,18,18,97.2,7.8,4.1,1,0.262,71.30%,50.20%,12.40%,4.24,3.91,4.31,4.2,1,98.7,97.8,97.3
14875,Caleb Smith,RP,R,L,ARI,31,5.1,1,3,0,44,1,70,8.4,5,1.8,0.235,80.10%,30.90%,13.60%,4.11,3.86,5.57,5.15,-0.8,87.8,98.6,96.1
14966,Reyes Moronta,RP,R,R,ARI,30,4.1,2,2,2,39,0,37.2,9.1,4.3,1.2,0.255,69.80%,31.70%,9.30%,4.3,3.27,4.41,4.81,0.1,104.4,95.8,97.3
14975,Chad Kuhl,SP,R,R,COL,30,6.1,6,11,0,27,27,137,7.2,3.8,1.6,0.31,69.40%,36.60%,14.30%,5.72,5.28,5.26,4.78,0.5,96.7,95.4,94.5
15010,Corey Knebel,RP,R,R,PHI,31,7.2,3,5,12,46,0,44.2,8.3,5.6,0.8,0.244,71.40%,39.30%,8.50%,3.43,3.8,4.46,4.85,0,103,94.8,94.1
15046,Trevor Gott,RP,R,R,MIL,30,4.1,3,4,0,45,0,45.2,8.7,2.4,1.6,0.227,64.40%,43.70%,15.70%,4.14,2.94,4.45,3.82,-0.1,99.5,101.1,100.9
15291,Steven Brault,RP,L,L,CHC,31,4.2,0,0,0,9,0,9,8,5,0,0.32,71.40%,44.00%,0.00%,3,2.83,3.33,5.31,0.1,86.2,93,86.8
15423,Andrew Heaney,SP,L,L,LAD,32,7.2,4,4,0,16,14,72.2,13.6,2.4,1.7,0.291,78.90%,34.50%,17.90%,3.1,3.39,3.75,2.83,1.1,94.3,102,101.1
15440,Matthew Boyd,SP,L,L,SEA,32,6.1,2,0,0,10,0,13.1,8.8,5.4,0,0.161,85.70%,41.40%,0.00%,1.35,2.7,3.19,4.41,0.1,93.5,94.4,91.6
15552,Chad Green,RP,L,R,NYY,32,6.1,1,1,1,14,0,15,9.6,3,0.6,0.3,72.30%,25.00%,4.50%,3,3.24,2.85,4.15,0.3,116.3,105.1,112.4
15594,Nick Wittgren,RP,R,R,STL,32,5.1,1,0,1,29,0,29,5.3,3.1,0.3,0.333,63.00%,43.00%,2.90%,5.9,4.2,3.84,5.12,0.1,81.7,98.6,92.2
15684,Miguel Castro,RP,R,R,NYY,28,6.1,5,0,0,34,0,29,9.6,4.7,0.6,0.316,69.40%,47.50%,8.00%,4.03,4.87,3.84,4.22,0.1,107.7,92.6,98.8
15823,Zack Littell,RP,R,R,SFG,27,3.1,3,3,1,39,0,44.1,7.9,2.6,1.6,0.31,72.80%,43.40%,14.50%,5.08,3.64,4.65,4.14,-0.3,100.4,104,103.8
15873,Sean Manaea,SP,R,L,SDP,31,6.2,8,9,0,30,28,158,8.9,2.8,1.7,0.291,67.50%,38.20%,14.90%,4.96,4.05,4.53,3.96,1.1,86.8,101,98.1
16137,Carlos Rodón,SP,L,L,SFG,30,7.2,14,8,0,31,31,178,12,2.6,0.6,0.293,75.10%,34.10%,6.50%,2.88,2.64,2.25,2.91,6.2,118,103,107.6
16350,Ryan Borucki,RP,L,L,SEA,29,4.1,2,0,0,32,0,25.1,7.5,3.9,2.1,0.254,73.40%,48.70%,24.00%,5.68,5.9,6.07,4.45,-0.6,100,93.3,95.9
16502,Ryan Yarbrough,SP,R,L,TBR,31,4.1,3,8,0,20,9,80,6.9,2.5,1.4,0.305,73.90%,37.90%,11.50%,4.5,4.4,4.77,4.75,0.1,85.1,101.1,92.6
16918,Luke Weaver,SP,R,R,SEA,29,5.1,1,1,0,26,1,35.2,9.6,3.3,0.3,0.429,58.60%,40.00%,2.80%,6.56,5.45,2.69,3.82,0.5,93.5,102.9,100.2
16929,Touki Toussaint,RP,R,R,LAA,27,2.1,1,1,0,8,2,25.1,9.2,6.8,0.7,0.228,71.00%,53.60%,11.80%,4.62,4.02,4.81,4.78,0,90.7,89.7,89.8
16977,Trevor Williams,SP,R,R,NYM,31,6,3,5,1,30,9,89.2,8.4,2.3,1.2,0.301,82.30%,36.20%,11.00%,3.21,3.67,3.88,3.94,0.7,77.7,104.6,96.5
17432,Jeff Hoffman,RP,R,R,CIN,30,4.1,2,0,0,35,1,44.2,9.1,4.6,1,0.289,74.60%,28.60%,7.50%,3.83,4.2,4.3,5.06,0.2,90.2,92.1,90.8
18088,Cody Stashak,RP,R,R,MIN,29,3.1,3,0,0,11,0,16.1,8.3,0,0.6,0.306,61.60%,26.00%,3.80%,3.86,2.83,2.07,3.63,0.4,112.6,100.2,105.2
18282,Jarlín García,RP,L,L,SFG,30,5.1,1,4,1,58,0,65,7.8,2.5,1.4,0.27,69.20%,39.10%,11.50%,3.74,4.28,4.27,4.25,-0.1,94.7,98.6,98.2
18333,Alex Young,RP,L,L,SFG,29,2.1,1,1,0,25,1,26.2,7.1,3.7,0,0.349,73.20%,54.20%,0.00%,2.36,3.64,2.89,4.05,0.4,93.6,97.6,98.4
18333,Alex Young,RP,L,L,SFG,29,2.1,1,1,0,25,1,26.2,7.1,3.7,0,0.349,73.20%,54.20%,0.00%,2.36,3.64,2.89,4.05,0.4,93.6,97.6,98.4
30115,Robert Suarez,RP,R,R,SDP,32,1,5,1,1,45,0,47.2,11.5,4,0.8,0.248,84.70%,43.30%,11.10%,2.27,3.27,3.22,3.24,0.7,115.4,100.3,104.3
