playerid,Name,Projected WAR,Projected Years,Projected Total,Projected AAV,QO,Signing Team,Years,Total Salary,AAV
15223,Adam Frazier,,1,"$6,000,000 ","$6,000,000 ",,KCR,1,"$4,500,000 ","$4,500,000 "
13590,Jesse Winker,,,$0 ,,,WSN,1,"$2,000,000 ","$2,000,000 "
14221,Jorge Soler,,3,"$48,000,000 ","$16,000,000 ",,SFG,3,"$42,000,000 ","$12,142,857 "
11899,Joc Pederson,,2,"$24,000,000 ","$12,000,000 ",,ARI,1,"$12,500,000 ","$12,500,000 "
12434,Kevin Pillar,,,$0 ,,,LAA,1,"$608,710 ","$608,710 "
12155,Eddie Rosario,,,$0 ,,,WSN,1,"$1,064,516 ","$1,064,516 "
13621,Jeimer Candelario,,3,"$36,000,000 ","$12,000,000 ",,CIN,3,"$45,000,000 ","$15,000,000 "
5235,Justin Turner,,1,"$12,000,000 ","$12,000,000 ",,TOR,1,"$13,000,000 ","$13,000,000 "
12532,Kolten Wong,,,$0 ,,,BAL,1,$0 ,
2136,David Peralta,,,$0 ,,,SDP,1,"$800,000 ","$800,000 "
5933,Jean Segura,,,$0 ,,,,,,
9847,Andrew McCutchen,,,$0 ,,,PIT,1,"$5,000,000 ","$5,000,000 "
14111,Eric Haase,,,$0 ,,,MIL,1,"$516,129 ","$516,129 "
11281,Whit Merrifield,,2,"$16,000,000 ","$8,000,000 ",,PHI,1,"$8,000,000 ","$8,000,000 "
2396,Carlos Santana,,1,"$7,000,000 ","$7,000,000 ",,MIN,1,"$5,250,000 ","$5,250,000 "
17321,Michael Chavis,,,$0 ,,,SEA,1,$0 ,
16512,Isiah Kiner-Falefa,,,$0 ,,,TOR,2,"$15,000,000 ","$7,500,000 "
15279,Garrett Cooper,,,$0 ,,,CHC,1,"$733,871 ","$733,871 "
13853,Joey Wendle,,,$0 ,,,NYM,1,"$2,000,000 ","$2,000,000 "
14735,Brett Phillips,,,$0 ,,,CHW,1,$0 ,
19508,Kyle Lewis,,,$0 ,,,,,,
10950,Adam Duvall,,1,"$8,000,000 ","$8,000,000 ",,ATL,1,"$3,000,000 ","$3,000,000 "
18030,Harrison Bader,,2,"$18,000,000 ","$9,000,000 ",,NYM,1,"$10,500,000 ","$10,500,000 "
14894,Tony Kemp,,,$0 ,,,BAL,1,"$91,398 ","$91,398 "
10762,Corey Dickerson,,,$0 ,,,,,,
10472,Enrique Hernández,,,$0 ,,,LAD,1,"$4,000,000 ","$4,000,000 "
12510,Curt Casali,,,$0 ,,,SFG,1,,
10681,Gio Urshela,,,$0 ,,,DET,1,"$1,500,000 ","$1,500,000 "
15653,Dominic Smith,,,$0 ,,,CHC,1,$0 ,
5254,Robbie Grossman,,,$0 ,,,CHW,1,"$1,435,484 ","$1,435,484 "
8623,Donovan Solano,,,$0 ,,,SDP,1,"$790,323 ","$790,323 "
13744,David Dahl,,,$0 ,,,PHI,1,$0 ,
5452,Ji Man Choi,,,$0 ,,,NYM,1,$0 ,
4314,Joey Votto,,,$0 ,,,TOR,1,$0 ,
15161,Mitch Garver,,2,"$20,000,000 ","$10,000,000 ",,SEA,2,"$24,000,000 ","$12,000,000 "
11489,Michael A. Taylor,,2,"$14,000,000 ","$7,000,000 ",,PIT,1,"$4,000,000 ","$4,000,000 "
