playerid,Name,Projected WAR,Projected Years,Projected Total,Projected AAV,QO,Signing Team,Years,Total Salary,AAV
19844,Abraham Toro,0.5,,,,,BOS,1,,
10950,Adam Duvall,0,1,"$3,000,000","$3,000,000",,,,,
15223,Adam Frazier,0.2,,,,,PIT,1,"$1,525,000","$1,525,000"
15937,Aledmys Díaz,0,,,,,,,,
17678,Alex Bregman,4,6,"$162,000,000","$27,000,000","$21,050,000",BOS,3,"$120,000,000","$31,701,975"
17027,Alex Verdugo,1.1,2,"$16,000,000","$8,000,000",,,,,
15518,Amed Rosario,0.6,,,,,WSN,1,"$2,000,000","$2,000,000"
9847,Andrew McCutchen,0.1,,,,,PIT,1,"$5,000,000","$5,000,000"
3473,Anthony Rizzo,0.3,1,"$8,000,000","$8,000,000",,,,,
14551,Anthony Santander,2.7,4,"$80,000,000","$20,000,000","$21,050,000",TOR,5,"$92,500,000","$18,500,000"
19363,Austin Hays,0.5,,,,,CIN,1,"$5,000,000","$5,000,000"
12976,Austin Hedges,0.7,,,,,CLE,1,"$4,000,000","$4,000,000"
16153,Austin Slater,0.5,1,"$4,000,000","$4,000,000",,CHW,1,"$1,750,000","$1,750,000"
15271,Austin Wynns,0,,,,,CIN,1,,
12160,Ben Gamel,0.2,,,,,HOU,1,"$1,200,000","$1,200,000"
11615,Brandon Drury,0.3,,,,,CHW,1,,
17907,Brendan Rodgers,1,,,,,HOU,1,,
19600,Bryan De La Cruz,0,,,,,ATL,1,"$860,000","$860,000"
2396,Carlos Santana,1.5,1,"$7,000,000","$7,000,000",,CLE,1,"$12,000,000","$12,000,000"
13620,Carson Kelly,1.5,,,,,CHC,2,"$11,500,000","$5,750,000"
19252,Cavan Biggio,0,,,,,KCR,1,,
10028,Christian Bethancourt,0.4,,,,,TOR,1,,
13419,Christian Walker,3.1,3,"$54,000,000","$18,000,000","$21,050,000",HOU,3,"$60,000,000","$20,000,000"
16572,Connor Joe,0.3,,,,,SDP,1,"$1,000,000","$1,000,000"
12510,Curt Casali,0.1,,,,,ATL,1,,
16535,Danny Jansen,1.6,2,"$16,000,000","$8,000,000",,TBR,1,"$8,500,000","$8,500,000"
2136,David Peralta,0.2,,,,,,,,
17766,DJ Stewart,0,,,,,PIT,1,,
8623,Donovan Solano,0.7,,,,,SEA,1,"$3,500,000","$3,500,000"
20126,Dylan Carlson,0.6,,,,,BAL,1,"$975,000","$975,000"
12155,Eddie Rosario,-0.1,,,,,LAD,1,,
11680,Elias Díaz,0.3,,,,,SDP,1,"$3,500,000","$3,500,000"
17484,Eloy Jiménez,0.5,1,"$6,000,000","$6,000,000",,TBR,1,,
10472,Enrique Hernández,0.6,1,"$5,000,000","$5,000,000",,LAD,1,"$6,500,000","$6,500,000"
15279,Garrett Cooper,0,,,,,ATL,1,,
19262,Garrett Hampson,0.1,,,,,ARI,1,,
11442,Gary Sánchez,0.8,,,,,BAL,1,"$8,500,000","$8,500,000"
19901,Gavin Sheets,0.1,,,,,SDP,1,,
10681,Gio Urshela,1.4,,,,,ATH,1,"$2,150,000","$2,150,000"
16997,Gleyber Torres,3,3,"$54,000,000","$18,000,000",,DET,1,"$15,000,000","$15,000,000"
27506,Ha-Seong Kim,2.6,4,"$73,520,000","$18,380,000",,TBR,2,"$29,000,000","$14,500,000.00"
18030,Harrison Bader,1.1,1,"$10,000,000","$10,000,000",,MIN,1,"$6,250,000","$6,250,000"
sa3012639,Hyeseong Kim,1.4,,,,,LAD,3,"$12,500,000","$4,166,667"
13324,Ildemaro Vargas,0.3,,,,,ARI,1,,
16219,J.D. Davis,0.2,,,,,LAA,1,,
6184,J.D. Martinez,0.1,1,"$9,000,000","$9,000,000",,,,,
13723,Jacob Stallings,0.1,,,,,COL,1,"$2,500,000","$2,500,000"
15194,Jake Bauers,0,,,,,MIL,1,,
12859,James McCann,0.5,,,,,,,,
4940,Jason Heyward,0.4,1,"$6,000,000","$6,000,000",,SDP,1,"$1,000,000","$1,000,000"
13590,Jesse Winker,1,2,"$14,000,000","$7,000,000",,NYM,1,"$7,500,000","$7,500,000"
11899,Joc Pederson,1.9,2,"$28,000,000","$14,000,000",,TEX,2,"$37,000,000","$18,500,000"
14128,Joey Gallo,-0.1,,,,,CHW,1,,
13853,Joey Wendle,0,,,,,,,,
12037,Jon Berti,0.4,,,,,CHC,1,"$2,000,000","$2,000,000"
13152,Jorge Polanco,1.4,,,,,SEA,1,"$7,000,000","$7,750,000"
15676,José Abreu,-0.1,,,,,,,,
10231,Jose Iglesias,1.4,,,,,,,,
13145,Josh Bell,0.7,1,"$8,000,000","$8,000,000",,WSN,1,"$6,000,000","$6,000,000"
19734,Josh Rojas,1.1,,,,,CHW,1,"$3,500,000","$3,500,000"
20123,Juan Soto,6.5,13,"$585,000,000","$45,000,000","$21,050,000",NYM,15,"$765,000,000","$51,000,000"
10815,Jurickson Profar,1.9,3,"$45,000,000","$15,000,000",,ATL,3,"$42,000,000","$14,000,000"
5235,Justin Turner,0.6,1,"$8,000,000","$8,000,000",,CHC,1,"$6,000,000","$6,000,000"
17696,Kevin Newman,0.3,,,,,LAA,1,"$2,750,000","$2,750,000"
12434,Kevin Pillar,0.1,,,,,,,,
