playerid,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO
13050,Anthony DeSclafani,SFG,0,2,0,5,5,19,8.052632387,1.894737032,1.894737032,0.441176471,0.53892216,0.436619718,0.153846153,6.631579613,5.45,4.849273281,4.138199763,0.012176744,0.11246201,92.97347445,-2.950832244,,,,0.31306991,92.2339199,-2.913697876,0.05775076,86.25860917,-2.774938323,0.38905775,87.47662354,-3.068832606,0.12765957,80.9270252,0.50006438,,,,,,,,,,,,,,57.47368421,,94.76666667,88.37789474,86.7023622,113.2930233,,,90.07659574,99.62948328,96.25653495,
13074,Yu Darvish,SDP,16,8,0,30,30,194.2,9.107877188,1.710616528,1.017123341,0.250497018,0.78219013,0.368522072,0.096491228,3.097602902,3.49,3.312773478,3.577452725,4.173066616,0.24444444,94.99977402,7.395781823,0.05117845,90.31330952,-1.201930378,0.09494949,94.56031832,2.686778121,0.00942761,87.74619838,0.689718641,0.45824916,84.83571937,15.24702352,0.07441077,76.7305748,4.347669818,0.0030303,69.81207954,0.056271747,0.06430976,89.32795116,2.484224938,,,,,,,,,101.8655462,115.401581,85.82952756,132.8145729,,89.1984375,130.8149321,107.622686,102.9709525,104.202962,
13125,Gerrit Cole,NYY,13,8,0,33,33,200.2,11.52657866,2.242525031,1.48006652,0.268292683,0.78222778,0.424430641,0.168367346,3.498339048,3.31,3.466251618,2.774320037,3.426731586,0.51863164,97.77130264,11.57646655,0.05436775,92.28798718,1.343892094,,,,0.08430055,89.72782212,-1.189459912,0.23488088,88.7331762,9.389198333,0.10781918,82.90966382,-1.20224306,,,,,,,,,,,,,,88.25507246,,156.6723793,,146.6033829,105.8436261,93.03028846,,139.1322433,102.2717604,110.0223411,
13133,Derek Law,- - -,2,3,0,17,0,19.2,7.779662777,3.661017778,1.372881667,0.322580645,0.69444444,0.46875,0.157894736,4.118645,4.78,4.892092421,4.339228839,-0.072970711,0.07102273,95.37619629,0.706905134,0.50568182,90.72369453,-1.520691264,0.14772727,94.97652963,-2.469444837,0.04261364,89.57454987,0.268180873,0.11079545,85.2588188,-1.014311951,0.12215909,77.07236569,0.287459716,,,,,,,,,,,,,,87.67,106.8727273,87.15357143,71.5462963,116.8512821,,90.65141243,,91.03482993,100.1039965,96.30253186,
13164,Eduardo Rodriguez,DET,5,5,0,17,17,91,7.120879718,3.362637645,1.186813286,0.276752768,0.69679849,0.433691756,0.115384615,4.054945395,4.2,4.431112431,4.408677462,0.638090491,0.36963921,92.03950132,7.207971063,0.24438393,88.94895217,3.726772878,0.18107556,91.86141624,-3.237214621,0.16269571,85.84875131,-6.931904666,0.04220558,83.17809665,-2.834762551,,,,,,,,,,,,,,,,,87.93151261,,61.84761905,87.725,100.44,,85.63854749,,78.27513624,100.7726158,94.97125341,
13182,Kyle Crick,CHW,2,0,0,14,0,15.2,10.91489539,6.319149962,0,0.294117647,0.69565217,0.323529411,0,4.021277249,4.37,3.176260799,4.121177593,0.136051074,0.04301075,92.27083333,0.300771181,,,,0.38351254,92.38912821,1.393432993,,,,0.5734767,79.8928772,-0.144467231,,,,,,,,,,,,,,,,,,,41.71666667,106.7046729,126.7525,,,,115.4064516,91.1483871,99.80143369,
13183,Zach Davies,ARI,2,5,0,27,27,134.1,6.833747157,3.4838711,1.406947944,0.256997455,0.75034106,0.428571428,0.130434782,4.08684879,4.56,4.832034044,4.574015231,0.445978314,,,,0.05802792,87.4448646,-1.174807116,0.54101222,89.43458291,-9.653405689,0.33246073,79.59836368,9.455174383,0.0095986,76.1192516,-0.615280297,0.05890052,74.54253472,-2.261854336,,,,,,,,,,,,,,103.6653543,85.1080292,,67.24204046,84.55,,58.21937984,,80.2541958,101.6484266,96.79755245,
13185,Orlando Arcia,ATL,0,0,0,1,0,1,0,9,0,0,1,0,0,0,2.98,6.112431002,10.55353921,-0.012589648,0.2,83.81654358,0.149968572,,,,,,,0.8,49.45225143,0.330451462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13190,Jordan Weems,WSN,0,1,0,32,0,39.2,9.302522499,2.722689512,1.588235549,0.264150943,0.61827957,0.339285714,0.129629629,5.218488231,3.39,4.246884965,3.968060075,0.086458765,0.63821138,96.78011379,-0.201508798,,,,,,,,,,0.2696477,87.27159234,0.267472744,,,,,,,0.09214092,87.23723288,-0.49176053,,,,,,,,130.5691176,121.2,120.2575372,,121.4286517,,,,121.5036585,100.554336,105.6813008,
13218,Michael Fulmer,- - -,5,6,3,67,0,63.2,8.623037769,3.958115697,0.5654451,0.308988764,0.75231481,0.35359116,0.05479452,3.392670598,3.78,3.567928443,4.448561539,0.680271629,0.15244487,94.34050093,-2.820470434,,,,0.13135187,94.50549584,0.146954022,0.06040268,86.63643198,-0.88751971,0.63470757,90.28694711,7.713639565,0.021093,78.99639962,-2.02667312,,,,,,,,,,,,,,84.96190476,101.5045455,94.30552147,105.9896296,,,,,108.9842761,93.94141898,98.77488015,
13259,Louis Head,- - -,0,0,1,28,0,28.2,8.162792508,4.70930337,1.255814232,0.318181818,0.68965517,0.288888888,0.095238095,6.27907116,4.62,5.205454722,5.560414625,-0.224417323,0.3992674,93.55358775,-7.050565533,,,,,,,0.04578755,88.51812988,0.24062096,0.55494505,82.46271094,0.002932183,,,,,,,,,,,,,,,,,97.575,,104.7570776,,102.5184818,,,,103.2304789,94.028925,95.60794034,
13273,Ross Stripling,TOR,10,4,1,32,24,134.1,7.436724953,1.339950442,0.803970265,0.268542199,0.73649755,0.4375,0.076923076,3.014888494,3.54,3.112431002,3.670279371,3.006039905,0.33498268,91.94653284,2.125230063,,,,0.07521029,89.84356609,2.953059595,0.27263731,82.5471311,3.804460298,0.22018803,87.0771638,7.391937431,0.09698169,76.07989253,-1.340542667,,,,,,,,,,,,,,113.1271248,,83.82058394,76.53071895,111.9136771,127.005102,,,101.5530595,108.0472608,101.824595,
13293,Danny Coulombe,MIN,0,0,0,10,0,12.1,6.567568753,6.567568753,0,0.2,0.8125,0.371428571,0,1.459459723,3.08,3.842160863,5.52258049,0.029499618,0.35111111,91.75343651,2.1998653,,,,0.01777778,90.9504776,-0.574099865,0.19555556,76.59944292,-0.436498206,0.28444444,83.27099609,0.753695119,0.15111111,79.86404239,0.689204697,,,,,,,,,,,,,,135.7295455,117.9,101.8042857,42.11538462,137.165625,,,,116.1708696,87.05913043,89.21086957,
13324,Ildemaro Vargas,WSN,0,0,0,1,0,1,0,0,0,0,1,0.666666666,0,0,1.77,3.112431002,4.592800406,0.005487004,0.16666667,74.00479889,0.055284258,,,,,,,,,,0.16666667,55.84159851,0.152855098,0.66666667,39.14665222,0.457506392,,,,,,,,,,,,,,,,,,,,,,,,,
13339,Adrian Sampson,CHC,4,5,0,21,19,104.1,6.297124793,2.329073553,0.862619835,0.287974684,0.77586207,0.4,0.076923076,3.105431405,4.4,3.792942205,4.39148557,1.402083226,0.29070456,92.59310609,4.258186322,,,,0.36471285,92.14759093,3.234822121,0.13499112,85.13017621,2.213706125,0.20959147,83.68850139,-1.580258932,,,,,,,,,,,,,,,,,73.16759092,,71.81005247,71.02094017,96.92447503,,51.05692308,,74.40132804,101.8802768,94.72103626,
13345,Luis Cessa,CIN,4,4,0,46,10,80.2,6.582645147,3.123967188,1.561983594,0.266094421,0.71759259,0.487704918,0.168674698,4.574380526,4.43,5.021522061,4.288513663,0.053977549,0.2096248,93.45086409,0.104931917,,,,0.21288744,93.7876781,1.09982352,0.18841762,87.93892045,-0.647785604,0.38907015,82.99569248,-2.069815706,,,,,,,,,,,,,,,,,58.40301724,,57.67459677,88.76129246,108.7337282,,,,84.33114475,102.6995682,99.30446518,
13346,Hoby Milner,MIL,3,3,0,67,0,64.2,8.907218947,2.087629441,0.69587648,0.309392265,0.71052632,0.489010989,0.094339622,3.757732993,3.39,3.158822767,3.366960635,0.723658979,0.00275735,89.15296427,-0.01686145,,,,0.46691176,89.02324526,1.320260283,0.203125,81.38224689,0.213035814,,,,0.32720588,79.53704354,0.847574715,,,,,,,,,,,,,,75.32217195,,89.2,97.46466809,,,,,89.09465438,101.2870046,96.36608295,
13361,Steven Matz,STL,5,3,0,15,10,48,10.1250006,1.875000112,1.500000089,0.315789474,0.66929134,0.382978723,0.16,5.250000313,3.64,3.779097708,3.154482467,0.668855846,,,,,,,0.4852071,94.70835735,-4.611214515,0.28994083,85.27122728,4.164994821,0.02366864,89.68279419,-0.913814664,0.20118343,78.17079719,-1.385235559,,,,,,,,,,,,,,104.0704918,120.1911765,,81.58508557,86.92272727,,,,95.92418332,106.8753706,105.072627,
13394,Dylan Floro,MIA,1,3,10,56,0,53.2,8.049690395,2.515528248,0.670807533,0.287581699,0.69686411,0.451612903,0.076923076,3.018633898,3.03,3.131064544,3.596515699,0.731646836,0.26556992,92.45483614,4.090817984,,,,0.36897767,92.60650129,5.12368077,0.14688602,85.10796875,-0.755577475,0.21856639,84.14854251,0.629418999,,,,,,,,,,,,,,,,,72.71,,107.25671,86.67571885,93.17195767,,,,91.51114983,107.0487805,101.8902439,
13397,Sam Selman,OAK,0,0,0,16,0,18.1,8.836366088,2.454546136,1.963636908,0.255319149,0.73170732,0.333333333,0.153846153,4.909092271,3.64,4.966976971,4.230046103,-0.199226409,0.51525424,89.35721628,-0.389166795,,,,0.01355932,90.88224792,0.379765417,,,,0.47118644,79.35513855,-0.586844157,,,,,,,,,,,,,,,,,,,60.97042254,64.63571429,111.9985612,,,,85.18813559,93.21220339,91.55830508,
13401,R.J. Alvarez,NYM,0,1,0,1,0,2.1,7.714286765,11.57143015,7.714286765,0.333333333,0.95238095,0.25,0.5,11.57143015,21.94,16.3981471,7.793064903,-0.263767868,0.17647059,93.25187174,-1.885175586,,,,0.33333333,92.96714154,-1.013984494,0.1372549,86.60451835,0.325893667,0.35294118,82.78166368,-0.669035163,,,,,,,,,,,,,,,,,112.7,,86.9,71.9,112.7,,,,94.54705882,93.01176471,93.64313725,
13420,Matt Koch,SEA,0,0,0,4,0,4.1,6.230769688,2.076923229,4.153846459,0.230769231,0.625,0.2,0.25,8.307692917,5.97,8.420123699,5.153113128,-0.159913361,0.30555556,94.03828569,-0.904568776,0.52777778,87.75140702,-1.006760579,,,,,,,0.16666667,83.74297078,0.767505582,,,,,,,,,,,,,,,,,,,93.61363636,,111.2043478,,96.83703704,,100.4416667,98.13333333,99.69027778,
13424,Drew VerHagen,STL,3,1,0,19,0,21.2,7.476924613,5.81538581,2.076923504,0.323529412,0.68571429,0.338028169,0.172413793,6.646155211,6.29,6.527816319,5.509233619,-0.59578526,0.22673031,95.05765831,-5.309191644,0.02863962,91.16816203,0.603858151,0.24105012,94.65227607,-2.587817669,,,,0.22195704,81.51109921,2.833309203,0.13126492,78.28870739,0.348862641,,,,0.150358,89.52957589,-3.103268947,,,,,,,,95.92424242,90.64821429,90.54408602,92.83636364,150.8554348,,54.03076923,,104.051074,91.21646778,94.1646778,
13431,Marcus Stroman,CHC,6,7,0,25,25,138.2,7.723558259,2.336538633,1.038461615,0.271573604,0.7254623,0.517241379,0.139130434,3.504807949,3.94,3.761469511,3.489179694,1.956466317,0.07611188,92.89508424,-2.176343106,0.11416781,90.39858653,-0.902080964,0.40165062,92.16606022,5.727884322,0.11829436,87.28912306,-3.775031496,0.28243925,85.1796114,5.902788334,0.00733608,81.61170197,-0.391398534,,,,,,,,,,,,,,,52.1,92.17891892,95.45849487,113.9061538,,107.2556522,61.31340996,98.61609354,100.886199,102.5107749,
13435,Pierce Johnson,SDP,1,2,0,15,0,14.1,13.18604856,5.023256594,0.627907074,0.382352941,0.67961165,0.542857142,0.111111111,5.023256594,2.64,2.763593738,2.786151274,0.293300927,0.38571429,94.71208587,-0.936044004,,,,,,,,,,,,,0.61428571,84.10720612,1.408799164,,,,,,,,,,,,,,,125.8526316,92.16944444,,,,,,113.1176259,103.4852518,102.7992806,
13449,Taylor Rogers,- - -,4,8,31,66,0,64.1,11.75129696,2.658031456,0.979274747,0.326797386,0.63471503,0.424050632,0.118644067,4.756477342,4.08,3.314503568,3.257640268,1.005404353,0.00092166,94.32740021,0.081322357,,,,0.42857143,94.33472152,-0.987294745,,,,0.57050691,80.91014994,1.982348457,,,,,,,,,,,,,,,,,,,46.3,81.18168103,108.788853,,,,96.86746544,96.35612903,99.4243318,
13470,Lucas Sims,CIN,1,0,1,6,0,6.2,6.750001609,8.100001931,0,0.263157895,0.41666667,0.526315789,0,9.450002253,4.94,4.762431395,5.872708713,-0.032116756,0.42635659,93.79204545,-1.737615824,,,,,,,,,,0.48062016,83.6612667,0.989444256,0.09302326,78.84504191,0.419379007,,,,,,,,,,,,,,,109.4384615,100.2345455,,116.6519231,,,,108.3271318,87.49069767,90.1503876,
13475,Daniel Norris,- - -,2,4,0,41,3,58.2,10.12500126,4.448864191,1.68750021,0.248175182,0.6402439,0.469387755,0.215686274,5.215909741,4.49,5.140840345,3.990252241,-0.421548374,0.33531746,91.46658921,-0.598750859,,,,0.08531746,90.91900493,-1.52959834,0.27876984,86.88419871,5.376080137,0.28571429,80.16134771,-3.662188798,0.01488095,76.33031006,-0.301336575,,,,,,,,,,,,,,117.0300353,64.40666667,85.4684058,61.53417722,90.46027875,,,,93.67388898,91.35374145,93.47468314,
13483,Connor Sadzeck,MIL,0,0,0,2,0,3,6,3,6,0.25,0.90909091,0.1,0.25,9,8.28,11.44576433,6.726749412,-0.109524302,0.22916667,94.89364347,-2.26419222,,,,0.0625,94.01143392,0.115592696,0.02083333,84.51740265,-0.036544658,0.6875,89.04106001,0.363422032,,,,,,,,,,,,,,,,,149.3,,87.54545455,87.93333333,93.2,,,,92.74375,83.7875,88.34791667,
13543,Blake Snell,SDP,8,10,0,24,24,128,12.0234375,3.5859375,0.7734375,0.306666667,0.74679943,0.365695792,0.083333333,3.375,3.19,2.799931002,3.209374449,3.624652386,0.55531824,95.73403846,2.237656645,,,,,,,0.05040581,87.02678099,-1.815829564,0.24305852,88.74923111,11.18761103,0.15121743,81.32623808,-0.757003039,,,,,,,,,,,,,,91.79661017,125.4714689,110.8172308,,129.516696,,,,116.6227778,99.09606838,105.8225641,
13580,Steven Okert,MIA,5,5,0,60,0,51.1,11.04545728,4.558442688,1.227273031,0.228813559,0.83916084,0.35,0.129629629,2.980520219,3.22,4.359184557,4.143728942,-0.036598653,0.31921488,93.65345621,-2.081580862,,,,,,,,,,0.68078512,81.91722781,6.548395704,,,,,,,,,,,,,,,,,,,86.85404531,,118.9650986,,,,108.7525934,97.28755187,101.1481328,
13594,Robert Stephenson,- - -,2,2,0,58,0,58,8.534483881,2.172414079,1.551724342,0.317365269,0.609375,0.285714285,0.120481927,5.431035197,4.78,4.233120804,4.110201142,0.216148231,0.4717608,96.88151042,-9.351327401,,,,,,,0.0055371,88.07243652,-0.240005568,0.50498339,84.00002142,1.759046566,0.01328904,78.16815948,0.498063583,,,,,,,,,,,,,0.00442968,,118.06,109.0405467,,126.1669546,,,84.96,117.7698031,102.0242888,107.1483589,
13607,Carl Edwards Jr.,WSN,6,3,2,57,0,62,8.129032758,3.629032481,1.161290394,0.259036145,0.83586626,0.477011494,0.125,2.758064686,3.31,4.241463329,4.092167221,0.099938259,0.67751479,94.58799582,2.887187473,,,,,,,0.09664694,90.57664023,1.359868497,,,,0.22583826,80.10267979,-1.434998792,,,,,,,,,,,,,,88.62040816,84.4558952,105.9520059,,,,,,99.50138477,98.91859545,102.5994065,
13619,Jakob Junis,SFG,5,7,0,23,17,112,7.875,2.008928571,1.044642857,0.316568047,0.70336391,0.431034482,0.112068965,4.419642857,4.14,3.648145287,3.672456456,1.337539375,0.0083426,92.00489909,1.983449128,0.00055617,84.2492981,0.039891187,0.31813126,91.69665613,-0.028627984,0.15850945,84.53566338,-10.49662971,0.51446051,82.99566934,1.721608538,,,,,,,,,,,,,,,,,81.58096886,,50.61333333,72.4625,122.1307607,,105.2315789,,99.37515051,103.7056542,104.2008585,
13620,Carson Kelly,ARI,0,0,0,4,0,4.2,0,3.857143383,1.928571691,0.380952381,0.72916667,0.181818181,0.09090909,7.714286765,6.17,7.183860128,7.887588104,-0.074573681,1,60.97430779,-3.061902564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-151.5,177.3,77.1,
