playerid,Name_x,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2022 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
10954,Jacob deGrom,NYM,5,4,0,11,11,64.1,14.26943118,1.119171073,1.259067457,0.258333333,0.73446328,0.393700787,0.16981132,3.077720451,2.24,2.133156313,1.534082355,2.232882738,0.47284345,98.90497431,6.319318604,,,,0.00212993,98.33465576,0.117643647,0.08093717,92.03196957,-0.597127385,0.39297125,92.63686695,8.626096174,0.05111821,83.42760213,2.098569039,,,,,,,,,,,,,,74.0025974,108.99375,136.7403587,,146.7604336,,,,134.117766,107.0419149,115.8591489,,Jacob deGrom,SP,L,R,NYM,35,8.139,2.232882738,,3.0,120000000,40000000.0,19650000.0,TEX,5.0,185000000.0,37000000.0
11189,Vince Velasquez,CHW,3,3,0,27,9,75.1,8.243362971,2.986725714,1.314159314,0.268867925,0.66582915,0.357466063,0.101851851,4.778761143,4.65,4.254023941,4.478093356,0.404526614,0.45199063,93.33981339,6.798978452,,,,0.07103825,92.21722882,-1.157652754,0.08587041,88.3493386,-2.954883542,0.2217018,84.83974747,-1.853444342,0.16939891,81.72424935,-1.554319926,,,,,,,,,,,,,,81.71727273,,99.01230228,74.2377551,100.79,99.92206573,,,96.31467619,101.596014,100.8824971,,Vince Velasquez,SP,R,R,CHW,31,7.086,0.404526621,,,0,,,PIT,1.0,3150000.0,3150000.0
11384,Tommy Kahnle,LAD,0,0,1,13,0,12.2,9.94736892,2.131579054,1.421052703,0.125,0.85365854,0.68,0.285714285,2.842105406,2.39,4.37558896,3.1410562,-0.041938089,0.22988506,95.61595459,-2.89520536,,,,,,,0.76436782,89.63994948,5.945336062,0.00574713,87.18360138,0.039891187,,,,,,,,,,,,,,,,,130.0315789,,90.7575,,,,,,120.7126437,100.1741379,100.337931,,Tommy Kahnle,RP,R,R,LAD,33,7.131,-0.041938089,,,0,,,NYY,2.0,11500000.0,5750000.0
11423,Jose Quintana,- - -,6,7,0,32,32,165.2,7.44265605,2.553319959,0.434607653,0.301652893,0.74170124,0.464212678,0.052631578,2.933601655,3.83,2.991706654,3.72218644,3.96931994,0.36186627,91.28503331,15.91145321,0.00110213,89.64483643,-0.164719667,0.16127847,91.50809724,4.022634096,0.19507715,86.46456972,-10.10334257,,,,0.28067597,78.45437255,10.43451077,,,,,,,,,,,,,,71.09246704,109.2708877,70.29388379,82.07286996,,,,,83.37531618,102.7305049,96.29399137,,Jose Quintana,SP,R,L,STL,34,10.133,3.96931982,,2.0,24000000,12000000.0,,NYM,2.0,26000000.0,13000000.0
11487,Joely Rodríguez,NYM,2,4,0,55,0,50.1,10.19205555,4.649007797,0.536423977,0.302325581,0.63271605,0.538461538,0.088235294,4.470199805,3.62,3.23163633,3.45678658,0.413046271,0.06057007,92.83021216,-1.714575939,,,,0.49287411,92.80396273,5.225787807,0.3871734,87.81061278,3.514046472,0.05938242,83.925,-1.583176672,,,,,,,,,,,,,,,,,117.4504587,,102.532,96.88485577,120.0530612,,,,106.4114422,101.5258641,100.5675805,,Joely Rodríguez,RP,L,L,NYM,31,3.096,0.413046271,,,0,,,BOS,1.0,2000000.0,2000000.0
11490,Aaron Sanchez,- - -,3,4,0,15,10,60.0,6.150000293,2.250000107,1.200000057,0.357142857,0.59907834,0.52763819,0.137931034,6.600000315,4.53,4.479097733,4.176788143,0.217748006,0.17097416,92.55057259,0.023823433,,,,0.44632207,92.12743923,-5.137387145,0.09840954,87.63948074,1.555573799,,,,0.28429423,79.07385339,-5.769028142,,,,,,,,,,,,,,67.11851852,114.2566434,68.50304569,84.34674699,,,,,87.88230483,101.9930388,98.3420272,,Aaron Sanchez,SP,R,R,MIN,30,6.113,0.217748001,,,0,,,MIN,1.0,0.0,
11589,José Ureña,- - -,3,8,0,21,17,97.0,5.84536117,3.989690957,1.020618617,0.312101911,0.66133721,0.49691358,0.117021276,5.010309574,4.91,4.648513567,4.608871543,0.71473667,0.06411837,96.0392773,-2.37828327,,,,0.53144266,95.61111797,-1.943490397,0.15906289,90.14103947,-5.913669724,0.24537608,86.73158947,0.57260108,,,,,,,,,,,,,,,,,48.25807692,,92.64418605,98.71149701,97.35301508,,,,89.73779285,98.30228113,95.2810111,,José Ureña,SP,R,R,COL,31,6.165,0.7147367,,,0,,,COL,1.0,3500000.0,3500000.0
11632,Heath Hembree,- - -,3,1,0,26,0,22.0,6.954547263,6.954547263,2.454546093,0.298507463,0.69364162,0.246575342,0.176470588,7.363638279,7.55,7.430613943,6.173002695,-0.695595063,0.51879699,94.40851921,-7.166462813,0.00501253,93.41484833,-0.007782944,,,,,,,0.44611529,84.41041136,-0.76046247,0.03007519,79.5817159,-1.287265018,,,,,,,,,,,,,,,89.21666667,84.91014493,,105.8539326,,,,94.30984512,93.75913468,94.13511448,,Heath Hembree,RP,R,R,LAD,34,6.096,-0.695595086,,,0,,,TBR,1.0,0.0,
11674,Jameson Taillon,NYY,14,5,0,32,32,177.1,7.663534054,1.624060197,1.31954891,0.276264591,0.75326216,0.400749063,0.123809523,3.907894849,4.2,3.941378394,3.788432383,2.41018796,0.35935829,94.05187407,-1.718090687,0.10766488,90.71153896,-0.593159687,0.10695187,94.11740234,-0.192922506,0.08306595,87.69940317,-4.696411178,0.19001783,86.14469981,1.990977213,0.14688057,81.04141383,4.951956369,,,,,,,,,,,,,0.00606061,83.1802521,103.6070048,97.98413655,90.27346278,102.5685009,,96.64321767,,97.38808587,105.8755277,103.9417174,,Jameson Taillon,SP,R,R,NYY,31,6.11,2.41018796,,3.0,36000000,12000000.0,,CHC,4.0,68000000.0,17000000.0
11760,Drew Smyly,CHC,7,8,0,22,22,106.1,7.702194726,2.200627065,1.35423204,0.275080906,0.78467153,0.401234567,0.116788321,3.470219602,4.14,4.231553312,4.182750254,1.217162132,,,,0.19210679,88.66724297,-2.848867226,0.37608822,92.69397425,-1.207062367,0.00232153,84.4987793,0.203924451,,,,0.42948346,78.84853252,1.33198921,,,,,,,,,,,,,,29.43333333,,,80.67990581,,119.5037838,79.45117647,,96.94541231,105.7504065,103.2518583,,Drew Smyly,SP,L,L,CHC,34,10.143,1.217162132,,1.0,7000000,7000000.0,,CHC,2.0,23000000.0,11500000.0
11762,Noah Syndergaard,- - -,10,10,0,25,24,134.2,6.349010381,2.071782335,0.935643635,0.294536817,0.72359844,0.427906976,0.085365853,3.943069605,4.4,3.832728086,4.284069077,2.220269449,0.14856861,94.46213549,-5.921737026,,,,0.3242843,93.90969361,13.81432609,0.19595262,88.78267153,-6.269907169,0.22359329,85.01266486,-1.125649299,0.10760118,76.79117493,-0.676832654,,,,,,,,,,,,,,66.25275,114.8809689,51.9654485,85.2403698,97.953125,,,,81.78619616,105.5523905,100.7942897,,Noah Syndergaard,SP,L,R,PHI,30,7.149,2.220269442,,2.0,28000000,14000000.0,,LAD,1.0,13000000.0,13000000.0
11801,Hansel Robles,BOS,1,3,2,26,0,24.2,7.662164137,5.108109425,1.824324795,0.281690141,0.625,0.394736842,0.172413793,5.837839343,6.49,5.747566816,4.85286575,-0.6453107,0.507109,96.2029881,-0.995174687,,,,,,,0.16350711,90.46308877,-0.300415114,0.32938389,88.92210685,-2.433197729,,,,,,,,,,,,,,,,,48.77714286,,94.41380952,68.3,124.1194245,,,,96.44265403,93.83530806,93.43341232,,Hansel Robles,RP,R,R,BOS,32,6.119,-0.6453107,,,0,,,,,,
