playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2022 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
14710,Edwin Díaz,RP,R,R,NYM,29,6.121,3.000324011,,5,100000000,20000000,,NYM,5,102000000,18600000
11847,Chris Martin,RP,R,R,LAD,37,5.133,1.597569227,,,0,,,BOS,2,17500000,8750000
12760,Rafael Montero,RP,R,R,HOU,32,6.138,1.495330334,,,0,,,HOU,3,34500000,11500000
1890,Matt Moore,RP,L,L,TEX,34,10,1.349560261,,1,5000000,5000000,,LAA,1,7550000,7550000
1247,Adam Ottavino,RP,S,R,NYM,37,11.087,1.140953183,,1,6000000,6000000,,NYM,2,14500000,7250000
3096,Kenley Jansen,RP,S,R,ATL,35,12.073,1.052234292,,1,12000000,12000000,,BOS,2,32000000,16000000
13449,Taylor Rogers,RP,L,L,MIL,32,6.145,1.005404353,,2,15000000,7500000,,SFG,3,33000000,11000000
12988,Andrew Chafin,RP,R,L,DET,33,8.02,0.923651278,,,0,,,ARI,1,6250000,6250000
6655,Craig Kimbrel,RP,R,R,LAD,35,11.161,0.882327855,,1,9000000,9000000,,PHI,1,10000000,10000000
10133,Brad Boxberger,RP,R,R,MIL,35,9.033,0.747110128,,,0,,,CHC,1,2800000,2800000
5448,Jesse Chavez,RP,R,R,ATL,39,12.038,0.7215451,,,0,,,ATL,1,1200000,1200000
8241,David Robertson,RP,R,R,PHI,38,13.119,0.716259003,,1,5000000,5000000,,NYM,1,10000000,10000000
30115,Robert Suarez,RP,R,R,SDP,32,1,0.693247437,,,0,,,SDP,5,46000000,9200000
13218,Michael Fulmer,RP,R,R,MIN,30,6.157,0.680271626,,,0,,,CHC,1,4000000,4000000
11487,Joely Rodríguez,RP,L,L,NYM,31,3.096,0.413046271,,,0,,,BOS,1,2000000,2000000
18333,Alex Young,RP,L,L,SFG,29,2.143,0.41293323,,,0,,,CIN,1,0,
18333,Alex Young,RP,L,L,SFG,29,2.143,0.41293323,,,0,,,CIN,1,1150000,1150000
