playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2022 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
15676,José Abreu,1B,R,R,CHW,36,9,3.791219473,,2,32000000,16000000,,HOU,3,58500000,19500000
3473,Anthony Rizzo,1B,L,L,NYY,33,10.168,2.476663113,,3,54000000,18000000,19650000,NYY,2,40000000,20000000
3516,Eric Hosmer,1B,L,L,BOS,33,11.146,0.607897162,,,0,,,CHC,1,720000,720000
10264,Brandon Belt,1B,L,L,SFG,35,11.128,0.053996839,,1,10000000,10000000,,TOR,1,9300000,9300000
11342,Jesús Aguilar,1B,R,R,BAL,33,6.082,-0.711734414,,,0,,,OAK,1,3000000,3000000
18316,Edwin Ríos,1B/3B,L,R,LAD,29,3.003,0.1152623,,,0,,,CHC,1,1000000,1000000
16909,Colin Moran,1B/3B,L,R,CIN,30,4.107,0.109806716,,,0,,,SEA,1,0,
13145,Josh Bell,1B/DH,S,R,SDP,30,6.053,2.100223303,,3,39000000,13000000,,CLE,2,33000000,16500000
2396,Carlos Santana,1B/DH,S,R,SEA,37,12.115,0.864715874,,,0,,,PIT,1,6725000,6725000
14811,Luke Voit,1B/DH,R,R,WSN,32,4.169,0.420811653,,,0,,,MIL,1,666667,666667
19198,Yuli Gurriel,1B/DH,R,R,HOU,39,6.043,-0.702770352,,1,6000000,6000000,,MIA,1,1250000,1250000
12164,Miguel Sanó,1B/DH,R,R,MIN,30,7.066,-0.91576159,,1,5000000,5000000,,,,,
27459,Yoshi Tsutsugo,1B/DH,L,R,PIT,31,2.095,-1.338501811,,,0,,,TEX,1,0,
15653,Dominic Smith,1B/LF,L,L,NYM,28,4.081,-0.235955894,,,0,,,WSN,1,2000000,2000000
15149,Trey Mancini,1B/LF/RF/DH,R,R,HOU,31,6.015,0.9304775,,2,16000000,8000000,,CHC,2,14000000,7000000
10047,Wil Myers,1B/RF/LF,R,R,SDP,32,9.104,1.186498165,,,0,,,CIN,1,7500000,7500000
5933,Jean Segura,2B,R,R,PHI,33,10.065,2.100545406,,2,24000000,12000000,,MIA,2,17000000,6500000
15223,Adam Frazier,2B,L,R,SEA,31,6.075,1.298241735,,2,16000000,8000000,,BAL,1,8000000,8000000
12282,Rougned Odor,2B,L,R,BAL,29,8.121,0.332634091,,,0,,,SDP,1,473118,473118
8202,Josh Harrison,2B/3B,R,R,CHW,35,10.168,1.575420737,,,0,,,PHI,1,2000000,2000000
11902,Hanser Alberto,2B/3B,R,R,LAD,30,6.085,-0.332195967,,,0,,,CHW,1,791398,791398
12371,Tommy La Stella,2B/3B,L,R,SFG,34,8.057,-0.719427705,,,0,,,SEA,1,720000,720000
8623,Donovan Solano,2B/3B/1B,R,R,CIN,35,7.081,0.530767977,,,0,,,MIN,1,2000000,2000000
14691,Harold Castro,2B/3B/1B/SS/,L,R,DET,29,3.141,-0.290311158,,,0,,,COL,1,1300000,1300000
10556,César Hernández,2B/3B/LF,S,R,WSN,33,8.154,0.481410831,,,0,,,DET,1,0,
14773,Yu Chang,2B/3B/SS/1B,R,R,BOS,27,3.007,0.292166322,,,0,,,BOS,1,850000,850000
8203,Dee Strange-Gordon,2B/CF/LF,L,R,WSN,35,8.154,-0.308817297,,,0,,,,,,
3269,Robinson Canó,2B/DH,L,R,ATL,40,15.076,-1.379742384,,,0,,,,,,
15937,Aledmys Díaz,2B/SS/3B/LF,R,R,HOU,32,6.1,0.809699595,,,0,,,OAK,2,14500000,7250000
18889,Danny Mendick,2B/SS/3B/LF,R,R,CHW,29,2.168,0.74629879,,,0,,,NYM,1,1000000,1000000
17338,Willi Castro,2B/SS/3B/OF,S,R,DET,26,3.017,0.833104432,,,0,,,MIN,1,1800000,1800000
12092,Niko Goodrum,2B/SS/LF,S,R,HOU,31,4.069,-0.360114992,,,0,,,BOS,1,0,
10030,Chris Owings,2B/SS/LF,R,R,BAL,31,7.131,-0.607484996,,,0,,,PIT,1,0,
19262,Garrett Hampson,2B/SS/OF,R,R,COL,28,4.03,-0.223115489,,,0,,,MIA,1,0,
9368,Evan Longoria,3B,R,R,SFG,37,14.17,1.398247004,,1,8000000,8000000,,ARI,1,4000000,4000000
13621,Jeimer Candelario,3B,S,R,DET,29,5.038,0.017166568,,,0,,,WSN,1,5000000,5000000
4892,Mike Moustakas,3B/1B,L,R,CIN,34,11.111,-0.466338962,,,0,,,COL,1,720000,720000
11615,Brandon Drury,3B/1B/2B,R,R,SDP,30,6.001,3.119406462,,3,30000000,10000000,,LAA,2,17000000,8500000
12325,Jace Peterson,3B/1B/2B/LF/,L,R,MIL,33,6.142,2.108803749,,,0,,,OAK,2,9500000,4750000
13329,Jake Lamb,3B/1B/RF/LF,L,R,SEA,32,7.053,0.035543695,,,0,,,LAA,1,625000,625000
13836,Matt Duffy,3B/2B/1B,R,R,LAA,32,7.059,-0.039014846,,,0,,,KCR,1,1500000,1500000
3298,Charlie Culberson,3B/2B/LF,R,R,TEX,34,7.051,-0.397996187,,,0,,,TBR,1,0,
10071,Jonathan Villar,3B/2B/SS,S,R,LAA,32,7.113,-1.210831046,,,0,,,,,,
8418,Ehire Adrianza,3B/2B/SS/LF,S,R,ATL,33,8.131,-0.57233429,,,0,,,ATL,1,1000000,1000000
15191,Chad Pinder,3B/2B/SS/LF/,R,R,OAK,31,6.047,-0.475637436,,,0,,,CIN,1,0,
5235,Justin Turner,3B/DH,R,R,LAD,38,12.045,2.292635918,,1,12000000,12000000,,BOS,2,21700000,10850000
18289,Brian Anderson,3B/RF/LF,R,R,MIA,30,5.031,0.173924178,,,0,,,MIL,1,3500000,3500000
14950,Johan Camargo,3B/SS/2B,S,R,PHI,29,4.104,0.221737936,,,0,,,KCR,1,0,
11609,Willson Contreras,C,R,R,CHC,31,6.108,3.494803667,,4,70000000,17500000,19650000,STL,5,87500000,17500000
9774,Christian Vázquez,C,R,R,HOU,32,8.031,1.901635528,,2,16000000,8000000,,MIN,3,30000000,10000000
11442,Gary Sánchez,C,R,R,MIN,30,6.086,1.378666282,,1,8000000,8000000,,SFG,1,0,
11442,Gary Sánchez,C,R,R,MIN,30,6.086,1.378666282,,1,8000000,8000000,,NYM,1,1096774,1096774
13338,Omar Narváez,C,L,R,MIL,31,6.089,1.320845008,,2,14000000,7000000,,NYM,2,15000000,7500000
13355,Luke Maile,C,R,R,CLE,32,5.148,0.692586303,,,0,,,CIN,1,1175000,1175000
2900,Roberto Pérez,C,R,R,PIT,34,8.083,0.592949271,,,0,,,SFG,1,2500000,2500000
12510,Curt Casali,C,R,R,SEA,34,6.151,0.457881242,,,0,,,CIN,1,3250000,3250000
12180,Jorge Alfaro,C,R,R,SDP,30,5.083,0.383508146,,,0,,,BOS,1,0,
10200,Tucker Barnhart,C,L,R,DET,32,8.075,0.256810069,,,0,,,CHC,2,6500000,3250000
14523,Pedro Severino,C,R,R,MIL,29,4.133,0.046596363,,,0,,,SDP,1,0,
12981,Cam Gallagher,C,R,R,BAL,30,4.073,0.041033115,,,0,,,CLE,1,1250000,1250000
12976,Austin Hedges,C,R,R,CLE,30,6.166,-0.029974166,,,0,,,PIT,1,5000000,5000000
5273,Sandy León,C,S,R,MIN,34,8.043,-0.234602943,,,0,,,TEX,1,0,
13265,Mike Zunino,C,R,R,TBR,32,8.165,-0.286071718,,1,7500000,7500000,,CLE,1,6000000,6000000
13807,Kevin Plawecki,C,R,R,TEX,32,6.167,-0.433156669,,,0,,,PIT,1,0,
