playerid,Name_x,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2022 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
15487,Victor Reyes,DET,92,336,80,55,19,3,3,27,34,2,0.038690476,0.229166666,0.107936508,0.322175732,0.253968253,0.261,0.284030971,0.292,0.361904761,0.368,0.288690476,84.38749465,-6.101119578,-4.835273504,3.731097644,-0.198032077,-0.032498972,0.168831168,0.04958678,0.3677686,0.42725881,0.68571429,0.55416991,0.68100358,0.79166667,0.74824191,0.41322314,0.30578512,0.28099174,87.89161382,10.9395849,110.854,0.242677824,0.443514644,0.313807531,2.273688993,Victor Reyes,CF/RF/LF,S,R,DET,28,4.075,-0.032498993,,,0,,,CHW,1.0,0.0,
2396,Carlos Santana,- - -,131,506,87,50,18,0,19,52,60,0,0.140316205,0.173913043,0.174013921,0.208588957,0.201856148,0.253,0.307997842,0.352,0.375870069,0.438,0.316205533,101.9496115,0.372254358,-8.138829842,1.001670084,-0.737855453,0.864853175,0.806818181,0.09275362,0.44927536,0.21259843,0.63238095,0.42594385,0.63888889,0.85843373,0.80454545,0.48405797,0.33333333,0.1826087,90.74327478,15.3674579,111.263,0.168604651,0.39244186,0.438953488,2.027136758,Carlos Santana,1B/DH,S,R,SEA,37,12.115,0.864715874,,,0,,,PIT,1.0,6725000.0,6725000.0
11342,Jesús Aguilar,- - -,129,507,109,74,19,0,16,39,51,1,0.055226824,0.234714003,0.144396551,0.278443113,0.234913793,0.24,0.288003968,0.298,0.379310344,0.393,0.281437125,82.11509289,-13.95184771,-10.13963604,1.472678237,-3.501672517,-0.713077484,0.235294117,0.06741573,0.35393258,0.35911602,0.64314516,0.49470645,0.5974359,0.84169279,0.74902724,0.37142857,0.38,0.24857143,87.76720498,18.89910889,108.144,0.24,0.308571428,0.451428571,1.794146705,Jesús Aguilar,1B,R,R,BAL,33,6.082,-0.711734414,,,0,,,OAK,1.0,3000000.0,3000000.0
11615,Brandon Drury,- - -,138,568,136,75,31,2,28,87,87,2,0.066901408,0.221830985,0.22972973,0.29347826,0.262548262,0.242,0.349555092,0.316,0.492277992,0.42,0.320422535,123.034104,12.42850455,-2.258780453,3.483362591,-2.772280771,3.119411062,0.301587301,0.10353535,0.41666667,0.2985348,0.61217391,0.45941124,0.65337423,0.88494318,0.81165049,0.47222222,0.30050505,0.22727273,89.07791627,13.79496039,112.355,0.196969696,0.409090909,0.393939393,1.725959915,Brandon Drury,3B/1B/2B,R,R,SDP,30,6.001,3.119406462,,3.0,30000000,10000000.0,,LAA,2.0,17000000.0,8500000.0
9256,AJ Pollock,CHW,138,527,120,79,26,1,14,61,56,3,0.060721062,0.185958254,0.143149284,0.278215223,0.245398773,0.258,0.29736662,0.317,0.388548057,0.419,0.292220113,92.11052086,-7.047603126,-4.529595673,3.457911135,-2.368891365,0.534487994,0.326530612,0.09367089,0.42025316,0.33004386,0.73837838,0.53565596,0.55149502,0.88140556,0.7804878,0.43797468,0.32911392,0.23291139,88.75136818,11.75687188,110.847,0.190355329,0.451776649,0.35786802,1.676919334,AJ Pollock,LF/RF/CF,R,R,CHW,35,10.052,0.534487963,,1.0,8000000,8000000.0,,SEA,1.0,7000000.0,7000000.0
12282,Rougned Odor,BAL,135,472,88,53,19,3,13,49,53,6,0.06779661,0.230932203,0.150234742,0.243506493,0.206572769,0.207,0.278355386,0.277,0.356807511,0.339,0.275423728,81.80546084,-8.873347478,-2.886819482,5.094921298,0.79050745,0.332634029,0.293577981,0.06542056,0.33333333,0.31181619,0.70484061,0.50085179,0.54385965,0.84924623,0.75056689,0.44548287,0.35825545,0.19626168,87.8198117,21.54215808,109.654,0.194267515,0.315286624,0.490445859,1.423009882,Rougned Odor,2B,L,R,BAL,29,8.121,0.332634091,,,0,,,SDP,1.0,473118.0,473118.0
2434,Nelson Cruz,WSN,124,507,105,79,16,0,10,50,64,4,0.096646942,0.234714003,0.102678571,0.295031055,0.234375,0.241,0.291587319,0.32,0.337053571,0.399,0.313492063,86.98663173,-8.522326196,-13.2870369,3.037968297,-0.856763406,-0.458609974,0.411764705,0.09253731,0.45671642,0.30978809,0.7042957,0.50803213,0.51465798,0.78439716,0.70256917,0.35240964,0.36144578,0.28614458,90.93959008,7.176202745,113.807,0.192771084,0.524096385,0.28313253,1.242501246,Nelson Cruz,DH,R,R,WSN,42,15.082,-0.458609968,,,0,,,SDP,1.0,1000000.0,1000000.0
14691,Harold Castro,DET,120,443,114,84,21,2,7,37,47,0,0.038374717,0.178329571,0.109523809,0.31845238,0.271428571,0.275,0.29654053,0.316,0.38095238,0.423,0.3,93.21898054,-4.651418744,-12.12456465,2.242467192,-1.271034566,-0.290311114,0.215189873,0.06069364,0.33236994,0.38224852,0.69618696,0.53618818,0.6873065,0.89575972,0.8200225,0.36416185,0.31213873,0.32369942,87.01349274,11.39273631,107.316,0.257309941,0.444444444,0.298245614,1.150913041,Harold Castro,2B/3B/1B/SS/,L,R,DET,29,3.141,-0.290311158,,,0,,,COL,1.0,1300000.0,1300000.0
16252,Trea Turner,LAD,160,708,194,130,39,4,21,101,100,27,0.063559322,0.185028248,0.168711656,0.341897233,0.297546012,0.276,0.349618402,0.335,0.466257668,0.432,0.342776203,128.0095266,29.61016418,6.760659158,6.388403327,6.570009433,6.37611391,0.34351145,0.07561437,0.41398866,0.32484076,0.71461362,0.51213235,0.52069717,0.8608137,0.74874372,0.45351044,0.32827324,0.21821632,88.92110717,10.2028032,112.477,0.214421252,0.428842504,0.356736242,1.140578602,Trea Turner,SS/2B,R,R,LAD,30,6.135,6.376113892,,7.0,210000000,30000000.0,19650000.0,PHI,11.0,300000000.0,27272727.27
15653,Dominic Smith,NYM,58,152,26,15,10,1,0,11,17,0,0.078947368,0.243421052,0.089552239,0.262626262,0.19402985,0.219,0.254076653,0.293,0.283582089,0.36,0.276315789,64.50683873,-5.626136012,-1.850149989,2.577067665,0.641945511,-0.235955892,0.324324324,0.07070707,0.46464646,0.2543554,0.65172414,0.45407279,0.50684932,0.86243386,0.76335878,0.34343434,0.44444444,0.21212121,89.5834517,10.92168635,107.154,0.161616161,0.474747474,0.363636363,1.046211115,Dominic Smith,1B/LF,L,L,NYM,28,4.081,-0.235955894,,,0,,,WSN,1.0,2000000.0,2000000.0
