playerid,Name,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch
5827,Wilmer Flores,SFG,151,602,120,72,28,1,19,72,71,0,0.098006644,0.171096345,0.165714286,0.246341463,0.228571428,0.233,0.312474995,0.31,0.394285714,0.37,0.315614617,102.8820783,-1.949013399,-6.369171619,2.08816964,-3.964818963,1.301056502,0.572815533,0.06293706,0.35198135,0.26533997,0.6442623,0.45589448,0.65625,0.89312977,0.82459313,0.48598131,0.29205607,0.22196262,87.77639678,20.70074164,108.261,0.191142191,0.342657342,0.466200466,2.461522067
15487,Victor Reyes,DET,92,336,80,55,19,3,3,27,34,2,0.038690476,0.229166666,0.107936508,0.322175732,0.253968253,0.261,0.284030971,0.292,0.361904761,0.368,0.288690476,84.38749465,-6.101119578,-4.835273504,3.731097644,-0.198032077,-0.032498972,0.168831168,0.04958678,0.3677686,0.42725881,0.68571429,0.55416991,0.68100358,0.79166667,0.74824191,0.41322314,0.30578512,0.28099174,87.89161382,10.9395849,110.854,0.242677824,0.443514644,0.313807531,2.273688993
7304,Salvador Perez,KCR,114,473,113,66,23,1,23,48,76,0,0.038054968,0.230443974,0.211235955,0.284810126,0.253932584,0.242,0.324133527,0.323,0.465168539,0.47,0.291754756,107.0739854,1.429018487,-9.115482807,1.464616396,-2.336221311,0.763678772,0.165137614,0.1120944,0.48967552,0.41263158,0.77866667,0.57411765,0.56632653,0.79794521,0.70491803,0.45427729,0.32743363,0.21828909,91.43967206,17.78050822,112.504,0.179941002,0.359882005,0.460176991,2.081760197
19950,Andrés Giménez,CLE,146,557,146,100,26,3,17,66,69,20,0.061041292,0.201077199,0.16904277,0.353424657,0.297352342,0.257,0.364078629,0.326,0.466395112,0.4,0.370705244,140.9516937,29.57679584,11.10387325,5.845548178,3.908655403,6.120997511,0.303571428,0.06217617,0.37564767,0.37653737,0.68794326,0.52690802,0.60301508,0.84388807,0.75487465,0.40932642,0.35751295,0.23316062,87.79348606,11.70818993,109.87,0.21081081,0.462162162,0.327027027,2.065265925
2396,Carlos Santana,- - -,131,506,87,50,18,0,19,52,60,0,0.140316205,0.173913043,0.174013921,0.208588957,0.201856148,0.253,0.307997842,0.352,0.375870069,0.438,0.316205533,101.9496115,0.372254358,-8.138829842,1.001670084,-0.737855453,0.864853175,0.806818181,0.09275362,0.44927536,0.21259843,0.63238095,0.42594385,0.63888889,0.85843373,0.80454545,0.48405797,0.33333333,0.1826087,90.74327478,15.3674579,111.263,0.168604651,0.39244186,0.438953488,2.027136758
18345,Kyle Tucker,HOU,150,609,140,81,28,1,30,71,107,25,0.096880131,0.155993431,0.220588235,0.26128266,0.257352941,0.262,0.347634196,0.353,0.477941176,0.482,0.330033003,129.6422927,23.50496563,4.06632185,4.900545775,3.190919821,4.917240747,0.621052631,0.10132159,0.4185022,0.24471021,0.78723404,0.5265252,0.60150376,0.87459459,0.81360202,0.39911308,0.37472284,0.22616408,89.99462891,19.03313773,111.325,0.189309576,0.340757238,0.469933184,2.01167898
7859,Charlie Blackmon,COL,135,577,140,96,22,6,16,60,78,4,0.055459272,0.188908145,0.154716981,0.303921568,0.264150943,0.256,0.317062868,0.301,0.418867924,0.376,0.314136125,90.85542463,-5.383691772,-13.06477356,4.528051739,0.746664615,0.147113426,0.293577981,0.04439252,0.30607477,0.32690355,0.68277119,0.51440922,0.66459627,0.87583445,0.81232493,0.40654206,0.36915888,0.22429907,86.18964844,12.3580389,109.538,0.227488151,0.433649289,0.338862559,1.877423755
11342,Jesús Aguilar,- - -,129,507,109,74,19,0,16,39,51,1,0.055226824,0.234714003,0.144396551,0.278443113,0.234913793,0.24,0.288003968,0.298,0.379310344,0.393,0.281437125,82.11509289,-13.95184771,-10.13963604,1.472678237,-3.501672517,-0.713077484,0.235294117,0.06741573,0.35393258,0.35911602,0.64314516,0.49470645,0.5974359,0.84169279,0.74902724,0.37142857,0.38,0.24857143,87.76720498,18.89910889,108.144,0.24,0.308571428,0.451428571,1.794146705
11615,Brandon Drury,- - -,138,568,136,75,31,2,28,87,87,2,0.066901408,0.221830985,0.22972973,0.29347826,0.262548262,0.242,0.349555092,0.316,0.492277992,0.42,0.320422535,123.034104,12.42850455,-2.258780453,3.483362591,-2.772280771,3.119411062,0.301587301,0.10353535,0.41666667,0.2985348,0.61217391,0.45941124,0.65337423,0.88494318,0.81165049,0.47222222,0.30050505,0.22727273,89.07791627,13.79496039,112.355,0.196969696,0.409090909,0.393939393,1.725959915
9256,AJ Pollock,CHW,138,527,120,79,26,1,14,61,56,3,0.060721062,0.185958254,0.143149284,0.278215223,0.245398773,0.258,0.29736662,0.317,0.388548057,0.419,0.292220113,92.11052086,-7.047603126,-4.529595673,3.457911135,-2.368891365,0.534487994,0.326530612,0.09367089,0.42025316,0.33004386,0.73837838,0.53565596,0.55149502,0.88140556,0.7804878,0.43797468,0.32911392,0.23291139,88.75136818,11.75687188,110.847,0.190355329,0.451776649,0.35786802,1.676919334
